tinh,huyen,xa,diaban,hoso,matv,hsize,m1ac2,m1ac3,age,indi_income,HH_Income,hsize_working,indi_work_hours,hh_work_hours,avg_work_hours,HH_consumption,HH_consumption_avr,HH_Wealth
101,8,19,22,15,1,4,1,1,41,21398.0,21398.0,1.0,3120.0,3120.0,3120.0,49487.7,12371.925,0.0
101,8,25,6,14,1,3,1,1,29,32143.0,44540.0,2.0,3480.0,6168.0,3084.0,26733.6,8911.199999999999,0.0
101,8,25,6,15,1,3,1,1,35,37652.0,62907.0,2.0,2496.0,4608.0,2304.0,45711.8,15237.266666666668,0.0
101,8,27,16,13,1,7,1,1,56,16269.0,73006.0,3.0,2304.0,7392.0,2464.0,96890.1,13841.442857142858,0.0
101,9,3,23,13,1,3,1,1,42,30765.0,56020.0,2.0,1936.0,3872.0,1936.0,38064.7,12688.233333333332,0.0
101,9,3,23,15,1,3,1,1,50,40224.0,78757.0,2.0,1936.0,2112.0,1056.0,57722.0,19240.666666666668,0.0
101,9,5,8,14,1,3,1,1,66,61672.0,61672.0,1.0,2832.0,2832.0,2832.0,48071.1,16023.699999999999,0.0
101,9,5,8,15,1,4,1,1,45,16008.0,16008.0,1.0,2496.0,2496.0,2496.0,35355.4,8838.85,5440.0
101,9,11,35,13,1,2,1,1,25,22959.0,46469.0,2.0,2880.0,5760.0,2880.0,41264.3,20632.15,0.0
101,9,15,15,13,1,3,1,1,66,52703.0,93172.0,2.0,576.0,2688.0,1344.0,53374.3,17791.433333333334,0.0
101,9,15,15,19,1,3,1,1,32,48939.0,86585.0,2.0,2304.0,4608.0,2304.0,69959.8,23319.933333333334,0.0
101,9,19,26,13,1,5,1,1,70,36734.0,72091.0,2.0,2112.0,4224.0,2112.0,105830.8,21166.16,0.0
101,9,23,11,15,1,4,1,1,43,33324.0,33324.0,1.0,5040.0,5040.0,5040.0,55585.4,13896.35,0.0
101,9,23,11,24,1,5,1,1,59,13959.0,73286.0,3.0,2880.0,8640.0,2880.0,53407.9,10681.58,0.0
101,9,31,10,13,1,4,1,1,71,2755.0,53815.0,3.0,288.0,5280.0,1760.0,76142.9,19035.725,0.0
101,9,35,24,13,1,4,1,1,36,45459.0,73928.0,2.0,3000.0,4320.0,2160.0,51667.9,12916.975,0.0
101,9,35,24,20,1,4,1,1,38,34255.0,57030.0,2.0,2496.0,4032.0,2016.0,45589.2,11397.3,0.0
101,9,39,17,19,1,5,1,1,48,46234.0,46234.0,1.0,1936.0,1936.0,1936.0,60122.4,12024.48,0.0
101,9,39,17,20,1,6,1,1,60,23876.0,44539.0,2.0,1936.0,3872.0,1936.0,77106.3,12851.050000000001,0.0
101,11,1,10,13,1,3,1,1,43,29800.0,68969.0,2.0,2916.0,5508.0,2754.0,61151.0,20383.666666666668,0.0
101,11,1,10,14,1,4,1,1,53,32509.0,72871.0,2.0,2496.0,4992.0,2496.0,69730.2,17432.55,0.0
101,11,1,10,15,1,4,1,1,44,41969.0,69795.0,2.0,3024.0,5616.0,2808.0,58854.1,14713.525,0.0
101,11,3,17,13,1,3,1,1,44,50539.0,93831.0,2.0,2904.0,5016.0,2508.0,166592.6,55530.86666666667,0.0
101,11,3,17,15,1,4,1,1,46,153404.0,218342.0,2.0,2112.0,4224.0,2112.0,135923.7,33980.925,0.0
101,11,3,17,24,1,5,1,1,51,19285.0,126088.0,4.0,2304.0,8736.0,2184.0,86339.5,17267.9,0.0
101,11,5,24,14,1,5,1,1,45,37652.0,91009.0,2.0,2112.0,4224.0,2112.0,89064.7,17812.94,0.0
101,11,5,24,19,1,6,1,1,69,29296.0,50050.0,2.0,2112.0,4224.0,2112.0,85535.3,14255.883333333333,0.0
101,11,17,33,14,1,4,1,1,42,52702.0,52702.0,1.0,2112.0,2112.0,2112.0,112555.4,28138.85,0.0
101,11,21,9,14,1,4,1,1,41,34981.0,34981.0,1.0,2112.0,2112.0,2112.0,46093.4,11523.35,0.0
101,11,21,9,15,1,4,1,1,50,58958.0,58958.0,1.0,2112.0,2112.0,2112.0,68360.0,17090.0,9600.0
101,13,1,13,13,1,4,1,1,61,4224.0,4224.0,1.0,416.0,416.0,416.0,128530.0,32132.5,0.0
101,13,1,13,14,1,2,1,1,58,58821.0,87055.0,2.0,2304.0,5424.0,2712.0,78455.7,39227.85,0.0
101,13,5,19,20,1,4,1,1,38,69335.0,107171.0,2.0,2112.0,4224.0,2112.0,113018.0,28254.5,0.0
101,13,7,15,24,1,4,1,1,43,95148.0,135617.0,2.0,2496.0,4608.0,2304.0,110218.3,27554.575,0.0
101,13,13,10,15,1,6,1,1,60,138035.0,211942.0,2.0,2496.0,4992.0,2496.0,156388.9,26064.816666666666,21200.0
101,15,3,3,15,1,2,1,1,50,16714.0,31224.0,2.0,2496.0,4608.0,2304.0,22600.2,11300.1,0.0
101,15,9,11,14,1,6,1,1,77,12723.0,15437.0,2.0,3348.0,6184.0,3092.0,26446.0,4407.666666666667,150.0
101,15,9,11,15,1,5,1,1,35,13571.0,13571.0,1.0,2996.0,2996.0,2996.0,24742.2,4948.4400000000005,17050.0
101,15,19,13,13,1,6,1,1,56,31224.0,87244.0,3.0,2496.0,6272.0,2090.6666666666665,54332.5,9055.416666666666,0.0
101,15,19,13,20,1,5,1,1,32,16964.0,19424.0,2.0,2840.0,3920.0,1960.0,27994.9,5598.9800000000005,0.0
101,15,33,15,14,1,4,1,1,35,15692.0,15692.0,1.0,2600.0,2600.0,2600.0,18307.3,4576.825,20500.0
101,15,33,15,24,1,1,1,1,41,9770.0,9770.0,1.0,1980.0,1980.0,1980.0,5580.6,5580.6,1000.0
101,15,51,13,14,1,3,1,1,49,23840.0,23840.0,1.0,3024.0,3024.0,3024.0,21982.800000000003,7327.600000000001,8000.0
101,15,51,13,15,1,4,1,1,56,25411.0,51293.0,2.0,1920.0,3840.0,1920.0,47263.100000000006,11815.775000000001,0.0
101,17,13,2,13,1,5,1,1,40,11026.0,19170.0,2.0,2400.0,4320.0,2160.0,27363.800000000003,5472.76,500.0
101,17,13,2,14,1,4,1,1,37,2587.0,2587.0,1.0,1820.0,1820.0,1820.0,20192.5,5048.125,12500.0
101,17,27,7,13,1,5,1,1,44,4280.0,4280.0,1.0,2760.0,2760.0,2760.0,34080.3,6816.06,377000.0
101,17,27,7,14,1,4,1,1,42,11515.0,11515.0,1.0,1764.0,1764.0,1764.0,45992.399999999994,11498.099999999999,14100.0
101,17,31,13,14,1,3,1,1,56,5937.0,5937.0,1.0,1880.0,1880.0,1880.0,39458.0,13152.666666666666,7300.0
101,17,33,15,14,1,4,1,1,41,25714.0,74387.0,2.0,2240.0,4640.0,2320.0,39204.8,9801.2,0.0
101,17,33,15,15,1,4,1,1,35,21372.0,32451.0,2.0,2064.0,4772.0,2386.0,19096.5,4774.125,0.0
101,17,35,16,14,1,5,1,1,53,62448.0,62448.0,1.0,2112.0,2112.0,2112.0,81536.8,16307.36,49000.0
101,17,35,16,15,1,4,1,1,44,45918.0,85775.0,2.0,2400.0,4512.0,2256.0,42844.4,10711.1,0.0
101,17,37,23,13,1,4,1,1,30,22070.0,38122.0,2.0,2616.0,5256.0,2628.0,31398.100000000002,7849.525000000001,1100.0
101,17,37,23,14,1,4,1,1,31,9415.0,18830.0,2.0,2105.0,4035.0,2017.5,13767.2,3441.8,0.0
101,17,37,23,15,1,5,1,1,40,18745.0,18745.0,1.0,3168.0,3168.0,3168.0,30643.2,6128.64,9600.0
101,17,39,9,14,1,4,1,1,38,15336.0,15336.0,1.0,2536.0,2536.0,2536.0,39485.5,9871.375,11500.0
101,17,39,9,15,1,4,1,1,38,18756.0,18756.0,1.0,2400.0,2400.0,2400.0,38538.5,9634.625,0.0
101,19,17,20,14,1,4,1,1,51,10484.0,30603.0,2.0,2496.0,4992.0,2496.0,25282.3,6320.575,0.0
101,19,17,20,15,1,5,1,1,52,22040.0,67131.0,3.0,2496.0,6084.0,2028.0,54262.899999999994,10852.579999999998,4500.0
101,19,55,8,15,1,6,1,1,50,18248.0,46250.0,3.0,2496.0,5408.0,1802.6666666666667,75119.2,12519.866666666667,0.0
101,21,5,18,15,1,4,1,1,51,36115.0,36115.0,1.0,1936.0,1936.0,1936.0,41526.600000000006,10381.650000000001,0.0
101,21,13,9,14,1,4,1,1,42,14969.0,14969.0,1.0,2640.0,2640.0,2640.0,46848.2,11712.05,48000.0
101,21,23,13,20,1,5,1,1,66,56938.0,92754.0,2.0,2496.0,4800.0,2400.0,73614.2,14722.84,0.0
101,21,27,8,13,1,6,1,1,51,10468.0,47979.0,4.0,2800.0,12020.0,3005.0,56546.1,9424.35,0.0
101,21,31,15,14,1,6,1,1,50,10468.0,60193.0,3.0,1440.0,6432.0,2144.0,60154.399999999994,10025.733333333332,0.0
101,23,23,38,15,1,5,1,1,40,11125.0,21643.0,2.0,2304.0,4992.0,2496.0,41402.6,8280.52,0.0
101,23,47,15,13,1,5,1,1,54,11316.0,22469.0,2.0,2496.0,6240.0,3120.0,38734.0,7746.8,0.0
101,23,47,15,15,1,5,1,1,40,14325.0,14325.0,1.0,2844.0,2844.0,2844.0,35215.2,7043.039999999999,0.0
103,1,1,9,19,1,3,1,1,52,15932.0,15932.0,1.0,2496.0,2496.0,2496.0,37237.5,12412.5,0.0
103,1,7,25,13,1,6,1,1,55,71465.0,111325.0,2.0,2496.0,4992.0,2496.0,93817.0,15636.166666666666,0.0
103,1,11,18,15,1,5,1,1,63,15023.0,51588.0,4.0,2112.0,11472.0,2868.0,38239.0,7647.8,0.0
103,1,17,7,15,1,2,1,1,69,3361.0,3361.0,1.0,576.0,576.0,576.0,55645.9,27822.95,0.0
103,1,17,7,19,1,6,1,1,78,68886.0,114440.0,2.0,3096.0,5592.0,2796.0,90535.0,15089.166666666666,0.0
103,3,1,27,14,1,4,1,1,35,51260.0,51260.0,1.0,2496.0,2496.0,2496.0,41265.3,10316.325,0.0
103,3,5,7,15,1,5,1,1,44,8762.0,19405.0,2.0,2000.0,5168.0,2584.0,15876.4,3175.2799999999997,0.0
103,3,5,7,20,1,6,1,1,59,23777.0,47553.0,2.0,2112.0,3264.0,1632.0,35069.1,5844.849999999999,0.0
103,3,9,20,14,1,3,1,1,67,35555.0,35555.0,1.0,2080.0,2080.0,2080.0,57443.100000000006,19147.7,0.0
103,3,9,20,15,1,3,1,1,81,16873.0,16873.0,1.0,1296.0,1296.0,1296.0,35271.3,11757.1,0.0
103,3,19,12,13,1,4,1,1,49,43889.0,43889.0,1.0,2496.0,2496.0,2496.0,84582.3,21145.575,20000.0
103,3,19,12,14,1,3,1,1,38,21049.0,33596.0,2.0,2112.0,4608.0,2304.0,51008.7,17002.899999999998,0.0
103,3,23,12,22,1,5,1,1,60,49887.0,93997.0,2.0,2304.0,4608.0,2304.0,63681.7,12736.34,0.0
103,4,3,8,13,1,4,1,1,60,18242.0,28725.0,2.0,3600.0,6680.0,3340.0,30818.4,7704.6,0.0
103,4,3,8,14,1,4,1,1,38,16121.0,38590.0,2.0,2496.0,5736.0,2868.0,39653.7,9913.425,0.0
103,4,3,8,19,1,4,1,1,73,12134.0,20802.0,2.0,3000.0,5000.0,2500.0,36015.1,9003.775,0.0
103,4,5,19,14,1,3,1,1,53,3838.0,3838.0,1.0,1100.0,1100.0,1100.0,24830.5,8276.833333333334,0.0
103,4,5,19,20,1,4,1,1,57,9953.0,9953.0,1.0,2496.0,2496.0,2496.0,22636.4,5659.1,10000.0
103,4,11,28,19,1,5,1,1,71,2586.0,2586.0,1.0,594.0,594.0,594.0,47014.2,9402.84,0.0
103,5,7,18,15,1,4,1,1,52,16757.0,16757.0,1.0,2880.0,2880.0,2880.0,33803.3,8450.825,15000.0
103,5,15,16,19,1,4,1,1,41,46664.0,79440.0,2.0,3120.0,5616.0,2808.0,39986.399999999994,9996.599999999999,0.0
103,5,19,2,13,1,5,1,1,54,20224.0,20224.0,1.0,2496.0,2496.0,2496.0,52003.9,10400.78,165000.0
103,5,19,2,15,1,4,1,1,46,94441.0,94441.0,1.0,2600.0,2600.0,2600.0,52982.0,13245.5,0.0
103,5,24,27,13,1,4,1,1,71,3137.0,28478.0,3.0,960.0,6528.0,2176.0,41311.5,10327.875,0.0
103,5,24,27,14,1,4,1,1,39,9461.0,9461.0,1.0,3240.0,3240.0,3240.0,27506.5,6876.625,3000.0
103,5,24,27,15,1,2,1,1,57,72219.0,88774.0,2.0,1664.0,4160.0,2080.0,99949.3,49974.65,0.0
103,5,27,27,15,1,2,1,1,58,62220.0,62220.0,1.0,1925.0,1925.0,1925.0,52781.5,26390.75,0.0
103,7,1,21,15,1,4,1,1,41,18408.0,33976.0,2.0,2688.0,5184.0,2592.0,29699.3,7424.825,0.0
103,7,13,18,14,1,4,1,1,43,16757.0,64551.0,4.0,2496.0,9472.0,2368.0,35661.0,8915.25,0.0
103,7,13,18,15,1,5,1,1,38,26461.0,26461.0,1.0,2400.0,2400.0,2400.0,22577.0,4515.4,0.0
103,9,3,8,13,1,2,1,1,59,25177.0,25177.0,1.0,2112.0,2112.0,2112.0,16706.8,8353.4,0.0
103,9,3,8,14,1,7,1,1,51,17111.0,17111.0,1.0,2496.0,2496.0,2496.0,56733.7,8104.814285714286,55000.0
103,10,39,1,13,1,6,1,1,55,9328.0,36651.0,3.0,2304.0,6144.0,2048.0,63575.9,10595.983333333334,0.0
103,10,39,1,14,1,5,1,1,62,30130.0,62323.0,2.0,1920.0,3840.0,1920.0,47048.0,9409.6,0.0
103,10,39,1,15,1,3,1,1,55,24556.0,24556.0,1.0,3096.0,3096.0,3096.0,29134.1,9711.366666666667,43550.0
103,11,5,13,14,1,4,1,1,35,30129.0,30129.0,1.0,1920.0,1920.0,1920.0,32082.6,8020.65,0.0
103,11,5,13,19,1,2,1,1,56,7726.0,7726.0,1.0,1452.0,1452.0,1452.0,14721.699999999999,7360.849999999999,4000.0
103,11,7,3,13,1,4,1,1,52,13578.0,13578.0,1.0,2592.0,2592.0,2592.0,44796.7,11199.175,13710.0
103,11,7,3,14,1,3,1,1,60,9080.0,9080.0,1.0,1920.0,1920.0,1920.0,33646.8,11215.6,5000.0
103,11,7,3,15,1,3,1,1,52,7429.0,7429.0,1.0,1800.0,1800.0,1800.0,35254.9,11751.633333333333,8268.0
103,11,14,26,13,1,3,1,1,48,23278.0,35164.0,2.0,2152.0,4936.0,2468.0,38432.399999999994,12810.799999999997,0.0
103,11,27,4,13,1,5,1,1,41,14831.0,25336.0,4.0,2592.0,6768.0,1692.0,26053.6,5210.719999999999,10500.0
103,11,27,4,15,1,6,1,1,69,25177.0,31863.0,2.0,2496.0,4960.0,2480.0,38421.5,6403.583333333333,3850.0
103,11,35,7,13,1,4,1,1,38,11586.0,11586.0,1.0,1998.0,1998.0,1998.0,21094.8,5273.7,5750.0
103,11,35,7,14,1,5,1,1,70,10785.0,12433.0,2.0,1672.0,4192.0,2096.0,18724.0,3744.8,3800.0
103,11,43,17,13,1,6,1,1,41,10978.0,10978.0,1.0,3120.0,3120.0,3120.0,32854.5,5475.75,4800.0
103,11,43,17,14,1,6,1,1,42,12700.0,12700.0,1.0,2112.0,2112.0,2112.0,41541.1,6923.516666666666,0.0
103,11,43,17,15,1,4,1,1,35,6438.0,6438.0,1.0,1248.0,1248.0,1248.0,18544.9,4636.225,25000.0
103,11,51,8,13,1,2,1,1,54,3257.0,3257.0,1.0,504.0,504.0,504.0,17312.8,8656.4,0.0
103,11,57,17,13,1,4,1,1,53,15948.0,37987.0,3.0,2328.0,7704.0,2568.0,34082.100000000006,8520.525000000001,4500.0
103,11,57,17,15,1,4,1,1,45,9575.0,9575.0,1.0,1920.0,1920.0,1920.0,27030.3,6757.575,12500.0
103,11,63,7,15,1,4,1,1,40,11250.0,28172.0,2.0,1920.0,4224.0,2112.0,23358.0,5839.5,0.0
103,11,71,14,15,1,6,1,1,58,9756.0,48718.0,3.0,2460.0,7452.0,2484.0,59116.9,9852.816666666668,5300.0
103,13,1,11,15,1,6,1,1,49,8997.0,27900.0,3.0,2496.0,5200.0,1733.3333333333333,44989.7,7498.283333333333,0.0
103,13,7,12,14,1,3,1,1,49,19852.0,19852.0,1.0,2160.0,2160.0,2160.0,42801.5,14267.166666666666,0.0
103,13,13,9,13,1,6,1,1,43,15188.0,27569.0,2.0,2400.0,5280.0,2640.0,43203.6,7200.599999999999,0.0
103,13,13,9,14,1,4,1,1,48,11708.0,11708.0,1.0,1560.0,1560.0,1560.0,19376.4,4844.1,0.0
103,13,13,9,15,1,5,1,1,49,12712.0,28726.0,2.0,2496.0,4992.0,2496.0,39881.7,7976.339999999999,15600.0
103,13,21,6,13,1,4,1,1,43,25754.0,30905.0,2.0,2608.0,4520.0,2260.0,35842.1,8960.525,300.0
103,13,21,6,14,1,5,1,1,48,21640.0,21640.0,1.0,3360.0,3360.0,3360.0,43346.600000000006,8669.320000000002,0.0
103,15,3,21,15,1,4,1,1,66,2429.0,12810.0,2.0,1920.0,5040.0,2520.0,17816.7,4454.175,8000.0
103,15,25,4,14,1,2,1,1,58,6437.0,6437.0,1.0,2688.0,2688.0,2688.0,10093.2,5046.6,1000.0
103,15,33,13,13,1,6,1,1,52,4367.0,14995.0,3.0,1200.0,4008.0,1336.0,23830.2,3971.7000000000003,0.0
103,17,17,11,13,1,4,1,1,38,16444.0,16444.0,1.0,3008.0,3008.0,3008.0,23726.7,5931.675,13900.0
103,17,17,11,14,1,4,1,1,37,15023.0,15023.0,1.0,2282.0,2282.0,2282.0,24964.9,6241.225,12100.0
103,17,17,11,15,1,4,1,1,38,14528.0,14528.0,1.0,2004.0,2004.0,2004.0,24267.0,6066.75,12110.0
103,17,23,24,13,1,2,1,1,53,6439.0,6439.0,1.0,1500.0,1500.0,1500.0,18462.9,9231.45,10500.0
103,17,23,24,14,1,4,1,1,41,5944.0,15585.0,2.0,1912.0,4816.0,2408.0,29284.399999999998,7321.099999999999,1500.0
103,17,23,24,15,1,6,1,1,38,4920.0,4920.0,1.0,2040.0,2040.0,2040.0,30238.699999999997,5039.783333333333,3200.0
103,17,31,13,13,1,3,1,1,37,6590.0,8812.0,2.0,936.0,1672.0,836.0,12844.899999999998,4281.633333333332,0.0
103,17,31,13,14,1,5,1,1,39,15114.0,15114.0,1.0,2400.0,2400.0,2400.0,40600.7,8120.139999999999,17700.0
103,17,31,13,15,1,4,1,1,32,7429.0,24822.0,2.0,888.0,4920.0,2460.0,24149.0,6037.25,0.0
103,17,47,18,24,1,6,1,1,37,17655.0,23084.0,2.0,2112.0,3696.0,1848.0,36252.8,6042.133333333334,0.0
103,19,9,1,13,1,7,1,1,49,13761.0,45820.0,3.0,1664.0,6656.0,2218.6666666666665,23148.100000000002,3306.871428571429,23650.0
103,19,9,1,14,1,4,1,1,42,20141.0,20141.0,1.0,2400.0,2400.0,2400.0,33502.2,8375.55,34625.0
103,19,17,13,13,1,4,1,1,38,2063.0,2063.0,1.0,1552.0,1552.0,1552.0,34921.3,8730.325,6800.0
103,19,17,13,14,1,2,1,1,58,33666.0,33666.0,1.0,2112.0,2112.0,2112.0,75225.4,37612.7,15000.0
103,19,25,12,13,1,6,1,1,48,15146.0,27320.0,2.0,2400.0,4800.0,2400.0,25617.2,4269.533333333334,1350.0
103,19,25,12,14,1,3,1,1,45,10128.0,27708.0,3.0,1724.0,5744.0,1914.6666666666667,22248.199999999997,7416.066666666666,204.00000000000003
103,19,25,12,15,1,4,1,1,45,34832.0,54664.0,3.0,2400.0,6400.0,2133.3333333333335,55867.2,13966.8,12000.0
103,19,35,3,14,1,4,1,1,69,2667.0,13333.0,2.0,2424.0,4764.0,2382.0,25559.9,6389.975,45800.0
103,19,35,3,15,1,3,1,1,53,6315.0,6315.0,1.0,1800.0,1800.0,1800.0,24885.8,8295.266666666666,13000.0
103,19,45,17,13,1,3,1,1,48,15254.0,15898.0,2.0,2362.0,4282.0,2141.0,50814.1,16938.033333333333,20000.0
103,19,45,17,14,1,4,1,1,45,8749.0,8749.0,1.0,1764.0,1764.0,1764.0,31942.4,7985.6,2960.0
103,21,7,12,13,1,5,1,1,55,329.0,5355.0,3.0,948.0,2788.0,929.3333333333334,31989.800000000003,6397.960000000001,29000.0
103,21,17,10,13,1,3,1,1,40,33018.0,33018.0,1.0,2000.0,2000.0,2000.0,21569.3,7189.766666666666,3000.0
103,21,17,10,14,1,4,1,1,41,12771.0,12771.0,1.0,2000.0,2000.0,2000.0,20697.2,5174.3,2300.0
103,21,25,2,13,1,2,1,1,52,7739.0,7739.0,1.0,1500.0,1500.0,1500.0,9607.5,4803.75,0.0
103,21,25,2,14,1,3,1,1,38,12299.0,22988.0,2.0,2496.0,5616.0,2808.0,18803.9,6267.966666666667,0.0
103,21,43,8,13,1,4,1,1,36,6361.0,6361.0,1.0,2256.0,2256.0,2256.0,23386.2,5846.55,1300.0
103,21,43,8,14,1,4,1,1,37,12644.0,15402.0,2.0,2740.0,3680.0,1840.0,19667.5,4916.875,0.0
103,21,51,2,13,1,3,1,1,56,6728.0,6728.0,1.0,1248.0,1248.0,1248.0,18065.699999999997,6021.899999999999,3000.0
