tinh,huyen,xa,diaban,hoso,m4b16ma,m4b16c2a,m4b16c2b,m4b16c2c,m4b16c2d,m4b16c2e
101,13,7.0,15,24,,,,,,
101,13,13.0,10,13,,,,,,
101,13,13.0,10,14,,,,,,
101,13,13.0,10,15,,,,,,
101,15,3.0,3,13,,,,,,
101,15,3.0,3,14,,,,,,
101,15,3.0,3,15,,,,,,
101,15,9.0,11,14,13.0,492.0,0.0,0.0,0.0,492.0
101,15,9.0,11,14,10.0,-2.0,-2.0,-2.0,0.0,17.0
101,15,9.0,11,14,7.0,15.0,0.0,0.0,0.0,15.0
101,15,9.0,11,14,16.0,99.0,0.0,0.0,0.0,99.0
101,15,9.0,11,14,2.0,0.0,37.0,0.0,0.0,37.0
101,15,9.0,11,14,3.0,-2.0,-2.0,-2.0,-2.0,1183.0
101,15,9.0,11,14,9.0,-2.0,-2.0,-2.0,0.0,20.0
101,15,9.0,11,14,6.0,19.0,0.0,0.0,0.0,19.0
101,15,9.0,11,14,11.0,-2.0,-2.0,-2.0,0.0,1599.0
101,15,9.0,11,14,1.0,197.0,54.0,46.0,0.0,297.0
101,15,9.0,11,14,8.0,12.0,0.0,0.0,0.0,12.0
101,15,9.0,11,14,4.0,-2.0,-2.0,-2.0,-2.0,279.0
101,15,9.0,11,15,2.0,0.0,84.0,0.0,0.0,84.0
101,15,9.0,11,15,11.0,-2.0,-2.0,-2.0,-2.0,2387.0
101,15,9.0,11,15,9.0,-2.0,-2.0,-2.0,-2.0,33.0
101,15,9.0,11,15,3.0,-2.0,-2.0,-2.0,-2.0,2765.0
101,15,9.0,11,15,7.0,37.0,15.0,5.0,0.0,57.0
101,15,9.0,11,15,8.0,-2.0,-2.0,-2.0,-2.0,38.0
101,15,9.0,11,15,1.0,476.0,98.0,115.0,0.0,689.0
101,15,9.0,11,15,16.0,242.0,0.0,0.0,0.0,242.0
101,15,9.0,11,15,15.0,369.0,0.0,0.0,0.0,369.0
101,15,9.0,11,15,6.0,49.0,6.0,6.0,0.0,61.0
101,15,9.0,11,15,4.0,-2.0,-2.0,-2.0,-2.0,664.0
101,15,9.0,11,15,10.0,-2.0,-2.0,-2.0,-2.0,29.0
101,15,9.0,11,20,2.0,0.0,33.0,0.0,0.0,33.0
101,15,9.0,11,20,9.0,-2.0,-2.0,-2.0,-2.0,25.0
101,15,9.0,11,20,15.0,287.0,0.0,0.0,0.0,287.0
101,15,9.0,11,20,16.0,131.0,0.0,0.0,0.0,131.0
101,15,9.0,11,20,8.0,38.0,0.0,0.0,0.0,38.0
101,15,9.0,11,20,1.0,262.0,114.0,127.0,0.0,503.0
101,15,9.0,11,20,6.0,26.0,0.0,0.0,0.0,26.0
101,15,9.0,11,20,3.0,886.0,559.0,192.0,0.0,1637.0
101,15,9.0,11,20,4.0,197.0,123.0,74.0,0.0,394.0
101,15,9.0,11,20,11.0,-2.0,-2.0,-2.0,-2.0,975.0
101,15,9.0,11,20,7.0,19.0,0.0,0.0,0.0,19.0
101,15,9.0,11,20,10.0,-2.0,-2.0,-2.0,-2.0,31.0
101,15,19.0,13,13,,,,,,
101,15,19.0,13,19,3.0,888.0,0.0,0.0,0.0,888.0
101,15,19.0,13,19,5.0,531.0,0.0,0.0,0.0,531.0
101,15,19.0,13,19,8.0,8.0,0.0,0.0,0.0,8.0
101,15,19.0,13,19,1.0,230.0,0.0,0.0,0.0,230.0
101,15,19.0,13,19,6.0,425.0,0.0,0.0,0.0,425.0
101,15,19.0,13,19,16.0,155.0,0.0,0.0,0.0,155.0
101,15,19.0,13,19,13.0,886.0,0.0,0.0,0.0,886.0
101,15,19.0,13,19,19.0,115.0,0.0,0.0,0.0,115.0
101,15,19.0,13,19,7.0,35.0,0.0,0.0,0.0,35.0
101,15,19.0,13,20,8.0,8.0,0.0,0.0,0.0,8.0
101,15,19.0,13,20,13.0,929.0,0.0,0.0,0.0,929.0
101,15,19.0,13,20,3.0,925.0,0.0,0.0,0.0,925.0
101,15,19.0,13,20,6.0,446.0,0.0,0.0,0.0,446.0
101,15,19.0,13,20,7.0,37.0,0.0,0.0,0.0,37.0
101,15,19.0,13,20,5.0,558.0,0.0,0.0,0.0,558.0
101,15,19.0,13,20,1.0,242.0,0.0,0.0,0.0,242.0
101,15,19.0,13,20,16.0,163.0,0.0,0.0,0.0,163.0
101,15,19.0,13,20,19.0,121.0,0.0,0.0,0.0,121.0
101,15,33.0,15,14,14.0,615.0,0.0,0.0,0.0,615.0
101,15,33.0,15,14,9.0,-2.0,-2.0,0.0,-2.0,25.0
101,15,33.0,15,14,8.0,-2.0,-2.0,0.0,-2.0,41.0
101,15,33.0,15,14,3.0,1239.0,566.0,0.0,0.0,1805.0
101,15,33.0,15,14,4.0,262.0,99.0,0.0,0.0,361.0
101,15,33.0,15,14,12.0,-2.0,-2.0,0.0,0.0,1575.0
101,15,33.0,15,14,19.0,-2.0,-2.0,0.0,0.0,598.0
101,15,33.0,15,14,5.0,692.0,29.0,0.0,0.0,721.0
101,15,33.0,15,14,11.0,-2.0,0.0,0.0,-2.0,25.0
101,15,33.0,15,14,1.0,205.0,33.0,29.0,0.0,267.0
101,15,33.0,15,14,7.0,30.0,0.0,0.0,0.0,30.0
101,15,33.0,15,14,16.0,153.0,29.0,0.0,0.0,182.0
101,15,33.0,15,14,6.0,525.0,0.0,0.0,0.0,525.0
101,15,33.0,15,20,6.0,99.0,0.0,0.0,0.0,99.0
101,15,33.0,15,20,11.0,-2.0,0.0,-2.0,0.0,25.0
101,15,33.0,15,20,16.0,57.0,18.0,10.0,0.0,85.0
101,15,33.0,15,20,5.0,148.0,49.0,8.0,0.0,205.0
101,15,33.0,15,20,1.0,99.0,49.0,82.0,0.0,230.0
101,15,33.0,15,20,3.0,578.0,140.0,33.0,0.0,751.0
101,15,33.0,15,20,14.0,222.0,74.0,37.0,0.0,333.0
101,15,33.0,15,20,7.0,18.0,0.0,3.0,0.0,21.0
101,15,33.0,15,20,9.0,-2.0,0.0,-2.0,0.0,17.0
101,15,33.0,15,20,19.0,-2.0,-2.0,0.0,0.0,25.0
101,15,33.0,15,20,8.0,-2.0,0.0,-2.0,0.0,41.0
101,15,33.0,15,24,,,,,,
101,15,39.0,12,13,1.0,237.0,0.0,8.0,0.0,245.0
101,15,39.0,12,13,15.0,164.0,0.0,0.0,0.0,164.0
101,15,39.0,12,13,5.0,-2.0,-2.0,-2.0,0.0,94.0
101,15,39.0,12,13,13.0,623.0,0.0,0.0,0.0,623.0
101,15,39.0,12,13,11.0,-2.0,-2.0,-2.0,0.0,172.0
101,15,39.0,12,13,2.0,0.0,12.0,0.0,0.0,12.0
101,15,39.0,12,13,16.0,91.0,0.0,0.0,0.0,91.0
101,15,39.0,12,13,8.0,-2.0,-2.0,-2.0,0.0,25.0
101,15,39.0,12,13,7.0,23.0,0.0,0.0,0.0,23.0
101,15,39.0,12,13,10.0,-2.0,-2.0,-2.0,0.0,17.0
101,15,39.0,12,13,6.0,57.0,0.0,0.0,0.0,57.0
101,15,39.0,12,13,4.0,-2.0,-2.0,-2.0,0.0,91.0
101,15,39.0,12,13,9.0,-2.0,-2.0,-2.0,0.0,30.0
101,15,39.0,12,13,3.0,-2.0,-2.0,0.0,0.0,1034.0
101,15,39.0,12,14,8.0,-2.0,-2.0,-2.0,-2.0,99.0
101,15,39.0,12,14,15.0,574.0,0.0,0.0,0.0,574.0
101,15,39.0,12,14,9.0,-2.0,-2.0,-2.0,-2.0,49.0
101,15,39.0,12,14,1.0,476.0,25.0,69.0,0.0,570.0
101,15,39.0,12,14,16.0,184.0,0.0,0.0,0.0,184.0
101,15,39.0,12,14,4.0,-2.0,-2.0,-2.0,-2.0,385.0
101,15,39.0,12,14,6.0,115.0,0.0,8.0,0.0,123.0
101,15,39.0,12,14,2.0,0.0,62.0,0.0,82.0,144.0
101,15,39.0,12,14,11.0,-2.0,-2.0,-2.0,-2.0,1722.0
101,15,39.0,12,14,3.0,-2.0,-2.0,-2.0,-2.0,2131.0
101,15,39.0,12,14,10.0,-2.0,-2.0,-2.0,-2.0,91.0
101,15,39.0,12,14,7.0,46.0,0.0,0.0,0.0,46.0
101,15,39.0,12,15,10.0,-2.0,-2.0,0.0,0.0,76.0
101,15,39.0,12,15,11.0,-2.0,-2.0,0.0,0.0,1509.0
101,15,39.0,12,15,4.0,-2.0,-2.0,0.0,0.0,312.0
101,15,39.0,12,15,15.0,283.0,0.0,0.0,0.0,283.0
101,15,39.0,12,15,3.0,-2.0,-2.0,0.0,0.0,1801.0
101,15,39.0,12,15,9.0,-2.0,-2.0,0.0,0.0,160.0
101,15,39.0,12,15,1.0,406.0,17.0,0.0,0.0,423.0
101,15,39.0,12,15,8.0,-2.0,-2.0,0.0,0.0,44.0
101,15,39.0,12,15,6.0,94.0,0.0,0.0,0.0,94.0
101,15,39.0,12,15,2.0,0.0,85.0,0.0,0.0,85.0
101,15,39.0,12,15,17.0,151.0,0.0,0.0,0.0,151.0
101,15,39.0,12,15,7.0,38.0,0.0,0.0,0.0,38.0
101,15,51.0,13,13,2.0,0.0,25.0,0.0,0.0,25.0
101,15,51.0,13,13,7.0,13.0,0.0,0.0,0.0,13.0
101,15,51.0,13,13,16.0,86.0,25.0,0.0,0.0,111.0
101,15,51.0,13,13,6.0,59.0,0.0,0.0,0.0,59.0
101,15,51.0,13,13,9.0,-2.0,-2.0,-2.0,-2.0,6.0
101,15,51.0,13,13,1.0,86.0,49.0,49.0,0.0,184.0
101,15,51.0,13,13,19.0,-2.0,-2.0,-2.0,-2.0,57.0
101,15,51.0,13,13,3.0,989.0,237.0,15.0,0.0,1241.0
101,15,51.0,13,13,4.0,175.0,82.0,25.0,0.0,282.0
101,15,51.0,13,13,11.0,-2.0,-2.0,-2.0,-2.0,4.0
101,15,51.0,13,13,8.0,-2.0,-2.0,-2.0,-2.0,20.0
101,15,51.0,13,14,2.0,0.0,36.0,0.0,0.0,36.0
101,15,51.0,13,14,11.0,-2.0,-2.0,-2.0,-2.0,13.0
101,15,51.0,13,14,16.0,160.0,53.0,0.0,0.0,213.0
101,15,51.0,13,14,19.0,-2.0,-2.0,-2.0,-2.0,462.0
101,15,51.0,13,14,4.0,373.0,218.0,18.0,0.0,609.0
101,15,51.0,13,14,8.0,-2.0,-2.0,-2.0,-2.0,27.0
101,15,51.0,13,14,6.0,129.0,0.0,0.0,0.0,129.0
101,15,51.0,13,14,9.0,-2.0,-2.0,-2.0,-2.0,13.0
101,15,51.0,13,14,3.0,1267.0,617.0,11.0,0.0,1895.0
101,15,51.0,13,14,7.0,22.0,0.0,0.0,0.0,22.0
101,15,51.0,13,14,1.0,169.0,122.0,36.0,0.0,327.0
101,15,51.0,13,15,,,,,,
101,17,13.0,2,13,11.0,164.0,0.0,0.0,0.0,164.0
101,17,13.0,2,13,1.0,180.0,0.0,0.0,0.0,180.0
101,17,13.0,2,13,16.0,94.0,0.0,0.0,0.0,94.0
101,17,13.0,2,13,6.0,49.0,0.0,0.0,0.0,49.0
101,17,13.0,2,13,8.0,41.0,0.0,0.0,0.0,41.0
101,17,13.0,2,13,3.0,647.0,0.0,0.0,0.0,647.0
101,17,13.0,2,13,13.0,451.0,0.0,0.0,0.0,451.0
101,17,13.0,2,13,7.0,17.0,0.0,0.0,0.0,17.0
101,17,13.0,2,13,5.0,112.0,0.0,0.0,0.0,112.0
101,17,13.0,2,13,14.0,230.0,0.0,0.0,0.0,230.0
101,17,13.0,2,13,19.0,66.0,0.0,0.0,0.0,66.0
101,17,13.0,2,14,7.0,25.0,25.0,0.0,0.0,50.0
101,17,13.0,2,14,4.0,91.0,164.0,0.0,0.0,255.0
101,17,13.0,2,14,8.0,41.0,328.0,0.0,0.0,369.0
101,17,13.0,2,14,11.0,656.0,697.0,0.0,0.0,1353.0
101,17,13.0,2,14,3.0,361.0,410.0,0.0,0.0,771.0
101,17,13.0,2,14,1.0,205.0,25.0,0.0,0.0,230.0
101,17,13.0,2,14,9.0,0.0,656.0,0.0,0.0,656.0
101,17,13.0,2,14,2.0,0.0,328.0,0.0,0.0,328.0
101,17,13.0,2,14,5.0,0.0,1476.0,0.0,0.0,1476.0
101,17,13.0,2,14,6.0,82.0,205.0,0.0,0.0,287.0
101,17,13.0,2,14,13.0,287.0,205.0,0.0,0.0,492.0
101,17,13.0,2,14,19.0,164.0,123.0,0.0,0.0,287.0
101,17,13.0,2,14,16.0,369.0,164.0,0.0,0.0,533.0
101,17,13.0,2,14,12.0,205.0,0.0,0.0,0.0,205.0
101,17,13.0,2,15,1.0,172.0,41.0,0.0,0.0,213.0
101,17,13.0,2,15,16.0,99.0,49.0,0.0,0.0,148.0
101,17,13.0,2,15,4.0,82.0,82.0,0.0,0.0,164.0
101,17,13.0,2,15,11.0,82.0,0.0,0.0,0.0,82.0
101,17,13.0,2,15,5.0,123.0,205.0,0.0,0.0,328.0
101,17,13.0,2,15,19.0,86.0,57.0,0.0,0.0,143.0
101,17,13.0,2,15,3.0,638.0,246.0,0.0,0.0,884.0
101,17,13.0,2,15,14.0,172.0,246.0,0.0,0.0,418.0
101,17,13.0,2,15,7.0,19.0,8.0,0.0,0.0,27.0
101,17,13.0,2,15,2.0,0.0,164.0,0.0,0.0,164.0
101,17,13.0,2,15,13.0,569.0,82.0,0.0,0.0,651.0
101,17,13.0,2,15,8.0,41.0,123.0,0.0,0.0,164.0
101,17,13.0,2,15,6.0,66.0,41.0,0.0,0.0,107.0
101,17,27.0,7,13,,,,,,
101,17,27.0,7,14,16.0,167.0,0.0,0.0,0.0,167.0
101,17,27.0,7,14,1.0,161.0,0.0,0.0,0.0,161.0
101,17,27.0,7,14,6.0,76.0,0.0,0.0,0.0,76.0
101,17,27.0,7,14,3.0,359.0,0.0,0.0,0.0,359.0
101,17,27.0,7,14,7.0,26.0,0.0,0.0,0.0,26.0
101,17,27.0,7,14,13.0,506.0,0.0,0.0,0.0,506.0
101,17,27.0,7,14,15.0,337.0,0.0,0.0,0.0,337.0
101,17,27.0,7,14,8.0,26.0,0.0,0.0,0.0,26.0
101,17,27.0,7,14,19.0,50.0,0.0,0.0,0.0,50.0
101,17,27.0,7,14,5.0,85.0,0.0,0.0,0.0,85.0
101,17,27.0,7,15,6.0,34.0,0.0,0.0,0.0,34.0
101,17,27.0,7,15,5.0,85.0,0.0,0.0,0.0,85.0
101,17,27.0,7,15,1.0,102.0,0.0,0.0,0.0,102.0
101,17,27.0,7,15,7.0,17.0,0.0,0.0,0.0,17.0
101,17,27.0,7,15,8.0,12.0,0.0,0.0,0.0,12.0
101,17,27.0,7,15,19.0,21.0,0.0,0.0,0.0,21.0
101,17,27.0,7,15,16.0,169.0,0.0,0.0,0.0,169.0
101,17,27.0,7,15,13.0,320.0,0.0,0.0,0.0,320.0
101,17,27.0,7,15,3.0,337.0,0.0,0.0,0.0,337.0
101,17,31.0,13,13,3.0,328.0,0.0,0.0,0.0,328.0
101,17,31.0,13,13,6.0,33.0,0.0,0.0,0.0,33.0
101,17,31.0,13,13,5.0,82.0,0.0,0.0,0.0,82.0
101,17,31.0,13,13,19.0,8.0,0.0,0.0,0.0,8.0
101,17,31.0,13,13,8.0,15.0,0.0,0.0,0.0,15.0
101,17,31.0,13,13,13.0,345.0,0.0,0.0,0.0,345.0
101,17,31.0,13,13,7.0,10.0,0.0,0.0,0.0,10.0
101,17,31.0,13,13,1.0,82.0,0.0,0.0,0.0,82.0
101,17,31.0,13,13,16.0,78.0,0.0,0.0,0.0,78.0
101,17,31.0,13,14,15.0,123.0,0.0,0.0,0.0,123.0
101,17,31.0,13,14,1.0,131.0,4.0,0.0,0.0,135.0
101,17,31.0,13,14,13.0,656.0,0.0,0.0,0.0,656.0
101,17,31.0,13,14,6.0,82.0,0.0,0.0,0.0,82.0
101,17,31.0,13,14,4.0,246.0,17.0,0.0,0.0,263.0
101,17,31.0,13,14,3.0,820.0,8.0,0.0,0.0,828.0
101,17,31.0,13,14,7.0,25.0,0.0,0.0,0.0,25.0
101,17,31.0,13,14,8.0,17.0,0.0,0.0,0.0,17.0
101,17,31.0,13,14,2.0,0.0,2.0,0.0,0.0,2.0
101,17,31.0,13,14,9.0,17.0,0.0,0.0,0.0,17.0
101,17,31.0,13,14,16.0,237.0,0.0,0.0,0.0,237.0
101,17,31.0,13,14,19.0,41.0,0.0,0.0,0.0,41.0
101,17,31.0,13,15,7.0,53.0,0.0,0.0,0.0,53.0
101,17,31.0,13,15,11.0,89.0,0.0,0.0,0.0,89.0
101,17,31.0,13,15,1.0,351.0,0.0,0.0,0.0,351.0
101,17,31.0,13,15,5.0,266.0,0.0,0.0,0.0,266.0
101,17,31.0,13,15,3.0,1465.0,0.0,0.0,0.0,1465.0
101,17,31.0,13,15,6.0,160.0,0.0,0.0,0.0,160.0
101,17,31.0,13,15,19.0,133.0,0.0,0.0,0.0,133.0
101,17,31.0,13,15,8.0,133.0,0.0,0.0,0.0,133.0
101,17,31.0,13,15,16.0,391.0,0.0,0.0,0.0,391.0
101,17,31.0,13,15,13.0,488.0,0.0,0.0,0.0,488.0
101,17,33.0,15,13,8.0,26.0,0.0,0.0,0.0,26.0
101,17,33.0,15,13,3.0,211.0,0.0,0.0,17.0,228.0
101,17,33.0,15,13,16.0,61.0,0.0,0.0,0.0,61.0
101,17,33.0,15,13,5.0,64.0,0.0,0.0,0.0,64.0
101,17,33.0,15,13,13.0,253.0,0.0,0.0,0.0,253.0
101,17,33.0,15,13,19.0,5.0,0.0,0.0,0.0,5.0
101,17,33.0,15,13,1.0,102.0,0.0,0.0,0.0,102.0
101,17,33.0,15,13,6.0,26.0,0.0,0.0,0.0,26.0
101,17,33.0,15,13,7.0,9.0,0.0,0.0,0.0,9.0
101,17,33.0,15,13,15.0,169.0,0.0,0.0,0.0,169.0
101,17,33.0,15,14,,,,,,
101,17,33.0,15,15,3.0,902.0,0.0,0.0,0.0,902.0
101,17,33.0,15,15,16.0,202.0,0.0,0.0,0.0,202.0
101,17,33.0,15,15,7.0,34.0,0.0,0.0,0.0,34.0
101,17,33.0,15,15,1.0,295.0,0.0,0.0,0.0,295.0
101,17,33.0,15,15,8.0,50.0,0.0,0.0,0.0,50.0
101,17,33.0,15,15,19.0,42.0,0.0,0.0,0.0,42.0
101,17,33.0,15,15,6.0,126.0,0.0,0.0,0.0,126.0
101,17,33.0,15,15,13.0,928.0,0.0,0.0,0.0,928.0
101,17,33.0,15,15,5.0,337.0,0.0,0.0,0.0,337.0
101,17,35.0,16,13,3.0,2441.0,0.0,0.0,0.0,2441.0
101,17,35.0,16,13,13.0,1385.0,0.0,0.0,0.0,1385.0
101,17,35.0,16,13,16.0,133.0,0.0,0.0,0.0,133.0
101,17,35.0,16,13,12.0,1243.0,0.0,0.0,0.0,1243.0
101,17,35.0,16,13,7.0,44.0,0.0,0.0,0.0,44.0
101,17,35.0,16,13,1.0,444.0,0.0,0.0,0.0,444.0
101,17,35.0,16,13,19.0,53.0,0.0,0.0,0.0,53.0
101,17,35.0,16,13,11.0,89.0,0.0,0.0,0.0,89.0
101,17,35.0,16,13,6.0,222.0,0.0,0.0,0.0,222.0
101,17,35.0,16,13,8.0,89.0,0.0,0.0,0.0,89.0
101,17,35.0,16,13,4.0,621.0,0.0,0.0,0.0,621.0
101,17,35.0,16,14,,,,,,
101,17,35.0,16,15,,,,,,
101,17,37.0,23,13,6.0,50.0,0.0,0.0,0.0,50.0
101,17,37.0,23,13,7.0,12.0,0.0,0.0,0.0,12.0
101,17,37.0,23,13,19.0,42.0,0.0,0.0,0.0,42.0
