tinh,huyen,xa,m3tt1,m3c6,m3c7,m3c8,m3c9,m3c10,m3c11,m3c12
103,15,03,4,19,4,4,1,2,220,200
103,15,03,5,19,5,3,1,2,110,100
103,15,11,1,18,4,4,1,2,-2,-2
103,15,11,2,19,4,4,1,2,-2,-2
103,15,11,3,20,4,4,1,2,-2,-2
103,15,11,4,34,4,4,1,2,-2,-2
103,15,11,5,19,4,4,1,2,-2,-2
103,17,17,1,18,5,4,1,1,-2,-2
103,17,17,2,19,5,4,1,2,-2,-2
103,17,17,3,19,5,3,1,2,-2,-2
103,17,17,4,19,5,3,1,2,-2,-2
103,17,17,5,19,5,3,1,2,-2,-2
103,17,23,1,19,4,5,1,1,60,60
103,17,23,2,18,5,4,1,2,-2,-2
103,17,23,3,19,5,3,1,2,-2,-2
103,17,23,4,19,5,3,1,2,-2,-2
103,17,23,5,19,5,4,1,2,-2,-2
103,17,31,1,19,4,5,1,1,200,195
103,17,31,2,18,5,4,1,2,-2,-2
103,17,31,3,19,5,3,1,2,-2,-2
103,17,31,4,19,5,4,1,2,-2,-2
103,17,31,5,19,5,4,1,2,-2,-2
103,19,09,1,17,4,5,1,1,30,15
103,19,09,2,45,3,1,1,1,50,20
103,19,09,3,55,3,2,1,1,60,30
103,19,17,1,17,3,1,1,1,80,60
103,19,17,2,45,3,1,1,1,40,18
103,19,17,3,55,3,4,1,1,-2,-2
103,19,25,1,17,3,3,2,1,900,630
103,19,25,2,45,3,1,1,1,80,25
103,19,25,3,55,3,2,1,1,130,90
103,21,17,1,19,5,3,1,2,110,100
103,21,17,2,19,4,5,1,2,75,70
103,21,25,1,19,4,4,1,2,108,108
103,21,25,2,18,4,5,1,1,190,150
103,21,25,3,19,4,5,1,2,100,100
103,21,35,1,20,4,1,2,1,115,38
103,21,35,2,19,4,3,1,2,140,140
103,21,43,1,19,4,5,1,1,120,95
103,21,43,2,18,4,4,1,2,5,5
103,21,43,3,19,4,5,1,2,10,10
103,21,43,4,15,4,4,1,1,20,15
103,21,43,5,60,4,4,1,1,12,2
103,21,51,1,19,4,4,1,2,-2,-2
103,21,51,2,20,2,2,2,2,-2,-2
103,21,51,3,18,4,4,1,2,-2,-2
103,21,51,4,19,4,5,1,2,-2,-2
103,21,51,5,19,4,4,1,2,-2,-2
104,01,17,1,14,3,5,1,1,12,9
104,01,17,2,25,3,4,1,1,14,6
104,01,17,3,23,3,1,1,1,15,10
104,01,17,4,23,3,5,1,1,11,6
104,01,17,5,10,4,5,1,1,18,8
104,03,11,1,47,3,1,1,1,308,185
104,03,11,2,49,3,3,1,1,30,1
104,03,11,3,10,3,2,1,1,8,1
104,03,11,4,10,3,2,1,1,19,10
104,03,11,5,31,3,1,1,1,28,0
104,03,29,1,10,3,2,1,1,296,155
104,03,29,2,31,3,1,1,1,45,-2
104,03,29,3,41,3,2,1,1,31,-2
104,03,29,4,10,3,2,1,1,38,-2
104,03,29,5,47,3,1,1,1,55,34
104,03,33,1,10,3,1,1,1,26,5
104,03,33,2,10,3,2,1,1,14,1
104,03,33,3,10,3,2,1,1,22,8
104,03,33,4,14,3,2,1,1,6,5
104,03,33,5,47,3,1,1,1,48,25
104,03,43,1,41,3,4,1,1,138,25
104,03,43,2,47,3,4,1,1,119,46
104,03,43,3,31,3,1,1,1,40,0
104,03,43,4,10,3,1,1,1,74,8
104,03,43,5,10,3,2,1,1,15,5
104,03,53,1,10,3,1,1,1,34,0
104,03,53,2,41,3,1,1,1,50,12
104,03,53,3,47,3,1,1,1,64,25
104,03,53,4,49,3,1,1,1,73,26
104,03,53,5,10,3,1,1,1,47,42
104,03,61,1,47,3,1,1,1,104,86
104,03,61,2,31,3,1,1,1,28,0
104,03,61,3,11,3,1,1,1,21,5
104,03,61,4,14,3,1,1,1,15,14
104,03,61,5,49,3,3,1,1,14,0
104,03,69,1,47,3,1,1,1,1008,516
104,03,69,2,47,3,4,1,1,205,109
104,03,69,3,23,3,1,1,1,20,0
104,03,69,4,8,3,1,1,1,11,0
104,03,69,5,49,3,1,1,1,54,0
104,03,75,1,7,3,1,2,1,1760,860
104,03,75,2,47,3,1,1,1,250,170
104,03,75,3,10,3,1,1,1,15,2
104,03,75,4,11,3,1,1,1,15,3
104,03,75,5,16,3,1,1,1,18,0
104,04,01,1,7,3,1,1,1,-2,-2
104,04,09,1,49,4,5,1,1,-2,-2
104,04,09,2,41,4,5,1,1,-2,-2
104,04,09,3,16,4,5,1,1,-2,-2
104,05,17,1,41,4,3,1,2,2,-2
104,05,17,2,41,4,5,1,2,1,-2
104,05,17,3,41,4,5,1,2,1,-2
104,05,17,4,10,4,3,1,2,-2,-2
104,05,17,5,41,4,5,1,2,-2,-2
104,05,29,1,23,4,1,1,2,-2,-2
104,05,29,2,23,4,3,1,2,6,1
104,05,29,3,49,4,3,1,2,4,0
104,05,29,4,41,4,3,1,1,7,2
104,05,29,5,41,4,5,1,2,-2,-2
104,05,43,1,49,4,4,1,2,2,0
104,05,43,2,23,4,4,1,2,6,2
104,05,43,3,23,4,4,1,1,10,3
104,05,43,4,23,4,5,1,2,-2,-2
104,05,43,5,41,4,3,1,2,-2,-2
104,05,45,1,23,4,4,1,1,-2,-2
104,05,45,2,32,4,5,1,1,-2,-2
104,05,45,3,49,4,4,1,1,-2,-2
104,05,45,4,47,4,5,1,1,-2,-2
104,05,45,5,11,4,4,1,2,12,10
104,06,09,1,23,1,1,1,1,-2,-2
104,06,09,2,23,4,3,1,1,-2,-2
104,06,09,3,41,4,3,1,1,-2,-2
104,06,09,4,41,4,3,1,1,-2,-2
104,06,09,5,41,4,4,1,1,-2,-2
104,06,21,1,14,5,5,1,1,280,250
104,06,21,2,24,4,4,1,1,50,3
104,06,21,3,23,5,4,1,1,80,2
104,06,21,4,23,4,5,1,1,30,10
104,06,21,5,10,4,4,1,1,20,8
104,07,03,1,23,4,9,1,1,70,20
104,07,03,2,23,3,4,1,1,70,25
104,07,29,1,14,4,5,1,2,30,30
104,07,47,1,32,4,4,1,1,20,12
104,09,13,1,7,3,1,2,1,1000,480
104,09,15,1,13,3,1,2,1,480,320
104,09,21,1,6,3,1,2,1,-2,245
104,09,27,1,7,3,5,1,2,-2,-2
104,09,33,1,23,3,3,1,2,15,-1
104,09,33,2,23,3,3,1,2,20,-1
104,09,33,3,14,3,4,1,1,10,0
104,09,33,4,16,4,3,1,1,15,3
104,09,33,5,16,4,3,1,1,18,4
104,11,17,1,30,5,3,1,2,100,60
104,11,17,2,26,5,4,1,2,95,60
104,11,17,3,30,5,4,1,2,30,25
104,11,17,4,26,5,4,1,2,40,30
104,11,23,1,16,5,4,1,1,120,102
104,11,23,2,10,4,4,1,1,70,67
104,11,23,3,26,4,5,1,1,85,8
104,11,23,4,26,5,5,1,1,65,49
104,11,23,5,13,4,4,1,1,90,87
104,11,25,1,15,1,2,1,2,215,201
104,11,25,2,30,5,3,1,2,119,17
104,11,25,3,22,5,3,1,1,87,58
104,11,25,4,16,4,5,1,1,47,28
104,11,25,5,16,4,5,1,1,51,45
104,11,31,1,23,3,3,1,1,40,30
104,11,31,2,23,3,3,1,1,45,30
104,11,31,3,23,3,5,1,1,25,13
104,11,31,4,23,3,3,1,1,27,17
105,01,29,1,20,4,3,1,1,300,200
105,01,29,2,20,4,4,1,1,150,120
105,01,29,3,21,4,3,1,1,45,20
105,01,29,4,28,4,3,1,1,80,25
105,01,29,5,20,4,3,1,1,60,35
105,03,21,1,50,4,5,1,1,0,0
105,03,21,2,20,4,4,1,1,-2,-2
105,03,21,3,20,4,3,1,1,-2,-2
105,03,21,4,20,4,3,1,1,-2,-2
105,03,21,5,45,4,5,1,1,15,0
105,05,03,1,93,3,4,1,1,6,4
105,05,03,2,93,4,5,1,1,15,13
105,05,31,1,15,4,4,1,1,40,22
105,05,31,2,51,4,4,1,1,20,15
105,05,43,1,55,4,4,1,1,30,19
105,05,43,2,55,4,1,1,1,32,22
105,07,19,1,25,3,4,1,1,20,5
105,07,19,2,36,3,4,1,1,30,7
105,07,19,3,26,3,3,1,1,26,5
105,07,19,4,36,3,4,1,1,24,6
105,07,19,5,28,3,4,1,1,15,4
105,07,31,1,18,3,1,2,2,32,30
105,07,31,2,18,3,3,2,2,-2,-2
105,07,31,3,18,3,3,2,2,26,26
105,07,31,4,18,3,3,2,2,-2,-2
105,07,31,5,18,3,3,2,2,20,20
105,07,39,1,18,3,3,1,1,25,25
105,07,39,2,18,3,3,1,1,10,10
105,07,39,3,18,3,3,1,1,12,10
105,07,39,4,18,3,3,1,1,8,7
105,09,13,1,36,3,1,2,1,1000,120
105,09,23,1,17,4,4,1,1,40,32
105,09,23,2,20,4,4,1,1,20,5
105,09,23,3,41,4,4,1,1,20,2
105,09,23,4,20,4,4,1,1,15,2
105,09,23,5,20,4,4,1,1,15,1
105,09,27,1,17,4,4,1,1,800,780
105,09,27,2,17,4,4,1,1,300,295
105,09,27,3,15,3,3,1,1,15,5
105,09,27,4,27,3,4,1,1,10,1
105,09,27,5,36,3,5,1,1,15,1
105,09,29,1,51,4,5,1,1,28,2
105,09,29,2,51,4,5,1,1,17,3
105,11,07,1,45,4,4,1,1,36,8
105,11,23,1,15,3,1,2,1,-2,-2
105,11,23,2,36,3,1,2,1,-2,-2
105,11,23,3,28,4,5,1,1,-2,-2
105,11,23,4,20,4,5,1,1,-2,-2
105,11,23,5,15,4,5,1,1,-2,-2
105,11,33,1,20,4,5,1,1,-2,-2
105,11,33,2,20,4,4,1,1,-2,-2
105,11,33,3,20,4,5,1,1,-2,-2
105,11,33,4,20,4,5,1,1,-2,-2
105,11,33,5,20,4,5,1,1,-2,-2
105,13,07,1,15,4,3,1,1,-2,-2
105,13,07,2,15,4,4,1,1,-2,-2
105,13,07,3,15,4,4,1,1,-2,-2
105,13,07,4,15,4,4,1,1,-2,-2
105,13,07,5,15,4,4,1,2,-2,-2
105,13,11,1,28,4,4,1,1,50,23
105,13,11,2,28,4,5,2,1,65,5
105,13,11,3,45,4,4,1,1,70,20
105,13,11,4,45,4,5,1,1,74,27
105,13,11,5,21,4,4,1,1,50,15
105,13,15,1,15,4,4,2,1,1500,300
105,13,15,2,15,4,4,2,1,50,-2
105,13,15,3,15,4,4,2,1,50,-2
105,13,15,4,15,4,4,2,1,20,-2
105,13,15,5,65,2,3,1,1,10,2
105,13,17,1,29,4,2,1,1,15,2
105,13,17,2,27,4,3,1,1,10,3
105,13,17,3,20,4,3,2,1,12,4
105,13,17,4,25,4,4,1,1,6,2
105,13,17,5,36,4,4,1,1,5,2
105,13,23,1,19,4,4,1,1,28,22
105,15,13,1,20,4,1,1,1,50,45
105,15,23,1,18,4,5,1,2,25,20
105,15,23,2,18,4,5,1,2,35,30
105,15,23,3,35,4,5,1,2,20,5
105,15,23,4,28,4,4,1,2,25,5
105,15,29,1,15,4,5,1,1,70,60
105,15,29,2,15,4,4,1,1,30,20
105,17,13,1,20,2,5,2,1,3750,3195
105,17,13,2,20,2,5,2,1,2100,1875
105,17,13,3,20,4,4,1,1,500,425
105,17,13,4,20,4,4,1,1,450,316
105,17,13,5,36,4,5,1,1,175,151
105,17,21,1,45,4,3,1,1,200,135
105,17,21,2,45,4,3,1,1,90,61
105,17,31,1,14,4,4,1,2,80,15
105,17,31,2,14,3,3,1,1,200,40
105,17,39,1,18,4,5,1,2,60,51
105,17,39,2,15,4,4,1,2,335,300
105,17,39,3,45,4,5,1,1,-2,-2
105,17,47,1,18,4,4,1,2,60,55
105,17,47,2,18,4,4,1,2,50,50
105,17,47,3,20,3,4,1,1,450,300
105,17,59,1,20,3,5,2,1,1581,872
105,19,13,1,18,4,4,1,1,200,200
105,19,13,2,18,4,4,1,1,300,300
105,19,13,3,45,4,4,1,1,20,0
105,19,13,4,19,4,4,1,1,20,9
105,19,13,5,20,4,4,1,1,15,0
105,19,21,1,19,4,3,2,1,4000,3300
105,19,21,2,45,4,4,1,1,50,12
105,19,21,3,18,4,4,1,1,45,30
105,19,21,4,18,5,3,1,2,250,180
105,19,21,5,18,4,3,1,2,150,130
105,19,27,1,19,3,5,1,1,10,0
105,19,27,2,17,3,5,1,1,15,0
105,19,27,3,15,3,1,2,1,780,410
105,19,27,4,15,3,1,2,1,800,450
105,19,27,5,26,1,1,1,2,40,20
105,19,39,1,20,4,4,2,1,10,0
105,19,39,2,20,4,3,2,1,10,0
105,19,39,3,28,3,4,2,1,12,6
105,19,39,4,25,3,5,2,1,6,0
105,19,47,1,20,3,1,2,1,3000,1800
105,19,47,2,19,3,5,1,1,12,10
105,19,47,3,25,4,4,1,2,30,18
105,21,07,1,20,4,1,1,1,-2,-2
105,21,07,2,20,4,1,1,1,-2,-2
105,21,07,3,20,4,3,1,1,-2,-2
105,21,07,4,20,4,4,1,1,-2,-2
105,21,07,5,20,4,5,1,1,-2,-2
105,21,15,1,45,4,5,1,1,7,2
105,21,15,2,31,4,5,1,2,4,1
105,21,15,3,31,4,5,1,2,6,0
105,21,15,4,61,4,4,1,2,2,0
105,21,37,1,15,3,4,1,1,25,18
105,21,37,2,15,3,4,1,1,30,20
105,21,37,3,15,3,3,1,1,40,25
105,21,37,4,15,3,5,1,1,25,13
105,21,37,5,15,3,4,1,1,30,17
105,21,45,1,15,5,4,1,2,15,2
105,21,45,2,20,4,5,1,2,3,0
105,21,45,3,20,4,4,2,2,4,1
105,21,45,4,45,4,5,1,2,3,0
105,21,45,5,20,4,5,2,2,4,0
105,21,55,1,36,3,2,2,1,6,3
105,21,55,2,36,3,3,2,1,5,3
105,21,55,3,36,3,3,2,1,7,4
105,21,55,4,36,3,3,2,1,6,3
105,21,55,5,36,3,3,2,1,4,2
105,23,03,1,18,4,1,2,1,95,90
105,23,03,2,18,3,1,2,1,15,15
105,23,03,3,18,3,1,2,1,12,12
105,23,03,4,18,3,1,2,1,13,13
105,23,03,5,18,3,1,2,1,10,10
105,23,29,1,15,4,4,1,1,9,6
105,23,29,2,45,3,5,1,1,10,5
105,23,29,3,45,3,5,1,1,9,4
105,23,29,4,45,4,5,1,1,10,4
105,23,45,1,26,3,4,1,1,15,9
105,23,45,2,26,3,4,1,1,15,10
105,23,45,3,26,3,4,1,1,10,6
105,23,45,4,26,3,4,1,1,10,5
105,23,45,5,26,3,4,1,1,10,6
105,25,13,1,18,5,3,1,1,360,200
105,25,13,2,17,4,5,1,1,120,70
105,25,13,3,17,4,4,2,1,20,15
105,25,13,4,51,4,4,1,1,7,2
105,25,13,5,17,4,4,2,1,15,10
105,25,23,1,26,1,1,1,1,180,80
105,25,33,1,25,3,4,2,1,10,2
105,25,33,2,20,3,3,2,1,7,3
105,25,33,3,20,3,3,2,1,6,2
105,25,33,4,20,3,2,2,1,10,3
105,25,33,5,20,3,2,2,1,10,3
105,25,39,1,26,4,3,1,1,15,10
105,25,39,2,26,4,5,1,1,15,10
105,27,05,1,10,3,1,2,1,750,390
105,27,05,2,45,4,3,1,1,30,12
105,27,05,3,51,4,3,1,1,20,8
105,27,05,4,45,4,3,1,1,70,25
105,27,05,5,45,4,3,1,1,45,15
105,27,15,1,20,3,1,2,1,515,270
105,27,15,2,20,3,1,2,1,225,122
105,27,15,3,20,3,1,2,1,390,210
105,27,15,4,20,3,1,2,1,765,402
105,27,15,5,20,3,1,2,1,715,380
105,27,25,1,19,3,1,2,2,620,357
105,27,25,2,17,3,1,2,1,300,210
105,27,25,3,36,3,1,2,2,80,45
105,27,25,4,36,3,1,2,2,70,32
105,27,25,5,36,3,1,2,2,60,28
105,27,33,1,19,3,1,2,2,90,30
105,27,33,2,18,5,5,1,2,130,95
105,27,33,3,45,4,5,1,1,30,2
105,27,33,4,15,4,5,1,1,15,10
105,27,45,1,36,3,3,2,2,55,38
105,27,45,2,36,3,4,2,2,20,16
105,27,45,3,45,3,1,1,1,26,6
105,27,45,4,45,3,5,1,1,22,7
105,27,45,5,45,3,2,1,1,20,7
105,27,53,1,26,3,3,1,1,65,45
105,27,53,2,18,4,5,1,1,50,44
105,27,53,3,26,3,3,1,1,65,35
105,27,53,4,26,3,4,1,1,45,30
105,27,53,5,26,3,4,1,1,65,45
106,01,17,1,18,5,4,1,1,120,107
106,01,17,2,28,4,5,1,1,17,1
106,01,17,3,18,4,5,1,1,200,186
106,01,17,4,92,4,5,1,1,10,2
106,01,17,5,20,4,5,1,1,8,3
106,03,05,1,20,3,1,2,2,80,60
106,03,05,2,51,3,3,1,1,12,8
106,03,09,1,21,3,1,2,2,150,40
106,03,17,1,18,5,4,1,2,70,70
106,03,17,2,21,4,1,2,2,230,210
106,03,17,3,36,4,3,1,2,60,47
106,03,17,4,36,4,4,1,2,30,28
106,03,17,5,18,4,3,1,2,55,55
106,03,21,1,21,4,1,2,2,950,300
106,03,21,2,25,3,4,1,1,20,10
106,03,21,3,20,3,3,1,1,7,3
106,03,21,4,21,4,4,1,1,45,15
106,03,27,1,36,3,1,2,2,320,150
106,05,03,1,36,3,4,1,1,17,10
106,05,03,2,36,3,4,1,1,18,9
106,05,03,3,36,3,4,1,1,20,13
106,05,03,4,36,3,4,1,1,19,12
106,05,03,5,36,3,4,1,1,17,11
106,05,09,1,45,4,4,1,1,15,12
106,05,23,1,17,4,4,1,1,-2,-2
106,05,23,2,21,4,5,1,1,23,21
106,05,29,1,36,4,4,1,1,460,332
106,05,29,2,36,3,4,1,1,60,48
106,05,29,3,36,2,4,1,1,60,48
106,05,37,1,36,3,4,1,1,30,16
106,05,37,2,36,3,4,1,1,25,15
106,05,37,3,36,3,4,1,1,30,15
106,05,37,4,36,3,4,1,1,20,12
106,05,37,5,36,3,4,1,1,25,13
106,05,41,1,20,2,4,1,1,25,7
106,05,41,2,36,3,2,1,1,8,0
106,07,15,1,17,3,1,2,1,2500,2100
106,07,15,2,45,4,1,1,1,120,20
106,07,15,3,45,4,1,1,1,60,15
106,07,15,4,45,4,4,1,1,80,10
106,07,15,5,45,4,4,1,1,95,15
106,07,29,1,26,5,5,1,2,60,55
106,07,29,2,26,5,5,1,2,30,30
106,07,29,3,26,5,5,1,2,15,15
106,07,29,4,10,4,4,1,2,10,6
106,07,29,5,14,5,5,1,2,15,12
106,07,37,1,18,5,4,1,1,150,142
106,07,37,2,15,4,4,1,1,110,92
106,07,37,3,26,4,4,1,1,106,90
106,07,37,4,26,4,5,1,2,50,40
106,07,37,5,51,4,3,1,1,120,110
106,07,41,1,17,2,3,1,1,120,120
106,07,41,2,17,4,5,1,1,40,40
106,07,41,3,26,4,4,1,2,37,17
106,07,41,4,15,4,4,1,2,30,25
106,07,41,5,51,4,3,1,2,60,50
106,07,45,1,26,5,5,1,1,200,180
106,07,45,2,20,4,5,1,1,25,0
106,07,45,3,26,5,5,1,1,130,90
106,07,45,4,26,1,5,1,1,30,0
106,07,45,5,23,4,5,1,1,25,0
106,07,53,1,26,4,4,1,1,54,42
106,07,53,2,45,4,4,1,1,18,2
106,07,53,3,45,4,4,1,2,20,5
106,07,53,4,15,4,4,1,2,45,25
106,07,53,5,45,4,4,1,1,14,2
106,08,03,1,20,3,4,2,1,-2,-2
106,08,03,2,20,4,4,2,1,-2,-2
106,08,03,3,20,4,4,2,1,-2,-2
106,08,03,4,20,4,4,2,1,-2,-2
106,08,07,1,36,4,3,1,1,40,5
106,08,07,2,36,4,4,1,1,15,3
106,08,07,3,36,4,4,1,1,15,3
106,08,07,4,36,4,5,1,1,-2,-2
106,08,07,5,36,4,4,1,1,17,5
106,08,09,1,17,3,1,2,1,1000,-2
106,08,09,2,17,4,4,1,1,15,-2
106,08,09,3,17,4,4,1,1,20,-2
106,08,09,4,17,4,4,1,1,45,-2
106,08,09,5,17,4,4,1,1,26,-2
106,08,11,1,45,4,3,1,1,170,-2
106,08,11,2,45,4,3,1,1,240,-2
106,08,11,3,45,4,3,1,1,90,-2
106,08,11,4,45,4,3,1,1,40,-2
106,08,11,5,15,3,1,2,1,700,-2
106,08,13,1,36,2,4,2,1,100,-2
106,08,13,2,36,2,4,2,1,140,-2
106,08,13,3,26,4,4,2,1,100,-2
106,08,13,4,36,4,4,2,1,120,-2
106,08,13,5,36,4,2,2,1,150,-2
106,08,17,1,27,3,1,2,1,1800,800
106,08,17,2,27,4,4,1,1,40,4
106,08,17,3,27,4,4,1,1,30,4
106,08,17,4,27,4,4,1,1,32,3
106,08,17,5,27,4,4,1,1,25,2
106,09,05,1,26,3,0,1,1,-2,-2
106,09,05,2,21,3,0,1,1,-2,-2
106,09,05,3,18,4,0,1,2,-2,-2
106,09,11,1,26,3,3,1,1,-2,-2
106,09,21,1,18,4,5,1,2,-2,-2
106,09,21,2,18,1,3,1,2,-2,-2
106,11,33,1,45,3,4,1,1,-2,-2
106,11,33,2,45,3,4,1,1,-2,-2
106,11,33,3,45,3,4,1,1,-2,-2
106,11,33,4,45,3,4,1,1,-2,-2
106,11,33,5,45,3,4,1,1,-2,-2
106,11,41,1,26,3,3,1,2,-2,-2
106,11,41,2,26,3,3,1,2,-2,-2
106,11,41,3,26,3,3,1,2,-2,-2
106,11,41,4,26,3,3,1,2,-2,-2
106,11,41,5,26,3,3,1,2,-2,-2
106,11,51,1,45,3,4,1,1,-2,-2
106,11,51,2,45,3,4,1,1,-2,-2
106,11,51,3,27,4,4,1,2,-2,-2
106,12,11,1,15,3,4,1,1,2,1
106,12,11,2,15,2,4,1,1,5,1
106,12,11,3,45,4,5,1,1,52,16
106,12,11,4,20,4,3,1,1,3,1
106,12,11,5,51,4,3,1,1,2,1
106,12,15,1,45,3,3,1,1,5,1
106,12,15,2,20,3,4,1,1,5,1
106,12,15,3,52,3,3,1,1,2,1
106,12,15,4,61,3,3,1,1,4,1
106,12,15,5,61,3,3,1,1,4,1
106,12,23,1,28,4,5,1,1,15,-2
106,12,23,2,28,4,5,1,1,12,-2
106,12,23,3,28,4,5,1,1,20,-2
106,12,23,4,28,4,5,1,1,15,-2
106,12,23,5,28,4,2,1,1,40,-2
107,03,15,1,35,1,1,1,2,-2,-2
107,03,21,1,26,4,5,1,1,127,15
107,03,21,2,47,4,3,1,1,2,2
107,03,29,1,23,2,1,1,1,33,10
107,03,29,2,14,5,4,1,2,25,20
107,03,29,3,14,5,5,1,2,12,8
