tinh,huyen,xa,diaban,hoso,m5b4c2_1,m5b4c2_2,m5b4c2_3,m5b4c2_4,m5b4c2_5,m5b4c2_6,m5b4c2_7,m5b4c2_8
101,13,7.0,15,19,0,0,0,0,0,0,0,0
101,13,7.0,15,24,0,0,18500,0,0,0,0,0
101,13,13.0,10,13,0,0,0,15000,0,0,0,0
101,13,13.0,10,14,0,170000,0,0,0,0,0,0
101,13,13.0,10,15,0,0,0,50000,0,0,0,0
101,15,3.0,3,13,0,6000,0,0,0,0,0,0
101,15,3.0,3,14,90,0,0,0,0,0,0,0
101,15,3.0,3,15,5000,0,0,0,0,0,0,0
101,15,9.0,11,14,0,0,0,0,0,0,0,0
101,15,9.0,11,15,0,0,0,0,0,0,0,0
101,15,9.0,11,20,0,0,0,0,0,0,0,0
101,15,19.0,13,13,0,0,0,0,0,0,300000,0
101,15,19.0,13,19,440,0,0,0,0,0,0,0
101,15,19.0,13,20,735,0,0,0,0,0,0,0
101,15,33.0,15,14,0,0,0,0,0,0,0,0
101,15,33.0,15,20,0,0,0,0,0,0,0,0
101,15,33.0,15,24,0,0,0,0,0,0,0,0
101,15,39.0,12,13,0,0,0,0,0,0,0,0
101,15,39.0,12,14,0,0,0,0,0,0,0,0
101,15,39.0,12,15,0,0,0,0,0,0,0,0
101,15,51.0,13,13,0,0,0,0,0,0,0,0
101,15,51.0,13,14,0,0,0,0,0,0,0,0
101,15,51.0,13,15,0,0,0,0,0,0,0,0
101,17,13.0,2,13,0,0,0,0,0,0,0,0
101,17,13.0,2,14,0,0,0,0,0,0,0,0
101,17,13.0,2,15,0,0,0,0,0,0,0,0
101,17,27.0,7,13,0,0,0,0,0,0,0,0
101,17,27.0,7,14,0,0,0,0,0,0,0,1430
101,17,27.0,7,15,0,1000,0,0,0,0,0,0
101,17,31.0,13,13,15000,0,0,0,0,0,0,0
101,17,31.0,13,14,0,0,0,0,0,0,0,0
101,17,31.0,13,15,0,60000,0,0,0,0,0,0
101,17,33.0,15,13,0,0,0,0,0,0,0,0
101,17,33.0,15,14,0,0,0,0,10500,0,0,0
101,17,33.0,15,15,0,0,0,0,0,0,0,0
101,17,35.0,16,13,0,30000,0,0,0,0,0,0
101,17,35.0,16,14,30000,0,0,0,0,0,0,0
101,17,35.0,16,15,0,0,0,0,0,0,400000,0
101,17,37.0,23,13,0,0,0,0,0,0,0,100
101,17,37.0,23,14,0,2000,0,0,0,0,0,0
101,17,37.0,23,15,0,2000,3600,4000,0,0,0,0
101,17,39.0,9,13,0,0,50000,0,0,0,0,0
101,17,39.0,9,14,0,0,0,0,0,0,0,0
101,17,39.0,9,15,0,0,0,0,0,0,0,0
101,19,5.0,18,13,4000,2400,0,0,0,0,0,0
101,19,5.0,18,14,0,0,0,50000,0,0,0,0
101,19,5.0,18,15,0,4800,0,4000,0,0,0,0
101,19,17.0,20,13,0,0,0,0,0,0,0,0
101,19,17.0,20,14,0,0,0,0,0,0,0,0
101,19,17.0,20,15,0,0,0,0,0,0,0,0
101,19,55.0,8,14,0,0,0,0,0,0,0,0
101,19,55.0,8,15,8000,0,0,0,0,0,0,0
101,19,55.0,8,19,0,0,0,0,0,0,0,0
101,19,67.0,13,13,0,0,0,0,0,0,0,0
101,19,67.0,13,14,0,0,0,0,0,0,0,0
101,19,67.0,13,15,0,0,0,0,0,0,0,0
101,21,5.0,18,13,0,3000,0,0,0,0,0,0
101,21,5.0,18,14,0,0,0,0,0,0,0,0
101,21,5.0,18,15,0,0,0,0,0,0,0,0
101,21,13.0,9,13,0,0,0,0,0,0,0,0
101,21,13.0,9,14,0,0,0,0,0,0,0,0
101,21,13.0,9,15,0,0,0,0,0,0,0,0
101,21,21.0,34,13,0,0,0,0,0,0,0,0
101,21,21.0,34,14,0,0,0,0,0,0,0,0
101,21,21.0,34,15,0,0,0,0,0,0,0,0
101,21,23.0,13,15,0,0,0,0,0,0,0,0
101,21,23.0,13,19,0,0,0,0,0,0,0,0
101,21,23.0,13,20,0,0,0,0,0,0,0,0
101,21,27.0,8,13,0,0,0,0,0,0,0,0
101,21,27.0,8,15,0,0,0,0,0,0,0,0
101,21,27.0,8,19,0,0,0,0,0,0,0,0
101,21,31.0,15,14,0,0,0,0,0,0,0,0
101,21,31.0,15,15,0,0,0,0,0,0,0,0
101,21,31.0,15,20,0,0,0,0,0,0,0,0
101,23,23.0,38,13,0,0,0,0,0,0,0,0
101,23,23.0,38,14,0,0,0,0,0,0,0,0
101,23,23.0,38,15,0,0,0,800000,0,0,0,0
101,23,47.0,15,13,0,0,0,0,0,0,0,0
101,23,47.0,15,14,0,0,0,0,0,0,0,0
101,23,47.0,15,15,0,0,0,0,0,0,0,0
103,1,1.0,9,13,0,0,0,0,0,0,0,0
103,1,1.0,9,14,0,0,0,0,1400,75,0,0
103,1,1.0,9,19,0,0,0,0,0,0,0,0
103,1,7.0,25,13,0,0,0,0,0,240,0,0
103,1,7.0,25,15,0,0,0,0,0,0,0,0
103,1,7.0,25,19,0,0,0,0,0,0,0,0
103,1,11.0,18,13,0,0,0,0,0,0,0,0
103,1,11.0,18,14,0,0,0,50000,0,0,0,0
103,1,11.0,18,15,0,0,0,0,0,0,0,0
103,1,17.0,7,14,0,0,35000,20000,0,0,0,0
103,1,17.0,7,15,0,0,0,10000,0,0,0,0
103,1,17.0,7,19,0,0,0,0,0,150,0,0
103,3,1.0,27,13,0,0,0,0,0,0,0,0
103,3,1.0,27,14,0,0,0,0,0,0,0,0
103,3,1.0,27,15,70000,0,0,0,5000,0,0,0
103,3,5.0,7,15,0,0,0,0,0,0,0,0
103,3,5.0,7,19,0,0,0,0,0,0,0,0
103,3,5.0,7,20,0,0,0,0,0,0,0,0
103,3,9.0,20,13,0,0,0,0,0,0,0,0
103,3,9.0,20,14,0,0,0,0,0,0,0,0
103,3,9.0,20,15,11600,0,0,0,0,0,0,0
103,3,13.0,15,13,0,0,0,0,0,0,0,0
103,3,13.0,15,19,0,0,0,0,0,0,0,0
103,3,13.0,15,20,0,0,0,0,0,0,0,0
103,3,19.0,12,13,0,0,0,0,0,0,0,0
103,3,19.0,12,14,0,0,0,0,0,0,0,0
103,3,19.0,12,15,0,0,0,0,0,0,0,0
103,3,23.0,12,21,0,0,0,0,0,0,0,0
103,3,23.0,12,22,0,0,0,0,0,0,0,0
103,3,23.0,12,23,0,0,0,0,0,0,0,0
103,4,3.0,8,13,2624,0,0,0,0,0,0,0
103,4,3.0,8,14,0,0,0,0,0,0,0,0
103,4,3.0,8,19,27500,0,0,0,0,0,0,0
103,4,5.0,19,13,0,0,0,0,0,0,0,0
103,4,5.0,19,14,0,0,0,0,0,0,0,0
103,4,5.0,19,20,0,0,0,0,0,0,0,0
103,4,11.0,28,13,0,0,0,0,0,0,0,0
103,4,11.0,28,14,0,0,0,0,0,0,0,0
103,4,11.0,28,19,0,0,0,0,0,0,0,0
103,5,7.0,18,13,0,0,0,0,800,0,0,0
103,5,7.0,18,14,0,0,0,0,0,0,0,0
103,5,7.0,18,15,0,0,0,0,0,0,0,0
103,5,11.0,7,13,0,0,0,0,0,0,0,0
103,5,11.0,7,14,0,0,0,0,0,0,0,0
103,5,11.0,7,15,0,0,0,100000,0,0,0,0
103,5,15.0,16,13,546,0,0,0,0,0,0,0
103,5,15.0,16,15,0,0,0,0,0,0,0,0
103,5,15.0,16,19,0,0,0,0,0,0,0,0
103,5,19.0,2,13,0,0,0,0,0,0,0,0
103,5,19.0,2,14,0,0,0,0,0,0,0,0
103,5,19.0,2,15,0,0,0,0,0,0,0,0
103,5,24.0,27,13,0,0,0,0,0,0,0,0
103,5,24.0,27,14,0,0,0,0,0,0,0,0
103,5,24.0,27,15,0,0,0,0,0,0,0,0
103,5,27.0,27,14,0,0,0,0,0,0,0,0
103,5,27.0,27,15,0,0,0,0,0,0,0,0
103,5,27.0,27,23,0,0,0,0,0,0,0,0
103,7,1.0,21,13,0,0,0,0,0,0,0,0
103,7,1.0,21,15,0,0,0,0,0,0,0,0
103,7,1.0,21,19,20,0,0,0,0,0,0,0
103,7,7.0,3,13,0,0,0,0,0,0,0,0
103,7,7.0,3,14,10650,0,0,0,0,0,0,0
103,7,7.0,3,15,0,0,0,0,0,0,0,0
103,7,13.0,18,13,0,0,0,0,0,0,0,0
103,7,13.0,18,14,0,0,0,0,0,0,0,0
103,7,13.0,18,15,300,0,0,0,0,0,0,0
103,9,3.0,8,13,0,0,0,0,0,0,0,0
103,9,3.0,8,14,0,0,80000,0,0,0,0,0
103,9,3.0,8,15,0,0,200000,0,0,0,0,0
103,10,7.0,7,13,0,0,0,0,0,0,0,0
103,10,7.0,7,14,0,0,0,0,0,0,0,0
103,10,7.0,7,25,0,0,0,0,0,0,0,0
103,10,39.0,1,13,0,0,0,0,0,0,0,0
103,10,39.0,1,14,0,0,0,0,0,0,0,0
103,10,39.0,1,15,350,0,0,0,0,0,0,0
103,11,5.0,13,14,1000,12000,0,0,0,74,0,0
103,11,5.0,13,15,5000,0,0,0,0,0,0,0
103,11,5.0,13,19,0,0,0,0,0,0,0,0
103,11,7.0,3,13,240,0,0,0,0,0,0,0
103,11,7.0,3,14,0,0,0,0,0,0,0,0
103,11,7.0,3,15,1500,0,0,0,60,0,0,0
103,11,14.0,26,13,0,0,0,800,0,0,0,0
103,11,14.0,26,15,0,0,0,0,0,0,0,0
103,11,14.0,26,19,0,0,0,0,0,0,0,0
103,11,21.0,6,13,0,0,0,0,0,0,0,0
103,11,21.0,6,14,0,0,0,0,0,0,0,0
103,11,21.0,6,20,0,0,0,0,0,0,0,0
103,11,27.0,4,13,0,1200,0,0,0,0,0,0
103,11,27.0,4,15,500,0,0,0,0,0,0,0
103,11,27.0,4,19,840,0,0,0,0,0,0,0
103,11,35.0,7,13,273,0,0,0,0,0,80000,0
103,11,35.0,7,14,0,0,0,0,0,0,0,0
103,11,35.0,7,20,1900,0,0,0,1600,0,60000,0
103,11,43.0,17,13,5000,0,0,0,0,0,0,0
103,11,43.0,17,14,0,0,0,0,2168,70,0,0
103,11,43.0,17,15,0,0,0,0,0,0,0,0
103,11,51.0,8,13,0,0,0,0,0,0,0,0
103,11,51.0,8,14,3000,0,0,0,0,0,0,0
103,11,51.0,8,15,26000,0,0,0,0,0,0,0
103,11,57.0,17,13,0,0,0,0,0,0,25000,0
103,11,57.0,17,14,0,0,0,0,0,0,0,0
103,11,57.0,17,15,0,0,0,0,0,0,0,0
103,11,63.0,7,13,0,0,0,0,3400,60,0,0
103,11,63.0,7,15,9000,2000,0,0,0,0,0,0
103,11,63.0,7,19,0,0,0,0,0,0,0,0
103,11,71.0,14,13,33,0,0,0,0,0,0,0
103,11,71.0,14,14,0,0,0,0,0,0,0,0
103,11,71.0,14,15,195,0,0,0,2084,0,80000,0
103,13,1.0,11,13,0,0,0,0,0,0,0,0
103,13,1.0,11,14,0,0,0,40000,0,0,0,0
103,13,1.0,11,15,0,0,0,0,0,0,0,0
103,13,7.0,12,14,0,0,0,0,0,0,0,0
103,13,7.0,12,19,0,0,0,0,0,0,0,0
103,13,7.0,12,20,11740,0,0,0,0,0,0,0
103,13,13.0,9,13,0,0,0,0,1800,0,0,0
103,13,13.0,9,14,0,0,0,0,0,0,0,0
103,13,13.0,9,15,292,0,0,0,0,150,0,0
103,13,21.0,6,13,0,0,0,50000,0,0,0,0
103,13,21.0,6,14,0,0,0,0,0,0,0,0
103,13,21.0,6,15,0,0,0,0,0,0,0,0
103,13,29.0,19,13,0,0,0,0,0,0,0,0
103,13,29.0,19,14,0,0,0,0,0,0,0,0
103,13,29.0,19,15,0,0,0,0,0,0,0,0
103,15,3.0,21,13,5420,0,0,0,0,0,0,0
103,15,3.0,21,14,0,0,0,0,0,0,0,0
103,15,3.0,21,15,8000,0,0,0,0,0,0,0
103,15,11.0,2,13,0,0,0,0,0,0,0,0
103,15,11.0,2,14,36000,0,0,0,0,0,0,0
103,15,11.0,2,15,0,0,0,0,0,80,0,0
103,15,19.0,8,13,0,0,0,0,0,0,0,0
103,15,19.0,8,15,0,0,0,0,0,0,0,0
103,15,19.0,8,19,0,0,0,0,2400,0,0,100000
103,15,25.0,4,14,234,0,0,0,0,0,0,0
103,15,25.0,4,15,480,0,0,0,0,0,0,5000
103,15,25.0,4,19,0,0,0,0,0,0,0,0
103,15,33.0,13,13,945,0,0,0,0,0,0,0
103,15,33.0,13,15,0,0,0,0,0,0,0,0
103,15,33.0,13,19,0,0,0,0,0,0,0,0
103,17,17.0,11,13,0,0,0,0,0,0,0,0
103,17,17.0,11,14,0,0,0,0,0,0,0,0
103,17,17.0,11,15,0,0,0,0,0,0,0,0
103,17,23.0,24,13,0,0,0,0,0,0,0,0
103,17,23.0,24,14,5200,1000,0,0,0,0,0,0
103,17,23.0,24,15,0,0,0,0,0,0,0,0
103,17,31.0,13,13,0,0,0,0,0,0,0,0
103,17,31.0,13,14,0,0,0,0,0,0,0,0
103,17,31.0,13,15,0,0,0,0,0,0,0,0
103,17,47.0,18,13,21,0,0,0,0,0,0,0
103,17,47.0,18,15,0,0,0,0,0,0,0,0
103,17,47.0,18,24,0,0,0,0,0,0,0,0
103,19,9.0,1,13,0,0,0,0,0,0,0,0
103,19,9.0,1,14,0,0,0,0,0,0,0,0
103,19,9.0,1,15,0,290,0,0,0,0,0,0
103,19,17.0,13,13,0,0,0,0,0,0,0,0
103,19,17.0,13,14,0,12000,0,0,0,0,0,0
103,19,17.0,13,15,0,1850,0,0,0,0,0,0
103,19,25.0,12,13,0,0,0,30000,0,0,0,0
103,19,25.0,12,14,0,0,0,0,0,0,0,0
103,19,25.0,12,15,1400,6000,0,0,0,0,0,0
103,19,35.0,3,13,0,0,0,30000,0,0,0,0
103,19,35.0,3,14,11241,0,0,0,0,0,0,0
103,19,35.0,3,15,0,0,0,0,0,0,0,0
103,19,45.0,17,13,11300,0,0,0,0,0,0,0
103,19,45.0,17,14,0,0,0,0,0,0,0,0
103,19,45.0,17,15,0,0,0,0,0,0,0,0
103,21,1.0,10,13,0,0,0,0,0,0,0,0
103,21,1.0,10,14,31980,0,0,0,0,0,0,0
103,21,1.0,10,20,0,1000,0,0,1500,0,0,0
103,21,7.0,12,13,1800,0,0,0,0,0,0,0
103,21,7.0,12,14,0,0,0,0,0,0,0,0
103,21,7.0,12,15,0,0,0,0,0,0,0,0
103,21,17.0,10,13,720,1000,0,0,0,0,0,0
103,21,17.0,10,14,0,1000,0,0,0,0,0,0
103,21,17.0,10,15,0,0,0,0,0,0,0,300
103,21,25.0,2,13,0,0,0,0,0,0,0,0
103,21,25.0,2,14,0,0,0,0,0,0,0,0
103,21,25.0,2,15,120,0,0,0,0,0,0,0
103,21,35.0,17,13,0,0,0,0,0,0,0,0
103,21,35.0,17,14,0,0,0,0,0,0,0,0
103,21,35.0,17,15,0,0,0,0,0,0,0,0
103,21,43.0,8,13,0,0,0,0,0,0,50000,0
103,21,43.0,8,14,1078,0,0,0,0,0,0,90
103,21,43.0,8,15,0,12000,0,0,0,0,0,0
103,21,51.0,2,13,0,2000,0,0,0,0,0,0
103,21,51.0,2,14,0,0,0,0,0,0,0,0
103,21,51.0,2,15,0,0,0,0,0,0,0,0
104,1,1.0,9,13,0,0,0,0,0,0,0,0
104,1,1.0,9,15,0,0,0,0,0,0,0,0
104,1,1.0,9,19,4500,0,0,0,0,0,0,0
104,1,3.0,8,13,0,0,0,0,0,0,0,0
104,1,3.0,8,14,227,0,0,0,0,0,0,0
104,1,3.0,8,15,12708,0,0,0,0,0,0,0
104,1,4.0,8,13,0,0,0,0,0,0,0,0
104,1,4.0,8,14,18000,0,0,0,0,0,1500,0
104,1,4.0,8,15,0,0,0,0,0,0,0,0
104,1,7.0,3,14,0,0,0,0,0,0,0,0
104,1,7.0,3,19,180,0,0,0,1080,0,0,0
104,1,7.0,3,20,0,0,0,0,0,0,0,0
104,1,17.0,11,13,940,0,0,0,0,0,0,0
104,1,17.0,11,14,325,0,0,0,0,0,0,0
104,1,17.0,11,15,0,0,0,0,0,0,0,0
104,2,1.0,7,13,0,0,0,0,100,69000,0,0
104,2,1.0,7,14,0,0,0,0,0,210,0,0
104,2,1.0,7,15,0,0,0,0,0,0,0,0
104,2,7.0,24,13,0,0,0,0,0,0,0,0
104,2,7.0,24,14,0,0,0,0,0,0,0,0
104,2,7.0,24,15,2000,0,0,0,0,0,0,0
104,2,9.0,16,13,30000,0,0,0,0,0,0,0
104,2,9.0,16,15,850,0,0,0,0,0,0,0
104,2,9.0,16,19,0,0,0,0,0,0,0,0
104,2,13.0,14,13,2000,0,0,0,0,0,0,0
104,2,13.0,14,14,0,0,0,0,0,0,0,0
104,2,13.0,14,15,1000,0,0,0,0,0,0,0
104,3,11.0,3,13,0,1200,0,0,30,130,0,0
104,3,11.0,3,14,0,0,0,0,0,0,0,0
104,3,11.0,3,15,0,0,0,0,0,0,0,0
104,3,29.0,9,13,0,0,9250,0,0,0,0,0
104,3,29.0,9,14,0,0,0,0,0,0,0,0
104,3,29.0,9,15,21,0,0,0,0,0,0,0
104,3,33.0,9,13,163,0,0,0,0,0,0,0
104,3,33.0,9,14,0,0,0,0,0,0,0,0
104,3,33.0,9,15,0,0,0,0,0,0,0,0
104,3,43.0,4,14,0,0,0,0,0,0,0,0
104,3,43.0,4,15,0,0,0,0,0,0,0,0
104,3,43.0,4,19,0,0,0,0,0,0,0,0
104,3,53.0,13,13,0,0,0,0,0,0,0,0
104,3,53.0,13,14,0,0,0,0,0,0,0,0
104,3,53.0,13,15,360,0,0,0,0,0,0,0
104,3,61.0,5,13,0,0,17300,0,0,0,0,0
104,3,61.0,5,14,0,0,0,0,0,0,0,0
104,3,61.0,5,15,1056,0,0,0,0,0,0,0
104,3,69.0,13,13,0,0,0,0,0,0,0,0
104,3,69.0,13,19,0,0,0,0,0,0,0,0
104,3,69.0,13,20,0,0,0,0,0,0,0,0
104,3,75.0,8,13,0,0,0,0,0,0,0,0
104,3,75.0,8,14,0,0,0,0,0,0,0,0
104,3,75.0,8,19,1750,0,0,0,0,0,0,0
104,4,1.0,2,13,0,0,0,0,0,0,0,0
