tinh,huyen,xa,diaban,hoso,m3c6,m3c16,m3c17,m3c18,m3c19,m3ct1,m3ct2,m3ct,m4atn1,m4atn2,m4atn3,m4atn4,m4atn5,m4atn,m4b0c1,m4b0t1,m4b0t2,m4b1a,m4b1b,m4b11t,m4b12t,m4b13t,m4b14t,m4b15t,m4b16c3a,m4b16c3b,m4b16c3c,m4b1t,m4b1c,m4b1tn,m4b21a,m4b21b,m4b21t
101,3,13.0,8,14,1,500,0,0,0,4500,8000,13000.0,36639,12213,0,0,0,48852.0,1,0.0,0.0,1,,5600.0,0,0,0,0,2.0,3.0,5.0,5600.0,642.0,4958.0,2,2.0,0.0
101,3,13.0,8,15,1,250,0,120,0,1000,0,1370.0,0,0,0,0,0,0.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,5,3.0,17,13,1,2000,110,320,1386,700,0,3130.0,0,0,0,0,0,0.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,5,3.0,17,14,1,6010,300,0,1848,4400,0,10710.0,49591,4592,0,0,0,54183.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,5,3.0,17,20,1,12000,200,310,18482,2360,13000,27870.0,36734,4592,0,0,0,41326.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,5,11.0,7,13,2,100,0,45,0,0,0,145.0,17268,2879,0,0,0,20147.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,5,11.0,7,14,1,350,0,0,0,500,0,850.0,0,0,0,0,0,0.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,5,11.0,7,15,1,450,0,85,0,0,0,535.0,52897,9184,0,0,0,62081.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,5,17.0,18,13,2,300,20,0,0,0,0,320.0,0,0,0,0,0,0.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,5,17.0,18,14,1,200,50,150,0,0,4000,4400.0,0,0,0,0,0,0.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,5,17.0,18,19,2,200,50,500,0,0,0,750.0,0,0,0,0,0,0.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,5,25.0,12,13,2,330,43,70,0,0,0,443.0,12857,3673,0,0,0,16530.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,5,25.0,12,14,1,360,52,70,0,1100,0,1582.0,0,0,0,0,0,0.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,5,25.0,12,15,1,1750,110,0,462,1280,0,3140.0,55102,7622,0,0,0,62724.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,5,33.0,12,14,2,100,0,90,0,0,0,190.0,36639,2792,0,0,0,39431.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,5,33.0,12,15,1,500,0,100,0,2000,0,2600.0,29755,11939,0,0,0,41694.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,5,33.0,12,24,1,300,0,50,0,200,0,550.0,36638,2530,0,0,0,39168.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,5,35.0,16,14,1,1230,85,240,0,130,0,1685.0,25976,6557,0,0,0,32533.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,5,35.0,16,15,1,1380,150,120,554,160,0,1810.0,18734,4619,0,0,0,23353.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,5,35.0,16,19,1,1270,130,240,370,220,0,1860.0,35265,7126,0,0,0,42391.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,6,1.0,10,13,1,400,580,40,1053,12000,0,13020.0,18842,1745,0,0,0,20587.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,6,1.0,10,14,1,30,0,40,0,400,0,470.0,13282,1255,0,0,0,14537.0,1,0.0,0.0,1,,3745.0,0,0,0,0,3.0,4.0,5.0,3745.0,1178.0,2567.0,2,2.0,0.0
101,6,1.0,10,19,2,50,0,40,0,0,0,90.0,15267,2121,0,0,0,17388.0,1,0.0,0.0,1,,2870.0,0,0,0,0,3.0,4.0,5.0,2870.0,1050.0,1820.0,2,2.0,0.0
101,6,7.0,17,13,1,600,70,0,427,3660,1500,5830.0,18660,2206,0,0,0,20866.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,6,7.0,17,14,1,2410,60,0,0,3000,0,5470.0,0,0,0,0,0,0.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,6,7.0,17,19,1,2500,50,410,0,2880,0,5840.0,44999,5970,0,0,0,50969.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,6,11.0,12,13,1,150,50,150,667,240,600,1190.0,9944,0,0,0,0,9944.0,1,0.0,0.0,1,,6329.0,721,2003,0,0,5.0,4.0,3.0,9053.0,1807.0,7246.0,2,2.0,0.0
101,6,11.0,12,14,1,50,50,0,924,2500,0,2600.0,0,0,0,0,0,0.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,6,11.0,12,15,1,190,10,0,1137,0,2100,2300.0,19199,4235,0,0,0,23434.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,6,21.0,13,13,1,150,20,180,0,0,0,350.0,17795,175,0,0,0,17970.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
