tinh,huyen,xa,diaban,hoso,matv,m4ac1a,m4ac1b,m4ac1c,m4ac2,m4ac3,m4ac4,m4ac5,m4ac6,m4ac7,m4ac8,m4ac9,m4ac10a,m4ac10b,m4ac11,m4ac12a,m4ac12b,m4ac12c,m4ac12d,m4ac12e,m4ac12f,m4ac13,m4ac14,m4ac15,m4ac16,m4ac17,m4ac18,m4ac19,m4ac20,m4ac21,m4ac22a,m4ac22b,m4ac22c,m4ac22d,m4ac22e,m4ac22f,m4ac23,m4ac24,m4ac25,m4ac26,m4ac27
101,1,3,1,13,1,2,2,2,2,3,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,2
101,1,3,1,13,2,1,2,2,1,,93,17,12,26,8,1,6,,17632,918,0,0,0,0,918,2,,,,,,,,,,,,,,0,,,,1,1
101,1,3,1,13,3,2,2,2,2,5,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,3
101,1,3,1,14,1,1,2,2,1,,24,46,12,26,8,5,6,,39528,2823,0,0,0,0,2823,2,,,,,,,,,,,,,,0,,,,1,1
101,1,3,1,14,2,1,2,1,1,,91,14,6,28,8,0,6,,14117,0,0,0,0,0,0,1,74,14,12,20,2,10,2,,,,,,,0,2,,,1,3
101,1,3,1,14,3,2,2,2,2,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,1
101,1,3,1,15,1,2,2,1,1,,22,86,12,20,5,15,2,,,,,,,,0,2,,,,,,,,,,,,,,0,,,,1,3
101,1,3,1,15,2,1,2,2,1,,22,86,12,26,8,5,6,,39528,2823,0,0,0,0,2823,2,,,,,,,,,,,,,,0,,,,1,2
101,1,9,19,15,1,2,2,1,1,,91,56,12,25,5,15,2,,,,,,,,0,2,,,,,,,,,,,,,,0,,,,1,2
101,1,9,19,15,2,2,2,1,1,,91,56,12,25,5,15,2,,,,,,,,0,2,,,,,,,,,,,,,,0,,,,1,1
101,1,9,19,19,1,2,2,2,2,3,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,2
101,1,9,19,19,2,2,2,2,2,3,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,2,
101,1,9,19,19,3,1,2,2,1,,32,47,12,23,8,1,3,,22040,0,0,0,0,0,0,2,,,,,,,,,,,,,,0,,,,1,1
101,1,9,19,20,1,1,2,2,1,,41,46,12,22,8,10,6,,33061,918,0,0,0,0,918,2,,,,,,,,,,,,,,0,,,,2,
101,1,9,19,20,2,1,2,2,1,,93,96,10,23,8,2,3,,13224,0,0,0,0,0,0,2,,,,,,,,,,,,,,0,,,,1,2
101,1,9,19,20,3,2,2,2,2,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,1
101,1,15,50,13,1,1,2,2,1,,24,46,12,26,10,1,6,,79055,9412,0,0,0,3388,12800,2,,,,,,,,,,,,,,0,,,,1,1
101,1,15,50,13,2,1,2,2,1,,21,61,12,22,8,14,4,1,56468,9412,0,0,0,5647,15059,2,,,,,,,,,,,,,,0,,,,1,3
101,1,15,50,13,3,2,2,2,2,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,2,
101,1,15,50,13,4,2,2,2,2,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,2,
101,1,15,50,14,1,1,2,2,1,,24,52,12,22,8,2,6,,56468,7529,0,0,0,11293,18822,2,,,,,,,,,,,,,,0,,,,2,
101,1,15,50,14,2,1,2,2,1,,24,52,12,22,8,5,4,2,56468,8470,0,0,0,12235,20705,2,,,,,,,,,,,,,,0,,,,2,
101,1,15,50,15,1,1,2,2,1,,21,74,12,22,8,26,4,1,39528,4706,0,0,0,3388,8094,2,,,,,,,,,,,,,,0,,,,1,1
101,1,15,50,15,2,1,2,2,1,,24,64,12,22,8,18,4,1,56468,4706,0,0,0,5647,10353,2,,,,,,,,,,,,,,0,,,,1,3
101,1,15,50,15,3,2,2,2,2,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,2,
101,1,15,50,15,4,2,2,2,2,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,2,
101,1,17,2,13,1,2,2,1,1,,91,56,12,30,14,20,1,,,,,,,,0,2,,,,,,,,,,,,,,0,,,,1,4
101,1,17,2,13,2,1,2,2,1,,91,93,12,30,10,1,3,,8374,1047,0,0,0,0,1047,2,,,,,,,,,,,,,,0,,,,1,1
101,1,17,2,14,1,1,2,2,1,,33,85,9,20,8,33,4,1,33061,2755,1837,0,0,459,5051,2,,,,,,,,,,,,,,0,,,,1,3
101,1,17,2,14,2,2,2,2,2,2,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,8
101,1,17,2,14,3,2,2,2,2,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,4
101,1,17,2,19,1,2,2,1,1,,91,56,12,28,5,10,1,,,,,,,,0,2,,,,,,,,,,,,,,0,,,,1,6
101,1,17,2,19,2,1,2,2,1,,74,56,12,30,10,8,3,,28234,941,0,0,0,470,1411,2,,,,,,,,,,,,,,0,,,,1,1
101,1,21,36,13,1,2,2,2,2,3,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,3
101,1,21,36,13,2,2,2,2,2,7,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,1
101,1,21,36,15,1,1,2,2,1,,91,47,10,29,9,1,3,,12213,0,0,0,0,0,0,2,,,,,,,,,,,,,,0,,,,1,2
101,1,21,36,15,2,1,2,2,1,,24,86,12,30,10,20,3,,13608,1745,0,0,0,0,1745,2,,,,,,,,,,,,,,0,,,,2,
101,1,21,36,15,3,2,2,2,2,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,2
101,1,21,36,19,1,2,2,1,1,,91,63,9,30,10,5,2,,,,,,,,0,2,,,,,,,,,,,,,,0,,,,1,2
101,1,21,36,19,2,2,2,1,1,,23,85,12,22,5,20,2,,,,,,,,0,2,,,,,,,,,,,,,,0,,,,2,
101,1,21,36,19,3,2,2,1,1,,91,47,4,28,10,7,2,,,,,,,,0,2,,,,,,,,,,,,,,0,,,,2,
101,1,21,36,19,4,1,2,2,1,,34,60,12,26,8,2,4,2,22040,1837,0,0,0,2755,4592,2,,,,,,,,,,,,,,0,,,,1,1
101,1,21,36,19,5,2,2,2,2,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,1
101,1,23,18,13,1,1,2,2,1,,24,46,12,22,8,30,4,1,79055,6587,0,0,0,0,6587,2,,,,,,,,,,,,,,0,,,,1,2
101,1,23,18,13,2,1,2,2,1,,24,46,12,22,8,30,4,1,56468,5647,0,0,0,0,5647,2,,,,,,,,,,,,,,0,,,,1,1
101,1,23,18,24,1,2,2,2,2,3,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,2
101,1,23,18,24,2,1,2,2,1,,24,65,12,22,8,2,7,,50821,4706,0,0,0,0,4706,2,,,,,,,,,,,,,,0,,,,1,1
101,1,23,18,24,3,1,2,2,1,,34,46,12,23,8,13,6,,56468,4706,0,0,0,0,4706,2,,,,,,,,,,,,,,0,,,,2,
101,1,23,18,29,1,2,2,1,1,,91,47,12,30,9,4,2,,,,,,,,0,2,,,,,,,,,,,,,,0,,,,1,1
101,1,23,18,29,2,2,2,1,1,,91,47,12,25,6,4,2,,,,,,,,0,2,,,,,,,,,,,,,,0,,,,1,2
101,3,3,23,13,1,2,2,1,1,,91,56,12,28,9,2,2,,,,,,,,0,2,,,,,,,,,,,,,,0,,,,1,3
101,3,3,23,13,2,2,2,1,1,,91,56,12,28,9,2,2,,,,,,,,0,2,,,,,,,,,,,,,,0,,,,1,2
101,3,3,23,13,3,2,2,2,2,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,1
101,3,3,23,13,4,2,2,2,2,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,2,
101,3,3,23,15,1,1,2,2,1,,79,58,12,28,8,20,4,2,15702,5670,0,0,0,0,5670,2,,,,,,,,,,,,,,0,,,,1,3
101,3,3,23,15,2,1,2,2,1,,91,97,12,24,7,1,3,,12213,0,0,0,0,0,0,2,,,,,,,,,,,,,,0,,,,1,4
101,3,3,23,15,3,2,2,2,2,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,2,
101,3,3,23,15,4,2,2,2,2,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,2,
101,3,3,23,19,1,2,2,2,2,3,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,2
101,3,3,23,19,2,1,2,2,1,,21,41,12,26,8,10,6,,49591,18367,0,0,0,0,18367,2,,,,,,,,,,,,,,0,,,,1,1
101,3,3,23,19,3,2,2,2,2,2,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,6
101,3,3,23,19,5,1,2,2,1,,21,71,12,20,8,4,3,,42979,9184,0,0,0,0,9184,2,,,,,,,,,,,,,,0,,,,1,1
101,3,11,9,15,1,1,2,2,1,,83,9,12,22,8,20,4,1,33881,2823,0,0,2353,1694,6870,2,,,,,,,,,,,,,,0,,,,2,
101,3,11,9,15,2,2,2,1,1,,91,47,12,29,10,15,2,,,,,,,,0,2,,,,,,,,,,,,,,0,,,,1,3
101,3,11,9,15,3,2,2,1,1,,83,49,12,20,6,3,2,,,,,,,,0,2,,,,,,,,,,,,,,0,,,,2,
101,3,11,9,15,4,1,2,2,1,,24,82,12,26,8,1,6,,22587,2823,0,0,0,1883,4706,2,,,,,,,,,,,,,,0,,,,1,2
101,3,11,9,15,5,1,2,2,1,,52,56,12,26,8,1,6,,19199,1412,0,0,0,2936,4348,2,,,,,,,,,,,,,,0,,,,2,
101,3,11,9,19,1,2,2,2,2,3,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,1
101,3,11,9,19,2,2,2,2,2,3,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,1
101,3,11,9,19,3,1,2,2,1,,93,36,12,22,8,28,4,1,27217,1745,0,0,0,0,1745,2,,,,,,,,,,,,,,0,,,,1,1
101,3,11,9,19,4,1,2,2,1,,93,56,12,29,8,8,4,1,20936,1309,0,0,0,0,1309,2,,,,,,,,,,,,,,0,,,,1,2
101,3,11,9,19,5,2,2,2,2,2,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,6
101,3,11,9,19,6,1,2,2,1,,82,30,12,26,8,9,7,,20936,1745,0,0,0,2721,4466,2,,,,,,,,,,,,,,0,,,,1,2
101,3,11,9,20,1,2,2,1,1,,91,49,12,29,10,10,2,,,,,,,,0,2,,,,,,,,,,,,,,0,,,,1,2
101,3,11,9,20,2,1,2,2,1,,91,97,12,29,8,7,3,,12723,170,0,0,0,0,170,2,,,,,,,,,,,,,,0,,,,1,2
101,3,11,9,20,3,2,2,2,2,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,1
101,3,11,9,20,4,2,2,2,2,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,1
101,3,13,8,13,1,2,2,2,2,3,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,3
101,3,13,8,13,2,1,2,2,1,,79,22,12,29,8,5,6,,22040,1837,0,0,0,3306,5143,2,,,,,,,,,,,,,,0,,,,2,
101,3,13,8,13,3,1,2,2,1,,79,22,12,29,8,2,6,,15612,1837,0,0,0,3306,5143,2,,,,,,,,,,,,,,0,,,,1,2
101,3,13,8,13,4,1,2,2,1,,79,22,12,29,8,4,6,,18734,1837,0,0,0,3306,5143,2,,,,,,,,,,,,,,0,,,,1,2
101,3,13,8,14,1,2,2,2,2,5,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,1
101,3,13,8,14,2,2,1,2,1,,92,1,12,15,5,25,2,,,,,,,,0,2,,,,,,,,,,,,,,0,,,,1,3
101,3,13,8,14,3,2,2,2,2,2,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,2,
101,3,13,8,14,4,2,2,2,2,2,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,3
101,3,13,8,14,5,1,2,2,1,,24,79,12,28,8,7,6,,36639,4362,0,0,4362,3489,12213,2,,,,,,,,,,,,,,0,,,,2,
101,3,13,8,15,1,2,2,2,2,5,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,1
101,3,13,8,15,2,2,2,1,1,,91,47,12,28,4,5,2,,,,,,,,0,2,,,,,,,,,,,,,,0,,,,1,2
101,3,13,8,15,3,2,2,2,2,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,1
101,3,13,8,15,4,2,2,2,2,3,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,2,
101,3,13,8,15,5,2,2,2,2,3,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,1
101,3,13,8,15,6,2,2,2,2,3,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,3
101,3,13,8,15,7,2,2,2,2,3,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,2,
101,5,3,17,13,1,2,2,2,2,3,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,2
101,5,3,17,13,2,2,2,1,1,,91,96,12,26,7,5,2,,,,,,,,0,1,91,49,12,15,5,3,2,,,,,,,0,2,,,1,3
101,5,3,17,14,1,2,2,2,2,5,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,5
101,5,3,17,14,2,1,2,2,1,,23,91,12,26,9,2,6,,49591,1837,0,0,0,2755,4592,2,,,,,,,,,,,,,,0,,,,1,2
101,5,3,17,14,3,2,2,2,2,5,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,2,
101,5,3,17,20,1,1,2,2,1,,32,86,10,30,7,5,3,,36734,4592,0,0,0,0,4592,2,,,,,,,,,,,,,,0,,,,1,1
101,5,3,17,20,2,2,2,2,2,3,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,2,
101,5,3,17,20,3,2,2,2,2,2,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,6
101,5,3,17,20,4,2,2,2,2,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,1
101,5,3,17,20,5,2,2,2,2,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,1
101,5,11,7,13,1,1,2,2,1,,82,11,12,26,8,11,7,,6642,738,0,0,0,369,1107,2,,,,,,,,,,,,,,0,,,,1,3
101,5,11,7,13,2,1,2,2,1,,34,11,12,26,8,2,7,,10626,1255,0,0,0,517,1772,2,,,,,,,,,,,,,,0,,,,1,1
101,5,11,7,13,3,2,2,2,2,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,2
101,5,11,7,14,1,2,2,2,2,3,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,3
101,5,11,7,14,2,2,2,2,2,3,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,1
101,5,11,7,14,3,2,2,1,1,,24,62,12,30,10,7,2,,,,,,,,0,2,,,,,,,,,,,,,,0,,,,2,
101,5,11,7,14,4,2,2,2,2,2,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,4
101,5,11,7,15,1,1,2,2,1,,24,84,12,22,8,20,4,1,29755,2755,0,0,643,2112,5510,2,,,,,,,,,,,,,,0,,,,1,3
101,5,11,7,15,2,1,2,2,1,,24,84,12,22,8,18,4,1,23142,1837,0,0,459,1378,3674,2,,,,,,,,,,,,,,0,,,,1,1
101,5,11,7,15,3,2,2,2,2,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,1
101,5,11,7,15,4,2,2,2,2,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,1
101,5,11,7,15,5,2,2,2,2,3,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,1
101,5,17,18,13,1,2,2,1,1,,83,49,12,30,8,10,2,,,,,,,,0,2,,,,,,,,,,,,,,0,,,,1,2
101,5,17,18,14,1,2,2,1,1,,83,49,12,30,8,5,2,,,,,,,,0,2,,,,,,,,,,,,,,0,,,,2,
101,5,17,18,14,2,2,2,1,1,,79,14,12,30,8,10,2,,,,,,,,0,2,,,,,,,,,,,,,,0,,,,1,4
101,5,17,18,14,3,2,2,2,2,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,2,
101,5,17,18,14,4,2,2,2,2,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,2,
101,5,17,18,14,5,2,2,2,2,3,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,2,
101,5,17,18,19,1,2,2,2,2,3,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,2,
101,5,17,18,19,2,2,2,1,1,,31,45,12,30,8,10,2,,,,,,,,0,2,,,,,,,,,,,,,,0,,,,2,
101,5,17,18,19,3,2,2,2,2,2,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,6
101,5,17,18,19,4,2,2,2,2,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,2,
101,5,17,18,19,5,2,2,2,2,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,2,
101,5,25,12,13,1,2,2,1,1,,83,49,12,28,10,5,2,,,,,,,,0,2,,,,,,,,,,,,,,0,,,,1,1
101,5,25,12,13,2,2,2,1,1,,91,47,12,28,4,3,2,,,,,,,,0,2,,,,,,,,,,,,,,0,,,,1,3
101,5,25,12,13,3,1,2,2,1,,32,86,7,24,8,0,4,2,12857,2755,0,0,0,918,3673,2,,,,,,,,,,,,,,0,,,,1,1
101,5,25,12,13,4,2,2,2,2,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,2
101,5,25,12,14,1,2,2,1,1,,91,47,12,25,8,6,2,,,,,,,,0,2,,,,,,,,,,,,,,0,,,,1,1
101,5,25,12,14,2,2,2,1,1,,91,47,12,28,10,6,2,,,,,,,,0,2,,,,,,,,,,,,,,0,,,,1,2
101,5,25,12,14,3,2,2,2,2,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,1
101,5,25,12,14,4,2,2,2,2,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,1
101,5,25,12,15,1,1,2,2,1,,51,47,12,30,10,2,3,,27551,1102,0,0,0,643,1745,2,,,,,,,,,,,,,,0,,,,1,1
101,5,25,12,15,2,2,2,1,1,,91,47,12,25,5,10,2,,,,,,,,0,2,,,,,,,,,,,,,,0,,,,1,3
101,5,25,12,15,3,1,2,2,1,,42,55,12,25,8,2,6,,27551,3673,0,0,0,2204,5877,2,,,,,,,,,,,,,,0,,,,1,1
101,5,33,12,14,1,1,2,2,1,,71,80,12,26,9,3,6,,36639,1309,0,0,436,1047,2792,2,,,,,,,,,,,,,,0,,,,2,
101,5,33,12,14,2,2,2,2,2,2,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,3
101,5,33,12,14,3,2,2,2,2,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,1
101,5,33,12,14,4,2,2,2,2,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,1
101,5,33,12,15,1,2,2,1,1,,91,47,12,30,7,9,2,,,,,,,,0,2,,,,,,,,,,,,,,0,,,,1,4
101,5,33,12,15,2,1,2,2,1,,34,84,12,22,8,21,4,2,29755,1837,0,0,918,9184,11939,2,,,,,,,,,,,,,,0,,,,1,2
101,5,33,12,15,3,2,2,2,2,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,2
101,5,33,12,15,4,2,2,2,2,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,2
101,5,33,12,24,1,2,2,2,2,3,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,1
101,5,33,12,24,2,2,2,2,2,3,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,2
101,5,33,12,24,3,1,2,2,1,,72,25,12,28,9,12,3,,24077,872,0,0,0,0,872,2,,,,,,,,,,,,,,0,,,,1,1
101,5,33,12,24,4,1,2,2,1,,33,85,12,26,8,11,4,2,12561,1047,0,0,0,611,1658,2,,,,,,,,,,,,,,0,,,,1,2
101,5,33,12,24,5,2,2,2,2,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,2,
101,5,35,16,14,1,1,2,2,1,,24,84,12,22,8,4,4,1,25976,753,0,0,0,5804,6557,2,,,,,,,,,,,,,,0,,,,2,
101,5,35,16,14,2,2,2,1,1,,74,14,12,28,9,18,2,,,,,,,,0,2,,,,,,,,,,,,,,0,,,,1,3
101,5,35,16,14,3,2,2,2,2,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,1
101,5,35,16,14,4,2,2,2,2,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,2,
101,5,35,16,15,1,2,2,2,2,3,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,3
101,5,35,16,15,2,2,2,2,2,3,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,1
101,5,35,16,15,3,1,2,2,1,,24,84,12,24,8,7,4,1,18734,643,0,0,0,3976,4619,2,,,,,,,,,,,,,,0,,,,1,1
101,5,35,16,15,4,2,2,2,2,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,2,
101,5,35,16,19,1,1,2,2,1,,83,47,12,25,9,12,3,,35265,367,0,0,0,6759,7126,2,,,,,,,,,,,,,,0,,,,2,
101,5,35,16,19,2,2,2,1,1,,91,56,12,29,9,16,2,,,,,,,,0,2,,,,,,,,,,,,,,0,,,,1,3
101,5,35,16,19,3,2,2,2,2,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,1
101,5,35,16,19,4,2,2,2,2,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,2,
101,6,1,10,13,1,2,2,2,2,5,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,2,
101,6,1,10,13,2,1,2,2,1,,74,14,12,26,10,6,4,2,18842,1309,0,0,0,436,1745,2,,,,,,,,,,,,,,0,,,,1,3
101,6,1,10,13,3,2,2,2,2,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,2,
101,6,1,10,14,1,2,1,1,1,,91,1,6,10,4,26,2,,,,,,,,0,1,91,47,10,25,4,10,2,,,,,,,0,2,,,1,4
101,6,1,10,14,2,1,2,2,1,,83,49,12,20,8,2,6,,13282,369,0,0,0,886,1255,2,,,,,,,,,,,,,,0,,,,1,2
101,6,1,10,14,3,2,2,2,2,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,2,
101,6,1,10,14,4,2,2,2,2,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,2,
101,6,1,10,19,1,2,2,2,2,3,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,2,
101,6,1,10,19,2,2,1,1,1,,92,1,6,8,4,16,2,,,,,,,,0,1,93,49,10,20,6,4,2,,,,,,,0,2,,,2,
101,6,1,10,19,3,1,2,2,1,,74,15,12,25,8,14,4,2,15267,848,0,0,0,1273,2121,2,,,,,,,,,,,,,,0,,,,1,4
101,6,1,10,19,4,2,2,2,2,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,2,
101,6,7,17,13,1,2,2,2,2,3,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,2
101,6,7,17,13,2,2,2,2,2,3,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,2
101,6,7,17,13,3,1,2,2,1,,93,16,12,26,10,10,6,,10178,679,0,0,0,848,1527,2,,,,,,,,,,,,,,0,,,,2,
101,6,7,17,13,4,1,2,2,1,,93,16,12,26,7,3,6,,8482,679,0,0,0,0,679,2,,,,,,,,,,,,,,0,,,,1,2
101,6,7,17,14,1,2,2,1,1,,93,49,12,26,6,2,2,,,,,,,,0,1,91,47,10,26,5,4,2,,,,,,,0,2,,,1,1
101,6,7,17,14,2,2,2,1,1,,91,47,12,30,10,4,2,,,,,,,,0,2,,,,,,,,,,,,,,0,,,,1,3
101,6,7,17,14,4,2,2,2,2,7,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,2,
101,6,7,17,19,1,1,2,2,1,,83,49,12,25,10,6,3,,31224,1837,0,0,0,1378,3215,2,,,,,,,,,,,,,,0,,,,1,2
101,6,7,17,19,2,1,2,2,1,,74,14,12,26,10,10,4,2,13775,2296,0,0,0,459,2755,2,,,,,,,,,,,,,,0,,,,1,3
101,6,7,17,19,3,2,2,2,2,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,2,
101,6,11,12,13,1,2,2,2,2,3,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,2
101,6,11,12,13,2,2,2,2,2,3,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,2,
101,6,11,12,13,3,2,1,2,1,,92,1,8,10,5,22,2,,,,,,,,0,2,,,,,,,,,,,,,,0,,,,2,
101,6,11,12,13,4,2,1,2,1,,92,1,8,10,5,10,2,,,,,,,,0,2,,,,,,,,,,,,,,0,,,,1,2
101,6,11,12,13,5,1,2,2,1,,72,25,12,28,9,3,3,,10178,0,0,0,0,0,0,2,,,,,,,,,,,,,,0,,,,1,2
101,6,11,12,14,1,2,2,1,1,,91,47,9,25,12,8,2,,,,,,,,0,2,,,,,,,,,,,,,,0,,,,1,1
101,6,11,12,15,1,1,2,2,1,,83,25,12,28,8,3,4,2,13552,941,0,0,0,2353,3294,2,,,,,,,,,,,,,,0,,,,2,
101,6,11,12,15,2,1,2,2,1,,91,56,6,25,6,1,3,,5647,0,0,0,0,941,941,2,,,,,,,,,,,,,,0,,,,1,3
101,6,21,13,13,1,2,2,2,2,3,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,8
101,6,21,13,13,2,1,2,2,1,,51,1,12,26,8,7,6,,12561,175,0,0,0,0,175,2,,,,,,,,,,,,,,0,,,,1,2
101,6,21,13,13,3,1,2,2,1,,41,73,6,26,6,0,6,,5234,0,0,0,0,0,0,2,,,,,,,,,,,,,,0,,,,2,
101,6,21,13,13,4,2,2,2,2,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,1
101,6,21,13,14,1,2,2,2,2,3,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,2
101,6,21,13,14,2,2,2,2,2,3,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,2,
101,6,21,13,15,1,1,2,2,1,,74,14,12,25,8,23,4,2,22040,3857,0,184,0,276,4317,2,,,,,,,,,,,,,,0,,,,1,3
101,6,21,13,15,2,1,2,2,1,,91,46,12,28,10,4,3,,17632,0,0,0,0,0,0,2,,,,,,,,,,,,,,0,,,,1,1
101,6,21,13,15,3,2,2,2,2,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,2,
101,6,21,13,15,4,2,2,2,2,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,2
101,6,25,5,13,1,2,1,1,1,,74,11,12,28,4,10,2,,,,,,,,0,1,92,1,12,30,4,10,2,,,,,,,0,2,,,1,2
