tinh,huyen,xa,diaban,hoso,matv,m4ac1a,m4ac1b,m4ac1c,m4ac2,m4ac3,m4ac4,m4ac5,m4ac6,m4ac7,m4ac8,m4ac9,m4ac10a,m4ac10b,m4ac11,m4ac12a,m4ac12b,m4ac12c,m4ac12d,m4ac12e,m4ac12f,m4ac13,m4ac14,m4ac15,m4ac16,m4ac17,m4ac18,m4ac19,m4ac20,m4ac21,m4ac22a,m4ac22b,m4ac22c,m4ac22d,m4ac22e,m4ac22f,m4ac23,m4ac24,m4ac25,m4ac26,m4ac27
503,7,31,29,14,3,2,2,2,2,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,2,
503,7,31,29,14,4,2,2,2,2,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,2,
503,7,31,29,14,5,2,2,2,2,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,2,
503,7,31,29,15,1,2,1,1,1,,92,1,12,28,10,15,2,,,,,,,,0,1,93,38,4,20,8,6,1,,,,,,,0,1,2,,2,
503,7,31,29,15,2,2,1,2,1,,92,1,12,28,10,15,2,,,,,,,,0,2,,,,,,,,,,,,,,0,,,,1,2
503,7,31,29,15,3,2,2,2,2,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,2,
503,7,31,29,15,4,2,2,2,2,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,2,
503,9,5,21,13,1,2,1,2,1,,92,1,12,18,6,30,2,,,,,,,,0,2,,,,,,,,,,,,,,0,,,,1,2
503,9,5,21,13,2,2,1,2,1,,92,1,12,16,5,24,2,,,,,,,,0,2,,,,,,,,,,,,,,0,,,,1,3
503,9,5,21,13,3,1,1,2,1,,93,12,8,20,8,3,6,,10699,1362,0,0,0,2042,3404,1,92,1,4,10,5,5,2,,,,,,,0,2,,,2,
503,9,5,21,13,4,1,2,2,1,,74,15,6,18,8,3,7,,7587,1265,0,2918,0,583,4766,2,,,,,,,,,,,,,,0,,,,2,
503,9,5,21,13,6,1,2,2,1,,34,45,12,2,8,1,6,,11672,486,0,0,0,0,486,2,,,,,,,,,,,,,,0,,,,2,
503,9,5,21,13,7,1,2,2,1,,93,45,6,18,7,1,3,,3501,0,0,0,0,0,0,2,,,,,,,,,,,,,,0,,,,2,
503,9,5,21,14,1,1,1,2,1,,92,1,10,18,6,25,2,,,,,,,,0,1,92,1,8,10,9,2,5,5836,97,0,0,0,0,97,2,,,1,1
503,9,5,21,14,2,2,1,2,1,,92,1,12,14,4,25,2,,,,,,,,0,2,,,,,,,,,,,,,,0,,,,1,2
503,9,5,21,14,3,1,2,2,1,,72,25,12,20,8,2,6,,25679,2139,0,0,0,1167,3306,2,,,,,,,,,,,,,,0,,,,2,
503,9,5,21,14,4,2,2,2,2,7,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,2
503,9,5,21,14,6,2,2,2,2,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,2,
503,9,5,21,14,7,1,2,2,1,,74,31,9,15,8,8,3,,7878,0,0,0,0,0,0,2,,,,,,,,,,,,,,0,,,,2,
503,9,5,21,15,1,2,2,2,2,3,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,1
503,9,7,14,13,1,2,1,2,1,,92,1,10,16,6,10,2,,,,,,,,0,2,,,,,,,,,,,,,,0,,,,1,2
503,9,7,14,13,2,1,2,2,1,,74,23,12,20,8,3,6,,23344,1945,0,0,0,1459,3404,2,,,,,,,,,,,,,,0,,,,2,
503,9,7,14,14,1,2,1,2,1,,92,1,3,10,4,30,2,,,,,,,,0,2,,,,,,,,,,,,,,0,,,,1,1
503,9,7,14,14,2,2,1,2,1,,92,1,4,10,5,30,2,,,,,,,,0,2,,,,,,,,,,,,,,0,,,,1,1
503,9,7,14,15,1,2,2,1,1,,51,56,12,30,12,3,2,,,,,,,,0,2,,,,,,,,,,,,,,0,,,,1,1
503,9,7,14,15,2,2,2,1,1,,51,56,12,30,12,3,2,,,,,,,,0,2,,,,,,,,,,,,,,0,,,,1,2
503,9,7,14,15,3,2,2,2,2,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,2,
503,9,7,14,15,4,2,2,2,2,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,2,
503,9,7,14,15,5,2,2,2,2,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,2,
503,9,7,14,15,6,2,2,2,2,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,2,
503,9,7,14,15,7,2,2,2,2,3,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,2,
503,9,11,15,13,1,2,2,2,2,3,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,1
503,9,11,15,13,2,1,1,2,1,,92,1,12,15,4,20,2,,,,,,,,0,1,92,1,6,10,8,6,3,2622,0,0,0,0,0,0,2,,,1,2
503,9,11,15,13,3,2,2,2,2,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,2,
503,9,11,15,14,1,1,1,2,1,,93,41,12,20,8,5,3,,21369,0,0,0,0,0,0,1,92,1,2,6,7,14,2,,,,,,,0,2,,,1,1
503,9,11,15,14,2,1,1,2,1,,92,1,10,10,4,14,2,,,,,,,,0,1,93,10,4,20,6,3,3,2720,0,0,0,0,0,0,2,,,1,2
503,9,11,15,14,3,2,2,2,2,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,2,
503,9,11,15,14,4,2,2,2,2,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,2,
503,9,11,15,14,5,2,2,2,2,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,2,
503,9,11,15,15,1,1,1,2,1,,92,1,12,20,6,15,2,,,,,,,,0,1,74,10,3,15,7,4,6,1410,0,0,0,0,0,0,2,,,1,2
503,9,11,15,15,2,1,1,2,1,,92,1,10,8,8,15,2,,,,,,,,0,1,71,41,5,18,8,3,3,5640,0,0,0,0,0,0,2,,,1,1
503,9,11,15,15,3,2,2,2,2,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,2,
503,9,11,15,15,4,2,2,2,2,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,2,
503,9,15,22,13,1,1,2,2,1,,51,96,12,10,12,10,3,,20426,0,0,0,0,0,0,2,,,,,,,,,,,,,,0,,,,1,1
503,9,15,22,13,2,2,1,2,1,,92,1,12,12,5,30,2,,,,,,,,0,2,,,,,,,,,,,,,,0,,,,1,2
