tinh,huyen,xa,diaban,hoso,m4c1ma1,m4c1c2,m4c1c3,m4c1c4,m4c1c5,m4c1c6,m4c1c7,m4c1c8,m4c1c9a,m4c1c9b,m4c1c9c,m4c1c10,m4c1c11,m4c1c12,m4c1c13,m4c1c14,m4c1c15,m4c1c16,m4c1c17,m4c1c18,m4c1c19,m4c1c20,m4c1c21,m4c1c22,m4c1c23,m4c1c24,m4c1c25,m4c1c25a
101,5,17.0,18,14,1.0,49.0,1.0,12.0,30.0,1.0,,100.0,4.0,0.0,,1.0,1.0,0.0,0.0,2003.0,3.0,1.0,2131.0,25572.0,2.0,,2.0,,2.0,,25572.0,25572.0
101,5,17.0,18,14,2.0,14.0,2.0,12.0,30.0,1.0,,100.0,1.0,0.0,,1.0,1.0,0.0,0.0,1998.0,3.0,1.0,2848.0,34176.0,2.0,,2.0,,2.0,,34176.0,34176.0
101,5,17.0,18,19,1.0,45.0,2.0,12.0,30.0,1.0,,100.0,1.0,0.0,,2.0,1.0,1.0,0.0,1998.0,2.0,,9871.0,118452.0,,,,,2.0,,118452.0,118452.0
101,5,25.0,12,13,2.0,47.0,2.0,12.0,28.0,1.0,,100.0,1.0,0.0,,1.0,1.0,0.0,0.0,2005.0,3.0,,1339.0,16068.0,,,,,2.0,,16068.0,16068.0
101,5,25.0,12,13,1.0,49.0,1.0,12.0,28.0,1.0,,100.0,6.0,0.0,,1.0,1.0,0.0,0.0,2003.0,3.0,1.0,3525.0,42300.0,2.0,,2.0,,2.0,,42300.0,42300.0
101,5,25.0,12,14,1.0,47.0,2.0,12.0,28.0,1.0,,100.0,4.0,0.0,,2.0,2.0,0.0,0.0,2002.0,2.0,,6201.0,74412.0,,,,,2.0,,74412.0,74412.0
101,5,25.0,12,15,1.0,47.0,2.0,12.0,25.0,1.0,,100.0,1.0,0.0,,1.0,1.0,0.0,0.0,1998.0,3.0,,482.0,5784.0,,,,,2.0,,5784.0,5784.0
101,5,33.0,12,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,5,33.0,12,15,1.0,47.0,1.0,12.0,30.0,1.0,,100.0,1.0,0.0,,1.0,1.0,0.0,0.0,1999.0,3.0,,1436.0,17232.0,,,,,1.0,449.0,17681.0,17681.0
101,5,33.0,12,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,5,35.0,16,14,1.0,14.0,2.0,12.0,28.0,1.0,,100.0,1.0,0.0,,3.0,1.0,2.0,0.0,1990.0,2.0,1.0,14196.0,170352.0,2.0,,2.0,,2.0,,170352.0,170352.0
101,5,35.0,16,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,5,35.0,16,19,1.0,56.0,2.0,12.0,29.0,1.0,,100.0,1.0,0.0,,1.0,1.0,0.0,0.0,1992.0,2.0,1.0,3410.0,40920.0,2.0,,2.0,,2.0,,40920.0,40920.0
101,6,1.0,10,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,6,1.0,10,14,1.0,47.0,1.0,10.0,25.0,1.0,,100.0,4.0,0.0,,1.0,1.0,0.0,0.0,2000.0,3.0,,720.0,7200.0,,,,,2.0,,7200.0,7200.0
101,6,1.0,10,19,1.0,49.0,2.0,10.0,20.0,1.0,,100.0,6.0,0.0,,1.0,1.0,0.0,0.0,2004.0,3.0,1.0,2486.0,24860.0,2.0,,2.0,,2.0,,24860.0,24860.0
101,6,7.0,17,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,6,7.0,17,14,1.0,47.0,1.0,12.0,30.0,1.0,,100.0,1.0,0.0,,2.0,2.0,0.0,0.0,2006.0,2.0,,1658.0,19896.0,,,,,2.0,,19896.0,19896.0
101,6,7.0,17,14,2.0,49.0,1.0,12.0,26.0,1.0,,100.0,1.0,0.0,,1.0,1.0,0.0,0.0,2005.0,2.0,1.0,1823.0,21876.0,2.0,,2.0,,1.0,497.0,22373.0,22373.0
101,6,7.0,17,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,6,11.0,12,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,6,11.0,12,14,1.0,47.0,1.0,9.0,25.0,1.0,,100.0,1.0,0.0,,1.0,1.0,0.0,0.0,2000.0,3.0,,1077.0,9693.0,,,,,2.0,,9693.0,9693.0
101,6,11.0,12,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,6,21.0,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,6,21.0,13,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,6,21.0,13,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,6,25.0,5,13,1.0,11.0,1.0,12.0,28.0,1.0,,100.0,1.0,0.0,,2.0,2.0,0.0,0.0,1998.0,3.0,1.0,7260.0,87120.0,2.0,,2.0,,2.0,,87120.0,87120.0
101,6,25.0,5,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,6,25.0,5,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,6,27.0,5,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,6,27.0,5,14,1.0,56.0,2.0,12.0,30.0,1.0,,100.0,4.0,0.0,,2.0,2.0,0.0,0.0,2001.0,2.0,1.0,5114.0,61368.0,2.0,,2.0,,2.0,,61368.0,61368.0
101,6,27.0,5,15,1.0,56.0,2.0,12.0,30.0,1.0,,100.0,4.0,0.0,,1.0,1.0,0.0,0.0,2003.0,3.0,1.0,4262.0,51144.0,2.0,,2.0,,2.0,,51144.0,51144.0
101,7,3.0,19,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,7,3.0,19,14,1.0,49.0,1.0,12.0,30.0,1.0,,100.0,4.0,0.0,,1.0,1.0,0.0,0.0,1995.0,3.0,1.0,3141.0,37692.0,2.0,,2.0,,2.0,,37692.0,37692.0
101,7,3.0,19,14,2.0,45.0,2.0,12.0,30.0,1.0,,100.0,4.0,0.0,,2.0,2.0,0.0,0.0,1994.0,2.0,,6281.0,75372.0,,,,,2.0,,75372.0,75372.0
101,7,3.0,19,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,7,11.0,15,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,7,11.0,15,14,1.0,56.0,1.0,12.0,30.0,1.0,,100.0,7.0,0.0,,1.0,1.0,0.0,1.0,1995.0,2.0,1.0,1534.0,18408.0,2.0,,2.0,,2.0,,18408.0,18408.0
101,7,11.0,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,7,15.0,13,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,7,15.0,13,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,7,15.0,13,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,7,19.0,25,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,7,19.0,25,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,7,19.0,25,20,1.0,46.0,3.0,12.0,28.0,1.0,,100.0,1.0,0.0,,3.0,1.0,2.0,0.0,2004.0,1.0,,19706.0,236472.0,,,,,2.0,,236472.0,236472.0
101,7,19.0,25,20,2.0,47.0,6.0,10.0,28.0,1.0,,100.0,7.0,0.0,,1.0,1.0,0.0,0.0,2005.0,3.0,,2064.0,20640.0,,,,,2.0,,20640.0,20640.0
101,7,21.0,16,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,7,21.0,16,15,1.0,14.0,4.0,12.0,28.0,1.0,,100.0,1.0,0.0,,1.0,1.0,0.0,1.0,2005.0,3.0,1.0,2998.0,35976.0,2.0,,2.0,,2.0,,35976.0,35976.0
101,7,21.0,16,20,1.0,47.0,2.0,12.0,28.0,1.0,,100.0,1.0,0.0,,1.0,1.0,0.0,0.0,1988.0,3.0,,1346.0,16152.0,,,,,1.0,3230.0,19382.0,19382.0
101,7,27.0,3,13,1.0,56.0,1.0,12.0,29.0,1.0,,100.0,1.0,0.0,,2.0,2.0,0.0,0.0,2001.0,3.0,1.0,5336.0,64032.0,2.0,,2.0,,2.0,,64032.0,64032.0
101,7,27.0,3,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,7,27.0,3,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,7,33.0,21,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,7,33.0,21,20,1.0,46.0,1.0,12.0,30.0,1.0,,100.0,5.0,0.0,,3.0,2.0,1.0,0.0,2002.0,2.0,,16553.0,198636.0,,,,,2.0,,198636.0,198636.0
101,7,33.0,21,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,7,37.0,15,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,7,37.0,15,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,7,37.0,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,8,3.0,7,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,8,3.0,7,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,8,3.0,7,15,2.0,45.0,2.0,12.0,28.0,1.0,,100.0,5.0,0.0,,2.0,2.0,0.0,0.0,2001.0,3.0,,3239.0,38868.0,,,,,2.0,,38868.0,38868.0
101,8,3.0,7,15,1.0,49.0,1.0,12.0,28.0,1.0,,100.0,7.0,0.0,,1.0,1.0,0.0,0.0,1998.0,3.0,1.0,1735.0,20820.0,2.0,,2.0,,2.0,,20820.0,20820.0
101,8,5.0,16,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,8,5.0,16,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,8,5.0,16,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,8,7.0,18,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,8,7.0,18,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,8,7.0,18,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,8,15.0,27,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,8,15.0,27,15,1.0,56.0,2.0,12.0,26.0,1.0,,100.0,4.0,0.0,,2.0,2.0,0.0,0.0,1998.0,3.0,1.0,9422.0,113064.0,2.0,,1.0,449.0,2.0,,113513.0,113513.0
101,8,15.0,27,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,8,19.0,22,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,8,19.0,22,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,8,19.0,22,20,1.0,46.0,1.0,12.0,30.0,1.0,,100.0,5.0,0.0,,1.0,1.0,1.0,1.0,2002.0,2.0,,8076.0,96912.0,,,,,2.0,,96912.0,96912.0
101,8,25.0,6,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,8,25.0,6,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,8,25.0,6,19,1.0,15.0,1.0,11.0,28.0,1.0,,100.0,1.0,0.0,,3.0,2.0,1.0,0.0,2003.0,2.0,1.0,9968.0,109648.0,2.0,,1.0,76.0,2.0,,109724.0,109724.0
101,8,27.0,16,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,8,27.0,16,14,1.0,56.0,3.0,12.0,25.0,1.0,,100.0,1.0,0.0,,15.0,2.0,13.0,0.0,2000.0,1.0,1.0,65292.0,783504.0,2.0,,1.0,515.0,2.0,,784019.0,784019.0
101,8,27.0,16,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,9,3.0,23,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,9,3.0,23,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,9,3.0,23,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,9,5.0,8,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,9,5.0,8,15,1.0,49.0,1.0,12.0,28.0,1.0,,100.0,7.0,0.0,,1.0,1.0,0.0,0.0,1998.0,3.0,1.0,2643.0,31716.0,2.0,,2.0,,2.0,,31716.0,31716.0
101,9,5.0,8,24,1.0,47.0,1.0,12.0,30.0,1.0,,100.0,1.0,0.0,,2.0,2.0,0.0,0.0,2002.0,2.0,,4038.0,48456.0,,,,,1.0,4487.0,52943.0,52943.0
101,9,11.0,35,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,9,11.0,35,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,9,11.0,35,20,1.0,86.0,2.0,12.0,30.0,1.0,,100.0,1.0,0.0,,3.0,2.0,0.0,0.0,1988.0,2.0,1.0,13212.0,158544.0,2.0,,2.0,,2.0,,158544.0,158544.0
101,9,15.0,15,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,9,15.0,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,9,15.0,15,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,9,19.0,26,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,9,19.0,26,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,9,19.0,26,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,9,23.0,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,9,23.0,11,15,1.0,47.0,2.0,12.0,30.0,1.0,,100.0,4.0,0.0,,1.0,1.0,0.0,0.0,2002.0,3.0,,1534.0,18408.0,,,,,2.0,,18408.0,18408.0
101,9,23.0,11,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,9,31.0,10,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,9,31.0,10,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,9,31.0,10,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,9,33.0,10,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,9,33.0,10,20,1.0,46.0,1.0,12.0,26.0,1.0,,100.0,4.0,0.0,,1.0,1.0,0.0,0.0,1993.0,3.0,,3589.0,43068.0,,,,,2.0,,43068.0,43068.0
101,9,33.0,10,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,9,35.0,24,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,9,35.0,24,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,9,35.0,24,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,9,39.0,17,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,9,39.0,17,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,9,39.0,17,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,11,1.0,10,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,11,1.0,10,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,11,1.0,10,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,11,3.0,17,13,1.0,86.0,1.0,12.0,22.0,1.0,,100.0,1.0,0.0,,1.0,1.0,0.0,0.0,2004.0,3.0,1.0,8093.0,97116.0,2.0,,2.0,,2.0,,97116.0,97116.0
101,11,3.0,17,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,11,3.0,17,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,11,5.0,24,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,11,5.0,24,15,1.0,85.0,1.0,12.0,16.0,1.0,,100.0,1.0,0.0,,1.0,1.0,0.0,0.0,2003.0,3.0,1.0,1346.0,16152.0,2.0,,2.0,,2.0,,16152.0,16152.0
101,11,5.0,24,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,11,17.0,33,13,2.0,96.0,2.0,12.0,24.0,1.0,,100.0,1.0,0.0,,1.0,1.0,0.0,0.0,2006.0,3.0,1.0,1436.0,17232.0,2.0,,2.0,,2.0,,17232.0,17232.0
101,11,17.0,33,13,1.0,95.0,1.0,12.0,27.0,1.0,,100.0,6.0,0.0,,1.0,1.0,0.0,0.0,2000.0,3.0,1.0,4666.0,55992.0,2.0,,2.0,,2.0,,55992.0,55992.0
101,11,17.0,33,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,11,17.0,33,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,11,21.0,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,11,21.0,9,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,11,21.0,9,15,1.0,47.0,2.0,12.0,28.0,1.0,,100.0,4.0,0.0,,1.0,1.0,0.0,0.0,1996.0,2.0,,5384.0,64608.0,,,,,2.0,,64608.0,64608.0
101,13,1.0,13,13,1.0,56.0,2.0,12.0,26.0,1.0,,100.0,7.0,0.0,,3.0,3.0,0.0,0.0,2003.0,3.0,1.0,7269.0,87228.0,2.0,,2.0,,2.0,,87228.0,87228.0
101,13,1.0,13,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,13,1.0,13,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,13,5.0,19,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,13,5.0,19,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,13,5.0,19,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,13,7.0,15,14,2.0,68.0,1.0,10.0,30.0,1.0,,100.0,1.0,0.0,,1.0,1.0,0.0,0.0,1999.0,3.0,1.0,2538.0,25380.0,2.0,,2.0,,2.0,,25380.0,25380.0
101,13,7.0,15,14,1.0,47.0,1.0,12.0,20.0,1.0,,100.0,4.0,0.0,,1.0,1.0,0.0,0.0,1986.0,3.0,,2299.0,27588.0,,,,,2.0,,27588.0,27588.0
101,13,7.0,15,19,1.0,68.0,1.0,10.0,30.0,1.0,,100.0,1.0,0.0,,1.0,1.0,0.0,0.0,1999.0,3.0,1.0,2333.0,23330.0,2.0,,2.0,,2.0,,23330.0,23330.0
101,13,7.0,15,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,13,13.0,10,13,1.0,14.0,2.0,9.0,26.0,1.0,,100.0,1.0,0.0,,2.0,2.0,0.0,0.0,1988.0,3.0,1.0,4497.0,40473.0,2.0,,2.0,,2.0,,40473.0,40473.0
101,13,13.0,10,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,13,13.0,10,15,1.0,66.0,4.0,10.0,20.0,1.0,,100.0,6.0,0.0,,1.0,1.0,0.0,0.0,2007.0,3.0,1.0,5885.0,58850.0,2.0,,2.0,,2.0,,58850.0,58850.0
101,15,3.0,3,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,15,3.0,3,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,15,3.0,3,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,15,9.0,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,15,9.0,11,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,15,9.0,11,20,1.0,47.0,1.0,12.0,30.0,1.0,,100.0,1.0,0.0,,1.0,1.0,0.0,0.0,1998.0,3.0,,538.0,6456.0,,,,,2.0,,6456.0,6456.0
101,15,19.0,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,15,19.0,13,19,1.0,47.0,1.0,12.0,24.0,1.0,,100.0,1.0,0.0,,2.0,2.0,0.0,0.0,2005.0,3.0,,415.0,4980.0,,,,,2.0,,4980.0,4980.0
101,15,19.0,13,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,15,33.0,15,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,15,33.0,15,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,15,33.0,15,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,15,39.0,12,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,15,39.0,12,14,1.0,47.0,1.0,12.0,20.0,1.0,,100.0,1.0,0.0,,1.0,1.0,0.0,0.0,1996.0,3.0,,1492.0,17904.0,,,,,2.0,,17904.0,17904.0
101,15,39.0,12,15,1.0,49.0,2.0,12.0,12.0,1.0,,100.0,1.0,0.0,,1.0,1.0,0.0,0.0,2007.0,3.0,1.0,1811.0,21732.0,2.0,,2.0,,2.0,,21732.0,21732.0
101,15,51.0,13,13,1.0,47.0,1.0,10.0,20.0,1.0,,100.0,7.0,0.0,,1.0,1.0,0.0,0.0,2003.0,3.0,,580.0,5800.0,,,,,2.0,,5800.0,5800.0
101,15,51.0,13,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,15,51.0,13,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,17,13.0,2,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,17,13.0,2,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,17,13.0,2,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,17,27.0,7,13,1.0,46.0,2.0,12.0,25.0,1.0,,100.0,1.0,0.0,,4.0,2.0,0.0,0.0,1993.0,2.0,,8973.0,107676.0,,,,,2.0,,107676.0,107676.0
101,17,27.0,7,14,1.0,47.0,1.0,11.0,26.0,1.0,,100.0,1.0,0.0,,1.0,1.0,0.0,0.0,2007.0,3.0,,1534.0,16874.0,,,,,2.0,,16874.0,16874.0
