tinh,huyen,xa,diaban,hoso,m5a1ct,m5a1c4,m5a1c5,m5a2ct,m5a2c11,m5a2c12,m5b1ct,m5b1c6,m5b1c7,m5b2ct,m5b2c4,m5b2c5,m5b3ct,m5b4c
101,5,17.0,18,14,1453.0,1453.0,0.0,23223.299,23223.299,0.0,7652.0,7652.0,0.0,3000.0,3000.0,0.0,2490.0,0.0
101,5,17.0,18,19,2069.8,2069.8,0.0,23667.8,23667.8,0.0,20540.0,20540.0,0.0,10650.0,10650.0,0.0,8900.0,0.0
101,5,25.0,12,13,4737.6,4737.6,0.0,26067.3,26067.3,0.0,11074.0,11074.0,0.0,14483.0,14483.0,0.0,1640.0,0.0
101,5,25.0,12,14,4494.6,4494.6,0.0,25721.8,25721.8,0.0,9833.0,9833.0,0.0,11539.0,11539.0,0.0,1860.0,0.0
101,5,25.0,12,15,4192.8,3752.5,440.3,21247.2,21247.2,0.0,9019.0,9019.0,0.0,11660.0,11660.0,0.0,2468.0,0.0
101,5,33.0,12,14,2083.2,2083.2,0.0,15883.2,15883.2,0.0,10973.0,10973.0,0.0,8294.0,8294.0,0.0,2910.0,0.0
101,5,33.0,12,15,1553.1,1553.1,0.0,19263.0,19263.0,0.0,7425.0,7425.0,0.0,8880.0,8880.0,0.0,3510.0,0.0
101,5,33.0,12,24,994.8,994.8,0.0,19530.4,19530.4,0.0,9701.0,9701.0,0.0,16006.0,16006.0,0.0,8450.0,0.0
101,5,35.0,16,14,3336.8,3336.8,0.0,41221.6,41221.6,0.0,11046.0,11046.0,0.0,10131.0,10131.0,0.0,5570.0,5000.0
101,5,35.0,16,15,3510.4,2898.2,612.2,35162.0,35162.0,0.0,9272.0,9272.0,0.0,10548.0,10548.0,0.0,4710.0,0.0
101,5,35.0,16,19,3067.0,3067.0,0.0,37043.4,37043.4,0.0,11016.0,11016.0,0.0,9828.0,9828.0,0.0,3580.0,0.0
101,6,1.0,10,13,937.8,896.8,41.0,20310.1,20310.1,0.0,4020.0,4020.0,0.0,2080.0,2080.0,0.0,1580.0,0.0
101,6,1.0,10,14,1173.1,1173.1,0.0,14728.399,13927.6,800.8,3660.0,3660.0,0.0,3840.0,3840.0,0.0,960.0,0.0
101,6,1.0,10,19,1246.5,1246.5,0.0,22407.6,18039.6,4368.0,5300.0,5300.0,0.0,2715.0,2715.0,0.0,5520.0,0.0
101,6,7.0,17,13,2485.5999,2358.2,127.399994,25659.5,25659.5,0.0,6157.0,6157.0,0.0,2320.0,2320.0,0.0,5650.0,6400.0
101,6,7.0,17,14,1369.4,1278.4,91.0,15558.5,15558.5,0.0,2734.0,2734.0,0.0,1040.0,1040.0,0.0,3300.0,97.0
101,6,7.0,17,19,2863.2998,1304.7,1558.6,26006.701,25792.9,213.8,7334.0,7334.0,0.0,3100.0,3100.0,0.0,5933.0,0.0
101,6,11.0,12,13,1929.8,1929.8,0.0,26440.8,20325.6,6115.2,3410.0,3410.0,0.0,1465.0,1465.0,0.0,4834.0,0.0
101,6,11.0,12,14,522.6,522.6,0.0,5087.6,5087.6,0.0,800.0,800.0,0.0,390.0,390.0,0.0,950.0,0.0
101,6,11.0,12,15,999.3,999.3,0.0,13296.6,11203.6,2093.0,2280.0,2280.0,0.0,1050.0,1050.0,0.0,5840.0,0.0
101,6,21.0,13,13,1556.9,1528.3,28.6,15120.499,14776.699,343.8,10308.0,10308.0,0.0,8830.0,8000.0,830.0,300.0,0.0
101,6,21.0,13,14,1119.6,981.1,138.5,10414.0,10414.0,0.0,2782.0,2782.0,0.0,730.0,380.0,350.0,3106.0,2400.0
101,6,21.0,13,15,1711.7,1711.7,0.0,23006.9,23006.9,0.0,9144.0,9144.0,0.0,8265.0,8265.0,0.0,1484.0,0.0
101,6,25.0,5,13,2432.0,2298.3,133.7,31580.3,31419.9,160.4,10932.0,10932.0,0.0,4600.0,4600.0,0.0,7135.0,0.0
101,6,25.0,5,14,2961.6,2961.6,0.0,31100.9,31100.9,0.0,10461.0,10461.0,0.0,5650.0,5650.0,0.0,7722.0,0.0
101,6,25.0,5,15,964.7,964.7,0.0,18539.2,18539.2,0.0,8232.0,8232.0,0.0,2180.0,2180.0,0.0,3055.0,0.0
101,6,27.0,5,13,4485.1,4485.1,0.0,27406.2,27406.2,0.0,8700.0,8700.0,0.0,3030.0,3030.0,0.0,13088.0,0.0
101,6,27.0,5,14,2502.8,2502.8,0.0,24195.4,24195.4,0.0,7808.0,7808.0,0.0,5400.0,5400.0,0.0,7668.0,0.0
101,6,27.0,5,15,1337.9,1337.9,0.0,21045.4,21045.4,0.0,6372.0,6372.0,0.0,2250.0,2250.0,0.0,2916.0,0.0
101,7,3.0,19,13,6125.3,6029.8,95.5,71910.4,71910.4,0.0,15516.0,15516.0,0.0,20810.0,20610.0,200.0,3730.0,0.0
101,7,3.0,19,14,3015.7,1970.0,1045.7,80061.3,80013.5,47.8,11112.0,11112.0,0.0,5820.0,5820.0,0.0,3100.0,0.0
