tinh,huyen,xa,m6stt,m6c31,m6c32,m6c33,m6c34
101,15,03,1,1,2.0,1.0,5.0
101,15,03,2,1,8.0,1.0,4.0
101,15,03,3,1,8.0,1.0,1.0
101,15,03,4,2,,,
101,15,03,5,2,,,
101,15,03,6,2,,,
101,15,03,7,2,,,
101,15,09,1,1,2.0,1.0,4.0
101,15,09,2,1,2.0,3.0,1.0
101,15,09,3,1,2.0,3.0,1.0
101,15,09,4,2,,,
101,15,09,5,1,2.0,3.0,1.0
101,15,09,6,2,,,
101,15,09,7,2,,,
101,15,19,1,1,2.0,1.0,1.0
101,15,19,2,1,2.0,1.0,1.0
101,15,19,3,1,2.0,1.0,1.0
101,15,19,4,2,,,
101,15,19,5,2,,,
101,15,19,6,2,,,
101,15,19,7,2,,,
101,15,33,1,1,8.0,2.0,1.0
101,15,33,2,1,8.0,2.0,1.0
101,15,33,3,1,8.0,2.0,1.0
101,15,33,4,2,,,
101,15,33,5,2,,,
101,15,33,6,2,,,
101,15,33,7,2,,,
101,15,39,1,1,8.0,2.0,1.0
101,15,39,2,1,8.0,2.0,1.0
101,15,39,3,1,8.0,2.0,1.0
101,15,39,4,2,,,
101,15,39,5,1,8.0,2.0,1.0
101,15,39,6,2,,,
101,15,39,7,2,,,
101,15,51,1,1,8.0,2.0,1.0
101,15,51,2,1,8.0,2.0,1.0
101,15,51,3,1,8.0,2.0,1.0
101,15,51,4,2,,,
101,15,51,5,2,,,
101,15,51,6,2,,,
101,15,51,7,2,,,
101,17,13,1,1,2.0,2.0,1.0
101,17,13,2,1,2.0,2.0,1.0
101,17,13,3,1,2.0,2.0,1.0
101,17,13,4,2,,,
101,17,13,5,1,2.0,2.0,1.0
101,17,13,6,2,,,
101,17,13,7,2,,,
101,17,27,1,1,2.0,2.0,1.0
101,17,27,2,1,2.0,2.0,1.0
101,17,27,3,1,2.0,2.0,1.0
101,17,27,4,2,,,
101,17,27,5,2,,,
101,17,27,6,2,,,
101,17,27,7,2,,,
101,17,31,1,1,2.0,1.0,1.0
101,17,31,2,1,2.0,1.0,1.0
101,17,31,3,1,2.0,1.0,1.0
101,17,31,4,2,,,
101,17,31,5,2,,,
101,17,31,6,2,,,
101,17,31,7,2,,,
101,17,33,1,1,2.0,1.0,1.0
101,17,33,2,1,2.0,1.0,1.0
101,17,33,3,1,2.0,1.0,1.0
101,17,33,4,2,,,
101,17,33,5,2,,,
101,17,33,6,2,,,
101,17,33,7,2,,,
101,17,35,1,1,2.0,1.0,1.0
101,17,35,2,1,2.0,1.0,1.0
101,17,35,3,1,2.0,1.0,1.0
101,17,35,4,2,,,
101,17,35,5,2,,,
101,17,35,6,2,,,
101,17,35,7,2,,,
101,17,37,1,1,2.0,1.0,1.0
101,17,37,2,1,2.0,1.0,1.0
101,17,37,3,1,2.0,1.0,1.0
101,17,37,4,2,,,
101,17,37,5,2,,,
101,17,37,6,2,,,
101,17,37,7,2,,,
101,17,39,1,1,2.0,1.0,1.0
101,17,39,2,1,2.0,1.0,1.0
101,17,39,3,1,2.0,1.0,1.0
101,17,39,4,2,,,
101,17,39,5,2,,,
101,17,39,6,2,,,
101,17,39,7,2,,,
101,19,17,1,1,8.0,1.0,1.0
101,19,17,2,1,8.0,1.0,1.0
101,19,17,3,1,8.0,1.0,1.0
101,19,17,4,2,,,
101,19,17,5,1,8.0,1.0,1.0
101,19,17,6,2,,,
101,19,17,7,2,,,
101,19,55,1,1,8.0,1.0,1.0
101,19,55,2,1,8.0,1.0,1.0
101,19,55,3,1,8.0,1.0,1.0
101,19,55,4,2,,,
101,19,55,5,2,,,
101,19,55,6,2,,,
101,19,55,7,2,,,
101,21,13,1,1,2.0,2.0,1.0
101,21,13,2,1,2.0,2.0,1.0
101,21,13,3,1,2.0,2.0,1.0
101,21,13,4,2,,,
101,21,13,5,2,,,
101,21,13,6,2,,,
101,21,13,7,2,,,
101,21,23,1,1,1.0,2.0,1.0
101,21,23,2,1,1.0,2.0,1.0
101,21,23,3,1,1.0,2.0,1.0
101,21,23,4,2,,,
101,21,23,5,1,1.0,2.0,1.0
101,21,23,6,2,,,
101,21,23,7,2,,,
101,23,23,1,1,1.0,1.0,1.0
101,23,23,2,1,1.0,1.0,1.0
101,23,23,3,1,1.0,1.0,1.0
101,23,23,4,2,,,
101,23,23,5,2,,,
101,23,23,6,2,,,
101,23,23,7,2,,,
101,23,47,1,1,1.0,1.0,1.0
101,23,47,2,1,1.0,1.0,1.0
101,23,47,3,1,1.0,1.0,1.0
101,23,47,4,2,,,
101,23,47,5,2,,,
101,23,47,6,2,,,
101,23,47,7,2,,,
103,11,05,1,1,1.0,2.0,1.0
103,11,05,2,1,1.0,2.0,1.0
103,11,05,3,1,1.0,2.0,1.0
103,11,05,4,2,,,
103,11,05,5,2,,,
103,11,05,6,2,,,
103,11,05,7,2,,,
103,11,07,1,1,1.0,1.0,1.0
103,11,07,2,1,1.0,1.0,1.0
103,11,07,3,1,1.0,1.0,1.0
103,11,07,4,2,,,
103,11,07,5,2,,,
103,11,07,6,2,,,
103,11,07,7,2,,,
103,11,14,1,1,2.0,2.0,1.0
103,11,14,2,1,2.0,2.0,1.0
103,11,14,3,1,2.0,2.0,1.0
103,11,14,4,2,,,
103,11,14,5,1,2.0,2.0,1.0
103,11,14,6,2,,,
103,11,14,7,2,,,
103,11,21,1,1,1.0,2.0,4.0
103,11,21,2,1,1.0,2.0,4.0
103,11,21,3,1,1.0,2.0,4.0
103,11,21,4,2,,,
103,11,21,5,2,,,
103,11,21,6,2,,,
103,11,21,7,2,,,
103,11,27,1,1,1.0,1.0,1.0
103,11,27,2,1,1.0,1.0,1.0
103,11,27,3,1,1.0,1.0,1.0
103,11,27,4,2,,,
103,11,27,5,2,,,
103,11,27,6,2,,,
103,11,27,7,2,,,
103,11,35,1,1,1.0,2.0,1.0
103,11,35,2,1,1.0,2.0,1.0
103,11,35,3,1,1.0,2.0,1.0
103,11,35,4,2,,,
103,11,35,5,2,,,
103,11,35,6,2,,,
103,11,35,7,2,,,
103,11,43,1,1,1.0,1.0,1.0
103,11,43,2,1,1.0,1.0,1.0
103,11,43,3,1,1.0,1.0,1.0
103,11,43,4,2,,,
103,11,43,5,2,,,
103,11,43,6,2,,,
103,11,43,7,2,,,
103,13,07,1,1,2.0,1.0,1.0
103,13,07,2,1,2.0,1.0,1.0
103,13,07,3,1,2.0,1.0,1.0
103,13,07,4,2,,,
103,13,07,5,2,,,
103,13,07,6,2,,,
103,13,07,7,2,,,
103,13,13,1,1,1.0,2.0,1.0
103,13,13,2,1,1.0,2.0,1.0
103,13,13,3,1,1.0,2.0,1.0
103,13,13,4,2,,,
103,13,13,5,1,1.0,2.0,1.0
103,13,13,6,2,,,
103,13,13,7,2,,,
103,15,03,1,1,1.0,2.0,1.0
103,15,03,2,1,1.0,2.0,1.0
103,15,03,3,1,1.0,2.0,1.0
103,15,03,4,2,,,
103,15,03,5,2,,,
103,15,03,6,2,,,
103,15,03,7,2,,,
103,15,11,1,1,7.0,2.0,1.0
103,15,11,2,1,7.0,2.0,1.0
103,15,11,3,1,7.0,2.0,1.0
103,15,11,4,2,,,
103,15,11,5,2,,,
103,15,11,6,2,,,
103,15,11,7,2,,,
103,17,17,1,1,1.0,1.0,1.0
103,17,17,2,1,2.0,1.0,1.0
103,17,17,3,1,2.0,1.0,1.0
103,17,17,4,2,,,
103,17,17,5,1,1.0,1.0,1.0
103,17,17,6,2,,,
103,17,17,7,2,,,
103,17,23,1,1,1.0,2.0,1.0
103,17,23,2,1,1.0,2.0,1.0
103,17,23,3,1,1.0,2.0,1.0
103,17,23,4,2,,,
103,17,23,5,2,,,
103,17,23,6,2,,,
103,17,23,7,2,,,
103,17,31,1,1,2.0,1.0,1.0
103,17,31,2,1,2.0,1.0,1.0
103,17,31,3,1,2.0,1.0,1.0
103,17,31,4,2,,,
103,17,31,5,2,,,
103,17,31,6,2,,,
103,17,31,7,2,,,
103,19,09,1,1,2.0,1.0,2.0
103,19,09,2,1,2.0,1.0,2.0
103,19,09,3,1,2.0,1.0,2.0
103,19,09,4,2,,,
103,19,09,5,2,,,
103,19,09,6,2,,,
103,19,09,7,2,,,
103,19,17,1,1,2.0,1.0,1.0
103,19,17,2,1,2.0,1.0,1.0
103,19,17,3,1,2.0,1.0,1.0
103,19,17,4,2,,,
103,19,17,5,2,,,
103,19,17,6,2,,,
103,19,17,7,2,,,
103,19,25,1,1,2.0,1.0,1.0
103,19,25,2,1,2.0,1.0,1.0
103,19,25,3,1,2.0,1.0,1.0
103,19,25,4,2,,,
103,19,25,5,2,,,
103,19,25,6,2,,,
103,19,25,7,2,,,
103,21,17,1,1,2.0,1.0,2.0
103,21,17,2,2,,,
103,21,17,3,2,,,
103,21,17,4,2,,,
103,21,17,5,2,,,
103,21,17,6,2,,,
103,21,17,7,2,,,
103,21,25,1,1,2.0,1.0,1.0
103,21,25,2,1,2.0,1.0,1.0
103,21,25,3,1,2.0,1.0,1.0
103,21,25,4,2,,,
103,21,25,5,2,,,
103,21,25,6,2,,,
103,21,25,7,2,,,
103,21,35,1,1,2.0,1.0,1.0
103,21,35,2,1,2.0,1.0,1.0
103,21,35,3,1,2.0,1.0,1.0
103,21,35,4,2,,,
103,21,35,5,2,,,
103,21,35,6,2,,,
103,21,35,7,2,,,
103,21,43,1,1,7.0,2.0,2.0
103,21,43,2,1,7.0,2.0,2.0
103,21,43,3,1,7.0,2.0,2.0
103,21,43,4,2,,,
103,21,43,5,1,7.0,2.0,2.0
103,21,43,6,2,,,
103,21,43,7,2,,,
103,21,51,1,1,2.0,1.0,1.0
103,21,51,2,1,2.0,1.0,1.0
103,21,51,3,1,2.0,1.0,2.0
103,21,51,4,2,,,
103,21,51,5,1,2.0,1.0,1.0
103,21,51,6,2,,,
103,21,51,7,2,,,
104,01,17,1,1,2.0,2.0,1.0
104,01,17,2,1,2.0,2.0,1.0
104,01,17,3,1,2.0,2.0,1.0
104,01,17,4,2,,,
104,01,17,5,2,,,
104,01,17,6,2,,,
104,01,17,7,2,,,
104,02,13,1,1,3.0,2.0,3.0
104,02,13,2,1,3.0,2.0,3.0
104,02,13,3,1,3.0,2.0,3.0
104,02,13,4,2,,,
104,02,13,5,2,,,
104,02,13,6,2,,,
104,02,13,7,2,,,
104,03,11,1,1,3.0,2.0,1.0
104,03,11,2,1,3.0,2.0,3.0
104,03,11,3,1,3.0,2.0,3.0
104,03,11,4,2,,,
104,03,11,5,2,,,
104,03,11,6,2,,,
104,03,11,7,2,,,
104,03,29,1,1,3.0,2.0,1.0
104,03,29,2,1,3.0,2.0,1.0
104,03,29,3,1,3.0,2.0,1.0
104,03,29,4,2,,,
104,03,29,5,2,,,
104,03,29,6,2,,,
104,03,29,7,2,,,
104,03,33,1,1,3.0,2.0,3.0
104,03,33,2,1,3.0,2.0,3.0
104,03,33,3,1,3.0,2.0,3.0
104,03,33,4,2,,,
104,03,33,5,2,,,
104,03,33,6,2,,,
104,03,33,7,2,,,
104,03,43,1,1,3.0,2.0,1.0
104,03,43,2,1,3.0,2.0,2.0
104,03,43,3,1,3.0,2.0,2.0
104,03,43,4,2,,,
104,03,43,5,2,,,
104,03,43,6,2,,,
104,03,43,7,2,,,
104,03,53,1,1,3.0,2.0,3.0
104,03,53,2,1,3.0,2.0,3.0
104,03,53,3,1,3.0,2.0,3.0
104,03,53,4,2,,,
104,03,53,5,2,,,
104,03,53,6,2,,,
104,03,53,7,2,,,
104,03,61,1,1,2.0,2.0,3.0
104,03,61,2,1,2.0,2.0,3.0
104,03,61,3,1,2.0,2.0,3.0
104,03,61,4,2,,,
104,03,61,5,2,,,
104,03,61,6,2,,,
104,03,61,7,2,,,
104,03,69,1,1,2.0,2.0,3.0
104,03,69,2,1,2.0,2.0,3.0
104,03,69,3,1,2.0,2.0,3.0
104,03,69,4,2,,,
104,03,69,5,2,,,
104,03,69,6,2,,,
104,03,69,7,2,,,
104,03,75,1,1,3.0,2.0,3.0
104,03,75,2,1,3.0,2.0,3.0
104,03,75,3,1,3.0,2.0,3.0
104,03,75,4,2,,,
104,03,75,5,1,3.0,2.0,3.0
104,03,75,6,2,,,
104,03,75,7,2,,,
104,04,01,1,1,3.0,2.0,3.0
104,04,01,2,1,3.0,2.0,3.0
104,04,01,3,1,3.0,2.0,3.0
104,04,01,4,2,,,
104,04,01,5,2,,,
104,04,01,6,2,,,
104,04,01,7,2,,,
104,04,09,1,1,2.0,1.0,3.0
104,04,09,2,1,2.0,1.0,3.0
104,04,09,3,1,2.0,1.0,3.0
104,04,09,4,2,,,
104,04,09,5,1,2.0,1.0,1.0
104,04,09,6,2,,,
104,04,09,7,2,,,
104,05,17,1,1,3.0,2.0,3.0
104,05,17,2,1,3.0,2.0,3.0
104,05,17,3,1,3.0,2.0,3.0
104,05,17,4,2,,,
104,05,17,5,2,,,
104,05,17,6,2,,,
104,05,17,7,2,,,
104,05,29,1,1,3.0,3.0,3.0
104,05,29,2,1,2.0,1.0,3.0
104,05,29,3,1,2.0,1.0,3.0
104,05,29,4,2,,,
104,05,29,5,2,,,
104,05,29,6,2,,,
104,05,29,7,2,,,
104,05,43,1,1,3.0,1.0,2.0
104,05,43,2,1,3.0,1.0,2.0
104,05,43,3,1,3.0,1.0,2.0
104,05,43,4,2,,,
104,05,43,5,2,,,
104,05,43,6,2,,,
104,05,43,7,2,,,
104,05,45,1,1,3.0,1.0,1.0
104,05,45,2,1,3.0,1.0,3.0
104,05,45,3,1,3.0,1.0,3.0
104,05,45,4,2,,,
104,05,45,5,2,,,
104,05,45,6,2,,,
104,05,45,7,2,,,
104,06,03,1,1,3.0,1.0,1.0
104,06,03,2,1,3.0,1.0,1.0
104,06,03,3,1,3.0,1.0,1.0
104,06,03,4,2,,,
104,06,03,5,2,,,
104,06,03,6,2,,,
104,06,03,7,2,,,
104,06,09,1,1,3.0,1.0,1.0
104,06,09,2,1,3.0,1.0,1.0
104,06,09,3,1,3.0,1.0,1.0
104,06,09,4,2,,,
104,06,09,5,2,,,
104,06,09,6,2,,,
104,06,09,7,2,,,
104,06,21,1,1,2.0,2.0,1.0
104,06,21,2,1,2.0,2.0,1.0
104,06,21,3,1,2.0,2.0,1.0
104,06,21,4,2,,,
104,06,21,5,2,,,
104,06,21,6,2,,,
104,06,21,7,2,,,
104,07,03,1,1,2.0,2.0,1.0
104,07,03,2,1,2.0,2.0,1.0
104,07,03,3,1,2.0,2.0,1.0
104,07,03,4,2,,,
104,07,03,5,2,,,
104,07,03,6,2,,,
104,07,03,7,2,,,
104,07,09,1,1,2.0,2.0,3.0
104,07,09,2,1,2.0,2.0,3.0
104,07,09,3,1,2.0,2.0,3.0
104,07,09,4,2,,,
104,07,09,5,2,,,
104,07,09,6,2,,,
104,07,09,7,2,,,
104,07,19,1,1,2.0,2.0,1.0
104,07,19,2,1,2.0,2.0,1.0
104,07,19,3,1,2.0,2.0,1.0
104,07,19,4,2,,,
104,07,19,5,2,,,
104,07,19,6,2,,,
104,07,19,7,2,,,
104,07,29,1,1,2.0,2.0,1.0
104,07,29,2,1,2.0,2.0,1.0
104,07,29,3,1,2.0,2.0,1.0
104,07,29,4,2,,,
104,07,29,5,2,,,
104,07,29,6,2,,,
104,07,29,7,2,,,
104,07,47,1,1,2.0,1.0,3.0
104,07,47,2,1,2.0,1.0,1.0
104,07,47,3,1,2.0,1.0,1.0
104,07,47,4,2,,,
104,07,47,5,2,,,
104,07,47,6,2,,,
104,07,47,7,2,,,
104,07,53,1,1,2.0,1.0,1.0
104,07,53,2,1,2.0,1.0,3.0
104,07,53,3,1,2.0,1.0,1.0
104,07,53,4,2,,,
104,07,53,5,2,,,
104,07,53,6,2,,,
104,07,53,7,2,,,
104,09,09,1,1,2.0,2.0,3.0
104,09,09,2,1,2.0,2.0,3.0
104,09,09,3,1,2.0,2.0,3.0
104,09,09,4,2,,,
104,09,09,5,2,,,
104,09,09,6,2,,,
104,09,09,7,2,,,
104,09,13,1,1,2.0,2.0,3.0
104,09,13,2,1,2.0,2.0,3.0
104,09,13,3,1,2.0,2.0,3.0
104,09,13,4,2,,,
104,09,13,5,1,2.0,2.0,3.0
104,09,13,6,2,,,
104,09,13,7,2,,,
104,09,15,1,1,2.0,2.0,3.0
104,09,15,2,1,2.0,2.0,3.0
104,09,15,3,1,2.0,2.0,3.0
104,09,15,4,2,,,
104,09,15,5,2,,,
104,09,15,6,2,,,
104,09,15,7,2,,,
104,09,21,1,1,2.0,2.0,3.0
104,09,21,2,1,2.0,2.0,3.0
104,09,21,3,1,2.0,2.0,3.0
104,09,21,4,2,,,
104,09,21,5,2,,,
104,09,21,6,2,,,
104,09,21,7,2,,,
104,09,27,1,1,2.0,1.0,1.0
104,09,27,2,1,2.0,1.0,1.0
104,09,27,3,1,2.0,2.0,3.0
104,09,27,4,2,,,
104,09,27,5,1,2.0,2.0,3.0
104,09,27,6,2,,,
104,09,27,7,2,,,
104,09,33,1,1,2.0,1.0,1.0
104,09,33,2,1,2.0,1.0,3.0
104,09,33,3,1,2.0,1.0,3.0
104,09,33,4,2,,,
104,09,33,5,2,,,
104,09,33,6,2,,,
104,09,33,7,2,,,
104,11,17,1,1,8.0,1.0,2.0
104,11,17,2,1,8.0,1.0,1.0
104,11,17,3,1,8.0,1.0,1.0
104,11,17,4,2,,,
104,11,17,5,2,,,
104,11,17,6,2,,,
104,11,17,7,2,,,
104,11,23,1,1,2.0,1.0,1.0
104,11,23,2,1,2.0,1.0,1.0
104,11,23,3,1,2.0,1.0,1.0
104,11,23,4,2,,,
104,11,23,5,1,2.0,1.0,1.0
104,11,23,6,2,,,
104,11,23,7,2,,,
104,11,25,1,1,8.0,1.0,2.0
104,11,25,2,1,8.0,1.0,2.0
104,11,25,3,1,8.0,1.0,2.0
104,11,25,4,2,,,
104,11,25,5,2,,,
104,11,25,6,2,,,
104,11,25,7,2,,,
104,11,31,1,1,2.0,2.0,4.0
104,11,31,2,1,2.0,2.0,4.0
104,11,31,3,1,2.0,2.0,4.0
104,11,31,4,2,,,
104,11,31,5,2,,,
104,11,31,6,2,,,
104,11,31,7,2,,,
105,01,17,1,1,2.0,1.0,1.0
105,01,17,2,1,2.0,1.0,1.0
105,01,17,3,1,2.0,1.0,1.0
105,01,17,4,2,,,
105,01,17,5,2,,,
105,01,17,6,2,,,
105,01,17,7,2,,,
105,01,23,1,1,2.0,1.0,1.0
105,01,23,2,1,2.0,1.0,1.0
105,01,23,3,1,2.0,1.0,1.0
105,01,23,4,2,,,
105,01,23,5,2,,,
105,01,23,6,2,,,
105,01,23,7,2,,,
105,01,29,1,1,2.0,1.0,4.0
105,01,29,2,1,2.0,1.0,4.0
105,01,29,3,1,2.0,1.0,1.0
105,01,29,4,2,,,
105,01,29,5,2,,,
105,01,29,6,2,,,
105,01,29,7,2,,,
105,03,13,1,1,3.0,2.0,1.0
105,03,13,2,1,3.0,2.0,1.0
105,03,13,3,1,3.0,2.0,1.0
105,03,13,4,2,,,
105,03,13,5,2,,,
105,03,13,6,2,,,
105,03,13,7,2,,,
105,03,21,1,1,3.0,2.0,1.0
105,03,21,2,1,3.0,2.0,1.0
105,03,21,3,1,3.0,2.0,1.0
105,03,21,4,2,,,
105,03,21,5,2,,,
105,03,21,6,2,,,
105,03,21,7,2,,,
105,05,03,1,1,3.0,2.0,3.0
105,05,03,2,1,3.0,2.0,3.0
105,05,03,3,1,3.0,2.0,3.0
105,05,03,4,2,,,
105,05,03,5,2,,,
105,05,03,6,2,,,
105,05,03,7,2,,,
105,05,15,1,1,2.0,1.0,1.0
105,05,15,2,1,2.0,1.0,3.0
105,05,15,3,1,2.0,1.0,3.0
105,05,15,4,2,,,
105,05,15,5,2,,,
105,05,15,6,2,,,
105,05,15,7,2,,,
105,05,23,1,1,2.0,1.0,1.0
105,05,23,2,1,2.0,1.0,1.0
105,05,23,3,1,2.0,1.0,1.0
105,05,23,4,2,,,
105,05,23,5,2,,,
105,05,23,6,2,,,
105,05,23,7,2,,,
105,05,31,1,1,3.0,1.0,1.0
105,05,31,2,1,3.0,1.0,1.0
105,05,31,3,1,3.0,1.0,1.0
105,05,31,4,2,,,
105,05,31,5,2,,,
105,05,31,6,2,,,
105,05,31,7,2,,,
105,05,35,1,1,3.0,3.0,1.0
105,05,35,2,1,3.0,3.0,3.0
105,05,35,3,1,3.0,3.0,3.0
105,05,35,4,2,,,
105,05,35,5,2,,,
105,05,35,6,2,,,
105,05,35,7,2,,,
105,05,43,1,1,2.0,1.0,3.0
105,05,43,2,1,2.0,1.0,3.0
105,05,43,3,1,2.0,1.0,3.0
105,05,43,4,2,,,
105,05,43,5,2,,,
105,05,43,6,2,,,
105,05,43,7,2,,,
105,05,59,1,1,3.0,1.0,1.0
105,05,59,2,1,3.0,1.0,1.0
105,05,59,3,1,3.0,1.0,1.0
105,05,59,4,2,,,
105,05,59,5,2,,,
105,05,59,6,2,,,
105,05,59,7,2,,,
105,07,09,1,1,2.0,1.0,4.0
105,07,09,2,1,2.0,1.0,4.0
105,07,09,3,1,2.0,1.0,4.0
105,07,09,4,2,,,
105,07,09,5,2,,,
105,07,09,6,2,,,
105,07,09,7,2,,,
105,07,19,1,1,2.0,1.0,4.0
105,07,19,2,1,2.0,1.0,1.0
105,07,19,3,1,2.0,1.0,4.0
105,07,19,4,2,,,
105,07,19,5,2,,,
105,07,19,6,2,,,
105,07,19,7,2,,,
105,07,31,1,1,2.0,1.0,1.0
105,07,31,2,1,2.0,1.0,1.0
105,07,31,3,1,2.0,1.0,1.0
105,07,31,4,2,,,
105,07,31,5,1,2.0,1.0,1.0
105,07,31,6,2,,,
105,07,31,7,2,,,
105,07,39,1,1,2.0,1.0,2.0
105,07,39,2,1,2.0,1.0,2.0
105,07,39,3,1,2.0,1.0,2.0
105,07,39,4,2,,,
105,07,39,5,2,,,
105,07,39,6,2,,,
105,07,39,7,2,,,
105,09,13,1,1,2.0,1.0,1.0
105,09,13,2,1,2.0,1.0,1.0
105,09,13,3,1,2.0,1.0,1.0
105,09,13,4,2,,,
105,09,13,5,2,,,
105,09,13,6,2,,,
105,09,13,7,2,,,
105,09,23,1,1,7.0,1.0,1.0
105,09,23,2,1,7.0,1.0,1.0
105,09,23,3,1,7.0,1.0,1.0
105,09,23,4,2,,,
105,09,23,5,2,,,
105,09,23,6,2,,,
105,09,23,7,2,,,
105,09,27,1,1,2.0,1.0,1.0
105,09,27,2,1,2.0,1.0,1.0
105,09,27,3,1,2.0,1.0,1.0
105,09,27,4,2,,,
105,09,27,5,1,2.0,1.0,1.0
105,09,27,6,2,,,
105,09,27,7,2,,,
105,09,29,1,1,2.0,1.0,1.0
105,09,29,2,1,2.0,1.0,1.0
105,09,29,3,1,2.0,1.0,1.0
105,09,29,4,2,,,
105,09,29,5,2,,,
105,09,29,6,2,,,
105,09,29,7,2,,,
105,11,07,1,1,3.0,2.0,1.0
105,11,07,2,1,3.0,2.0,2.0
105,11,07,3,1,3.0,2.0,2.0
105,11,07,4,1,3.0,2.0,2.0
105,11,07,5,2,,,
105,11,07,6,2,,,
105,11,07,7,2,,,
105,11,15,1,1,2.0,9.0,1.0
105,11,15,2,1,2.0,9.0,1.0
105,11,15,3,1,2.0,9.0,1.0
105,11,15,4,2,,,
105,11,15,5,2,,,
105,11,15,6,2,,,
105,11,15,7,2,,,
105,11,23,1,1,2.0,1.0,1.0
105,11,23,2,1,2.0,1.0,1.0
105,11,23,3,1,2.0,1.0,1.0
105,11,23,4,2,,,
105,11,23,5,2,,,
105,11,23,6,2,,,
105,11,23,7,2,,,
105,11,33,1,1,2.0,1.0,1.0
105,11,33,2,1,2.0,1.0,1.0
105,11,33,3,1,2.0,1.0,1.0
105,11,33,4,2,,,
105,11,33,5,1,2.0,1.0,1.0
105,11,33,6,2,,,
105,11,33,7,2,,,
105,13,07,1,1,7.0,2.0,1.0
105,13,07,2,1,7.0,2.0,1.0
105,13,07,3,1,2.0,1.0,1.0
105,13,07,4,2,,,
105,13,07,5,2,,,
105,13,07,6,2,,,
105,13,07,7,2,,,
105,13,11,1,1,2.0,1.0,1.0
105,13,11,2,1,2.0,1.0,1.0
105,13,11,3,1,2.0,1.0,1.0
105,13,11,4,2,,,
105,13,11,5,1,2.0,1.0,1.0
105,13,11,6,2,,,
105,13,11,7,2,,,
105,13,15,1,1,7.0,2.0,1.0
105,13,15,2,1,7.0,2.0,1.0
105,13,15,3,1,7.0,1.0,1.0
105,13,15,4,2,,,
105,13,15,5,1,7.0,2.0,1.0
105,13,15,6,2,,,
105,13,15,7,2,,,
105,13,17,1,1,2.0,1.0,1.0
105,13,17,2,1,2.0,1.0,1.0
105,13,17,3,1,2.0,1.0,1.0
105,13,17,4,2,,,
105,13,17,5,2,,,
105,13,17,6,2,,,
105,13,17,7,2,,,
105,13,23,1,1,2.0,1.0,2.0
105,13,23,2,1,2.0,1.0,2.0
105,13,23,3,1,2.0,1.0,2.0
105,13,23,4,2,,,
105,13,23,5,2,,,
105,13,23,6,2,,,
105,13,23,7,2,,,
105,13,35,1,1,2.0,1.0,1.0
105,13,35,2,1,2.0,1.0,1.0
105,13,35,3,1,2.0,1.0,1.0
105,13,35,4,2,,,
105,13,35,5,2,,,
105,13,35,6,2,,,
105,13,35,7,2,,,
105,15,13,1,1,2.0,2.0,3.0
105,15,13,2,1,2.0,2.0,3.0
105,15,13,3,1,2.0,2.0,3.0
105,15,13,4,2,,,
105,15,13,5,2,,,
105,15,13,6,2,,,
105,15,13,7,2,,,
105,15,23,1,1,2.0,2.0,1.0
105,15,23,2,1,2.0,2.0,1.0
105,15,23,3,1,2.0,2.0,1.0
105,15,23,4,2,,,
105,15,23,5,2,,,
105,15,23,6,2,,,
105,15,23,7,2,,,
105,15,29,1,1,7.0,2.0,3.0
105,15,29,2,1,7.0,2.0,3.0
105,15,29,3,1,7.0,2.0,3.0
105,15,29,4,2,,,
105,15,29,5,2,,,
105,15,29,6,2,,,
105,15,29,7,2,,,
105,17,13,1,1,3.0,2.0,1.0
105,17,13,2,1,3.0,2.0,1.0
105,17,13,3,1,3.0,2.0,1.0
105,17,13,4,2,,,
105,17,13,5,2,,,
105,17,13,6,2,,,
105,17,13,7,2,,,
105,17,21,1,1,2.0,2.0,1.0
105,17,21,2,1,2.0,2.0,1.0
105,17,21,3,1,2.0,2.0,1.0
105,17,21,4,2,,,
105,17,21,5,2,,,
105,17,21,6,2,,,
105,17,21,7,2,,,
105,17,31,1,1,3.0,2.0,3.0
105,17,31,2,1,3.0,2.0,3.0
105,17,31,3,1,3.0,2.0,3.0
105,17,31,4,2,,,
105,17,31,5,2,,,
105,17,31,6,2,,,
105,17,31,7,2,,,
105,17,39,1,1,2.0,1.0,1.0
105,17,39,2,1,2.0,1.0,1.0
105,17,39,3,1,2.0,1.0,1.0
105,17,39,4,2,,,
105,17,39,5,2,,,
105,17,39,6,2,,,
105,17,39,7,2,,,
105,17,47,1,1,2.0,2.0,1.0
105,17,47,2,1,2.0,2.0,1.0
105,17,47,3,1,2.0,1.0,1.0
105,17,47,4,2,,,
105,17,47,5,2,,,
105,17,47,6,2,,,
105,17,47,7,2,,,
105,17,59,1,1,2.0,1.0,1.0
105,17,59,2,1,2.0,1.0,1.0
105,17,59,3,1,2.0,1.0,1.0
105,17,59,4,2,,,
105,17,59,5,2,,,
105,17,59,6,2,,,
105,17,59,7,2,,,
105,19,13,1,1,2.0,1.0,2.0
105,19,13,2,1,2.0,1.0,2.0
105,19,13,3,1,2.0,1.0,2.0
105,19,13,4,2,,,
105,19,13,5,2,,,
105,19,13,6,2,,,
105,19,13,7,2,,,
105,19,21,1,1,4.0,1.0,1.0
105,19,21,2,1,4.0,1.0,1.0
105,19,21,3,1,4.0,1.0,1.0
105,19,21,4,2,,,
105,19,21,5,1,4.0,1.0,1.0
