tinh,huyen,xa,diaban,hoso,tongthu_01,tongthu_02,tongthu_03,tongthu_04,tongthu_05,tongthu_06,tongthu_07,tongthu_08,tongthu_09,tongthu_10,tongthu_11,tongthu_12,tongthu_13,tongthu_14,tongthu_15,m6ac8,m6ac9,m6bc7,m8c7
101,5,11.0,7,14,271397.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263820.0,7577.0,0.0,0.0,0,0,2300,2
101,5,11.0,7,15,83334.0,0.0,0.0,62081.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21253.0,0.0,0.0,0,0,7500,2
101,5,17.0,18,13,32581.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32304.0,277.0,0.0,0.0,0,0,0,2
101,5,17.0,18,14,66771.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59748.0,7023.0,0.0,0.0,0,0,0,2
101,5,17.0,18,19,121224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118452.0,2772.0,0.0,0.0,0,0,0,2
101,5,25.0,12,13,74898.0,0.0,0.0,16530.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58368.0,0.0,0.0,0.0,0,0,0,2
101,5,25.0,12,14,75650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74412.0,1238.0,0.0,0.0,0,0,0,2
101,5,25.0,12,15,68970.0,0.0,462.0,62724.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5784.0,0.0,0.0,0.0,0,0,0,2
101,5,33.0,12,14,45312.0,0.0,0.0,39431.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5881.0,0.0,0.0,0,0,450,2
101,5,33.0,12,15,61223.0,0.0,0.0,41694.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17681.0,1848.0,0.0,0.0,0,0,9000,2
101,5,33.0,12,24,61639.0,0.0,0.0,39168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22471.0,0.0,0.0,0,0,0,2
101,5,35.0,16,14,210060.0,170.0,0.0,32533.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170352.0,1137.0,5868.0,0.0,0,0,0,2
101,5,35.0,16,15,101650.0,0.0,554.0,23353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63854.0,2800.0,11089.0,0,0,1350,2
101,5,35.0,16,19,95969.0,184.0,370.0,42391.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40920.0,9176.0,2928.0,0.0,0,0,0,2
101,6,1.0,10,13,38537.0,44.0,1053.0,20587.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16853.0,0.0,0.0,0,0,0,2
101,6,1.0,10,14,25482.0,0.0,0.0,14537.0,0.0,3745.0,0.0,0.0,0.0,0.0,0.0,7200.0,0.0,0.0,0.0,0,0,0,2
101,6,1.0,10,19,62849.0,0.0,0.0,17388.0,0.0,2870.0,0.0,0.0,0.0,0.0,0.0,24860.0,2731.0,15000.0,0.0,0,0,16500,2
101,6,7.0,17,13,47850.0,0.0,427.0,20866.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16557.0,10000.0,0.0,0,0,0,1
101,6,7.0,17,14,57696.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42269.0,427.0,15000.0,0.0,0,0,0,1
101,6,7.0,17,19,58362.0,0.0,0.0,50969.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7393.0,0.0,0.0,0,0,1000,2
101,6,11.0,12,13,62830.0,0.0,683.0,10178.0,0.0,9266.0,0.0,0.0,0.0,0.0,0.0,0.0,22703.0,20000.0,0.0,0,0,0,2
101,6,11.0,12,14,19581.0,0.0,924.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9693.0,8964.0,0.0,0.0,0,0,5500,2
101,6,11.0,12,15,109801.0,0.0,1137.0,23434.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85230.0,0.0,0.0,0,0,0,2
101,6,21.0,13,13,45503.0,1053.0,0.0,17970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25280.0,1200.0,0.0,0,0,0,2
101,6,21.0,13,14,33950.0,0.0,2772.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31178.0,0.0,0.0,0,0,2200,2
101,6,21.0,13,15,62748.0,0.0,0.0,43989.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18759.0,0.0,0.0,0,0,10900,2
101,6,25.0,5,13,268641.0,0.0,0.0,26283.0,0.0,0.0,133614.0,0.0,0.0,0.0,0.0,87120.0,21624.0,0.0,0.0,0,0,15400,2
101,6,25.0,5,14,118832.0,0.0,0.0,34040.0,0.0,0.0,72526.0,0.0,0.0,0.0,0.0,0.0,5266.0,7000.0,0.0,0,0,1200,2
101,6,25.0,5,15,46974.0,0.0,0.0,21808.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13166.0,12000.0,0.0,0,0,13700,2
101,6,27.0,5,13,75381.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75381.0,0.0,0.0,0,0,0,2
101,6,27.0,5,14,88774.0,0.0,0.0,24773.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61368.0,2633.0,0.0,0.0,0,0,0,2
101,6,27.0,5,15,79157.0,0.0,0.0,16138.0,0.0,10120.0,0.0,0.0,0.0,0.0,0.0,51144.0,1755.0,0.0,0.0,0,0,0,2
101,7,3.0,19,13,189302.0,0.0,0.0,112935.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76367.0,0.0,0.0,0,0,0,2
101,7,3.0,19,14,117222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113064.0,4158.0,0.0,0.0,0,0,0,2
101,7,3.0,19,15,155284.0,0.0,0.0,155284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2
101,7,11.0,15,13,314450.0,0.0,5398.0,223145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85907.0,0.0,0.0,0,0,0,2
101,7,11.0,15,14,56905.0,0.0,0.0,20063.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18408.0,18434.0,0.0,0.0,0,0,0,2
101,7,11.0,15,15,291728.0,0.0,1610.0,158864.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131254.0,0.0,0.0,0,0,0,2
101,7,15.0,13,15,43452.0,0.0,0.0,27827.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15625.0,0.0,0.0,0,0,0,2
101,7,15.0,13,19,149139.0,0.0,0.0,78114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71025.0,0.0,0.0,0,0,0,2
