tinh,huyen,xa,diaban,hoso,m8c1a,m8c1b,m8c1c,m8c1d,m8c2a,m8c2b,m8c2c,m8c2d,m8c3a_1,m8c3b_1,m8c3a_2,m8c3b_2,m8c3a_3,m8c3b_3,m8c3a_4,m8c3b_4,m8c3a_5,m8c3b_5,m8c3a_6,m8c3b_6,m8c3a_7,m8c3b_7,m8c3a_8,m8c3b_8,m8c4a_1,m8c4b_1,m8c4a_2,m8c4b_2,m8c4a_3,m8c4b_3,m8c5,m8c6a,m8c6b,m8c6c
101,7,21.0,16,20,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,7,27.0,3,13,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,7,27.0,3,14,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5.0,0.0,
101,7,27.0,3,15,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,7,33.0,21,15,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
101,7,33.0,21,20,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
101,7,33.0,21,24,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5.0,0.0,
101,7,37.0,15,13,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,7,37.0,15,14,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,7,37.0,15,15,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,8,3.0,7,13,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,8,3.0,7,14,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,8,3.0,7,15,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,8,5.0,16,13,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
101,8,5.0,16,14,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
101,8,5.0,16,15,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
101,8,7.0,18,14,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,8,7.0,18,19,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
101,8,7.0,18,20,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,8,15.0,27,14,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5.0,1.0,2.0
101,8,15.0,27,15,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5.0,0.0,
101,8,15.0,27,20,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,8,19.0,22,14,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
101,8,19.0,22,15,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
101,8,19.0,22,20,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
101,8,25.0,6,14,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,8,25.0,6,15,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,8,25.0,6,19,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,8,27.0,16,13,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
101,8,27.0,16,14,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
101,8,27.0,16,15,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,9,3.0,23,13,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,9,3.0,23,14,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,9,3.0,23,15,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,9,5.0,8,14,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,9,5.0,8,15,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,9,5.0,8,24,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,9,11.0,35,13,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,9,11.0,35,14,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,9,11.0,35,20,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,9,15.0,15,13,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
101,9,15.0,15,15,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,9,15.0,15,19,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
101,9,19.0,26,13,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,9,19.0,26,14,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,9,19.0,26,15,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,9,23.0,11,14,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,9,23.0,11,15,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,9,23.0,11,24,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
101,9,31.0,10,13,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,9,31.0,10,14,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,9,31.0,10,15,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2.0,0.0,
101,9,33.0,10,19,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,9,33.0,10,20,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,9,33.0,10,24,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,9,35.0,24,13,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,9,35.0,24,14,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,9,35.0,24,20,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,9,39.0,17,19,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,9,39.0,17,20,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,9,39.0,17,24,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,11,1.0,10,13,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,11,1.0,10,14,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,11,1.0,10,15,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
101,11,3.0,17,13,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,11,3.0,17,15,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,11,3.0,17,24,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,11,5.0,24,14,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
101,11,5.0,24,15,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,11,5.0,24,19,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,11,17.0,33,13,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,11,17.0,33,14,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,11,17.0,33,15,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2.0,3.0,5.0
101,11,21.0,9,13,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
101,11,21.0,9,14,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,11,21.0,9,15,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,13,1.0,13,13,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,13,1.0,13,14,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
101,13,1.0,13,20,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,13,5.0,19,13,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
101,13,5.0,19,15,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
101,13,5.0,19,20,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
101,13,7.0,15,14,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
101,13,7.0,15,19,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2.0,4.0,5.0
101,13,7.0,15,24,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
101,13,13.0,10,13,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
101,13,13.0,10,14,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
101,13,13.0,10,15,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
101,15,3.0,3,13,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,15,3.0,3,14,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,15,3.0,3,15,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,15,9.0,11,14,1,2,2,2,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,,,
101,15,9.0,11,15,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
101,15,9.0,11,20,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
101,15,19.0,13,13,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
101,15,19.0,13,19,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,15,19.0,13,20,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,15,33.0,15,14,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
101,15,33.0,15,20,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
101,15,33.0,15,24,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1.0,0.0,
101,15,39.0,12,13,1,1,1,1,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,,,
101,15,39.0,12,14,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
101,15,39.0,12,15,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
101,15,51.0,13,13,1,1,1,1,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2,,,
101,15,51.0,13,14,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,15,51.0,13,15,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
101,17,13.0,2,13,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
101,17,13.0,2,14,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
101,17,13.0,2,15,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
101,17,27.0,7,13,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
101,17,27.0,7,14,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
101,17,27.0,7,15,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
101,17,31.0,13,13,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,17,31.0,13,14,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,17,31.0,13,15,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
101,17,33.0,15,13,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,17,33.0,15,14,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,17,33.0,15,15,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,17,35.0,16,13,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,17,35.0,16,14,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,17,35.0,16,15,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,17,37.0,23,13,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,17,37.0,23,14,1,1,1,1,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,3,1.0,5.0,0.0
101,17,37.0,23,15,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,17,39.0,9,13,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
101,17,39.0,9,14,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,17,39.0,9,15,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,19,5.0,18,13,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,19,5.0,18,14,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,19,5.0,18,15,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
101,19,17.0,20,13,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
101,19,17.0,20,14,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
101,19,17.0,20,15,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
101,19,55.0,8,14,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,19,55.0,8,15,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,19,55.0,8,19,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,19,67.0,13,13,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,19,67.0,13,14,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,19,67.0,13,15,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,21,5.0,18,13,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
101,21,5.0,18,14,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
101,21,5.0,18,15,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5.0,0.0,
101,21,13.0,9,13,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
101,21,13.0,9,14,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
101,21,13.0,9,15,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
101,21,21.0,34,13,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,21,21.0,34,14,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
101,21,21.0,34,15,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,21,23.0,13,15,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
101,21,23.0,13,19,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,21,23.0,13,20,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
101,21,27.0,8,13,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
101,21,27.0,8,15,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
101,21,27.0,8,19,1,1,2,2,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,,,
101,21,31.0,15,14,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,21,31.0,15,15,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
101,21,31.0,15,20,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,23,23.0,38,13,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
101,23,23.0,38,14,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
101,23,23.0,38,15,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
101,23,47.0,15,13,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
101,23,47.0,15,14,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
101,23,47.0,15,15,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
103,1,1.0,9,13,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
103,1,1.0,9,14,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
103,1,1.0,9,19,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
