tinh,huyen,xa,diaban,hoso,thunhap,thubq,chitieu,chids,chibq,chidsbq
101,9,31.0,10,13,96692.0,2014.0,94842.9,80177.9,1975.9,1670.4
101,9,31.0,10,14,93666.0,2602.0,71132.5,68297.5,1975.9,1897.2
101,9,31.0,10,15,69377.0,2891.0,53490.4,41095.4,2228.8,1712.3000000000002
101,9,33.0,10,19,70676.0,2945.0,66514.3,62264.3,2771.4,2594.3
101,9,33.0,10,20,49960.0,1388.0,45550.6,41400.6,1265.3000000000002,1150.0
101,9,33.0,10,24,60250.0,1674.0,55893.4,52243.4,1552.6000000000001,1451.2
101,9,35.0,24,13,75961.0,1583.0,71997.9,68982.9,1500.0,1437.1000000000001
101,9,35.0,24,14,16633.092,1386.0,15130.5,14160.5,1260.9,1180.0
101,9,35.0,24,20,63036.0,1313.0,65459.2,62059.2,1363.7,1292.9
101,9,39.0,17,19,62736.0,1046.0,64532.4,63112.4,1075.5,1051.9
101,9,39.0,17,20,90743.0,1260.0,76356.3,74586.3,1060.5,1035.9
101,9,39.0,17,24,70551.0,1960.0,45262.7,43862.7,1257.3000000000002,1218.4
101,11,1.0,10,13,72850.0,2024.0,76431.0,72781.0,2123.1,2021.7
101,11,1.0,10,14,79894.0,1664.0,80368.2,75618.2,1674.3000000000002,1575.4
101,11,1.0,10,15,73861.0,1539.0,75624.1,73024.1,1575.5,1521.3000000000002
101,11,3.0,17,13,198924.0,5526.0,184572.6,172292.6,5127.0,4785.900000000001
101,11,3.0,17,15,337853.0,7039.0,237103.7,203183.7,4939.700000000001,4233.0
101,11,3.0,17,24,136807.0,2280.0,89589.5,80589.5,1493.2,1343.2
101,11,5.0,24,14,97718.0,1629.0,94764.7,86064.7,1579.4,1434.4
101,11,5.0,24,15,53158.0,2215.0,55580.3,51430.3,2315.8,2142.9
101,11,5.0,24,19,96254.0,1337.0,100375.3,88755.3,1394.1000000000001,1232.7
101,11,17.0,33,13,60469.0,1260.0,78412.6,73662.6,1633.6000000000001,1534.6000000000001
101,11,17.0,33,14,117098.0,2440.0,113935.4,103685.4,2373.7000000000003,2160.1
101,11,17.0,33,15,64300.0,2679.0,53824.1,39774.1,2242.7000000000003,1657.3000000000002
101,11,21.0,9,13,60987.0,5082.0,57097.1,50497.1,4758.1,4208.1
101,11,21.0,9,14,54292.0,1131.0,54721.4,51821.4,1140.0,1079.6000000000001
101,11,21.0,9,15,111134.0,2315.0,84720.0,80820.0,1765.0,1683.8000000000002
101,13,1.0,13,13,103185.0,2150.0,132133.0,62647.0,2752.8,1305.1000000000001
101,13,1.0,13,14,118590.0,4941.0,97110.7,87423.7,4046.3,3642.7000000000003
101,13,1.0,13,20,98971.0,4124.0,98865.1,85417.1,4119.400000000001,3559.0
101,13,5.0,19,13,58714.0,2446.0,54990.3,49840.3,2291.3,2076.7000000000003
101,13,5.0,19,15,54686.0,1139.0,55328.2,48908.0,1152.7,1018.9000000000001
101,13,5.0,19,20,109943.0,2290.0,113139.0,90839.0,2357.1,1892.5
101,13,7.0,15,14,172304.0,4786.0,107144.0,73399.0,2976.2000000000003,2038.9
101,13,7.0,15,19,43177.0,1799.0,47587.1,25755.1,1982.8000000000002,1073.1000000000001
101,13,7.0,15,24,160902.0,3352.0,124992.3,116089.3,2604.0,2418.5
101,13,13.0,10,13,96221.0,2005.0,72259.5,67264.5,1505.4,1401.3000000000002
101,13,13.0,10,14,419582.0,4371.0,210397.3,194447.3,2191.6,2025.5
101,13,13.0,10,15,348946.0,4846.0,198938.9,117508.9,2763.0,1632.1000000000001
101,15,3.0,3,13,43260.0,1202.0,38974.6,37159.6,1082.6000000000001,1032.2
101,15,3.0,3,14,11496.0,958.0,12299.8,10299.8,1025.0,858.3000000000001
101,15,3.0,3,15,31429.0,1310.0,23680.2,20230.2,986.7,842.9000000000001
101,15,9.0,11,14,25443.0,353.0,27562.0,26731.0,382.8,371.3
101,15,9.0,11,15,29355.0,489.0,33719.2,32459.2,562.0,541.0
101,15,9.0,11,20,19422.0,324.0,29100.5,28215.5,485.0,470.3
101,15,19.0,13,13,99648.0,1384.0,55582.5,50862.5,772.0,706.4000000000001
101,15,19.0,13,19,16504.0,344.0,26358.0,25283.0,549.1,526.7
101,15,19.0,13,20,24731.0,412.0,38079.9,36569.9,634.7,609.5
101,15,33.0,15,14,33040.0,688.0,20319.3,20132.3,423.3,419.40000000000003
101,15,33.0,15,20,15077.0,314.0,24244.9,24107.9,505.1,502.20000000000005
101,15,33.0,15,24,9770.0,814.0,5305.6,5218.6,442.1,434.90000000000003
101,15,39.0,12,13,4329.0,361.0,5262.4,4932.4,438.5,411.0
101,15,39.0,12,14,26820.0,559.0,27907.3,26217.3,581.4,546.2
101,15,39.0,12,15,22931.0,382.0,22907.1,22179.1,381.8,369.70000000000005
101,15,51.0,13,13,16755.0,465.0,14554.4,14190.4,404.3,394.20000000000005
101,15,51.0,13,14,44480.0,1236.0,22172.8,21689.8,615.9000000000001,602.5
101,15,51.0,13,15,123200.0,2567.0,69033.1,65823.1,1438.2,1371.3000000000002
101,17,13.0,2,13,26876.0,448.0,32583.8,30803.5,543.1,513.4
101,17,13.0,2,14,21893.0,456.0,24044.4,21794.4,500.90000000000003,454.1
101,17,13.0,2,15,34789.0,725.0,38409.9,35209.9,800.2,733.5
101,17,27.0,7,13,85820.0,1430.0,42960.3,41460.3,716.0,691.0
101,17,27.0,7,14,44021.0,917.0,51965.4,33855.4,1082.6000000000001,705.3000000000001
101,17,27.0,7,15,48265.0,804.0,47451.3,44701.3,790.9000000000001,745.0
101,17,31.0,13,13,44296.0,738.0,31820.5,29530.5,530.3000000000001,492.20000000000005
101,17,31.0,13,14,26407.0,734.0,40848.0,16768.0,1134.7,465.8
101,17,31.0,13,15,173824.0,1207.0,78644.9,73114.9,546.1,507.70000000000005
101,17,33.0,15,13,27245.0,1135.0,26276.1,24696.1,1094.8,1029.0
101,17,33.0,15,14,75437.0,1572.0,55924.8,50244.8,1165.1000000000001,1046.8
101,17,33.0,15,15,37319.0,777.0,28216.5,26636.5,587.8000000000001,554.9
101,17,35.0,16,13,84520.0,1409.0,39853.2,36453.2,664.2,607.6
101,17,35.0,16,14,122362.0,2039.0,104736.8,97436.8,1745.6000000000001,1623.9
101,17,35.0,16,15,98645.0,2055.0,46044.4,41444.4,959.3000000000001,863.4000000000001
101,17,37.0,23,13,40600.0,846.0,39188.1,37018.1,816.4000000000001,771.2
101,17,37.0,23,14,22181.0,462.0,14966.2,12533.2,311.8,261.1
101,17,37.0,23,15,39453.0,658.0,33253.2,28658.2,554.2,477.6
101,17,39.0,9,13,210429.0,2923.0,158583.2,142783.2,2202.5,1983.1000000000001
101,17,39.0,9,14,69952.0,1457.0,52025.5,50625.5,1083.9,1054.7
101,17,39.0,9,15,51437.0,1072.0,43528.5,41528.5,906.8000000000001,865.2
101,19,5.0,18,13,25735.0,1072.0,30405.9,29435.9,1266.9,1226.5
101,19,5.0,18,14,135990.0,2833.0,73645.3,68595.3,1534.3000000000002,1429.1000000000001
101,19,5.0,18,15,62841.0,1746.0,52915.2,48715.2,1469.9,1353.2
101,19,17.0,20,13,59519.0,992.0,51475.8,46813.8,857.9000000000001,780.2
101,19,17.0,20,14,32384.0,675.0,25432.3,23262.3,529.8000000000001,484.6
101,19,17.0,20,15,87409.0,1457.0,89842.9,75940.9,1497.4,1265.7
101,19,55.0,8,14,5522.0,460.0,9847.7,9347.7,820.6,779.0
101,19,55.0,8,15,68762.0,955.0,91891.2,68101.2,1276.3000000000002,945.9000000000001
101,19,55.0,8,19,42654.0,889.0,54754.5,52294.5,1140.7,1089.5
101,19,67.0,13,13,52962.0,1103.0,65708.0,63668.0,1368.9,1326.4
101,19,67.0,13,14,4668.0,389.0,7914.3,6704.3,659.5,558.7
101,19,67.0,13,15,16123.0,448.0,18564.2,18044.2,515.7,501.20000000000005
101,21,5.0,18,13,43936.0,915.0,45497.1,41547.1,947.9000000000001,865.6
101,21,5.0,18,14,36392.0,1011.0,41826.4,37276.4,1161.8,1035.5
101,21,5.0,18,15,37592.0,783.0,42526.6,39176.6,886.0,816.2
101,21,13.0,9,13,297299.0,6194.0,55190.5,51960.5,1149.8,1082.5
101,21,13.0,9,14,71786.0,1496.0,48098.2,42328.2,1002.0,881.8000000000001
101,21,13.0,9,15,18744.0,1562.0,12702.699,11482.699,1058.6000000000001,956.9000000000001
101,21,21.0,34,13,40364.0,841.0,47804.0,45804.0,995.9000000000001,954.3000000000001
101,21,21.0,34,14,118030.0,1967.0,83801.9,78601.9,1396.7,1310.0
101,21,21.0,34,15,67728.0,1129.0,51056.3,47956.3,850.9000000000001,799.3000000000001
101,21,23.0,13,15,71145.0,1482.0,51148.4,49548.4,1065.6000000000001,1032.3
101,21,23.0,13,19,68401.0,1140.0,73785.7,70585.7,1229.8000000000002,1176.4
101,21,23.0,13,20,108791.0,1813.0,74814.2,72614.2,1246.9,1210.2
101,21,27.0,8,13,57775.0,802.0,63906.1,60646.1,887.6,842.3000000000001
101,21,27.0,8,15,45442.0,947.0,59215.6,57035.6,1233.7,1188.2
101,21,27.0,8,19,33420.0,696.0,41808.9,39328.9,871.0,819.4000000000001
101,21,31.0,15,14,60854.0,845.0,71619.3,68199.3,994.7,947.2
101,21,31.0,15,15,137259.0,2860.0,88911.6,77561.6,1852.3000000000002,1615.9
101,21,31.0,15,20,50834.0,1412.0,48627.598,46807.598,1350.8000000000002,1300.2
101,23,23.0,38,13,58398.0,1217.0,59879.0,54889.0,1247.5,1143.5
101,23,23.0,38,14,86449.0,1441.0,60881.0,54451.0,1014.7,907.5
101,23,23.0,38,15,27166.0,453.0,60310.6,57350.6,1005.2,955.8000000000001
101,23,47.0,15,13,30555.0,509.0,56627.0,55293.0,943.8000000000001,921.5
101,23,47.0,15,14,31647.0,440.0,46979.9,46159.9,652.5,641.1
101,23,47.0,15,15,28197.0,470.0,40563.2,38463.2,676.1,641.1
103,1,1.0,9,13,30401.0,844.0,45640.6,42760.6,1267.8000000000002,1187.8
103,1,1.0,9,14,57098.0,1190.0,66182.7,45780.7,1378.8000000000002,953.8000000000001
103,1,1.0,9,19,43558.0,1210.0,41543.5,31418.5,1154.0,872.7
103,1,7.0,25,13,265345.0,3685.0,144747.0,140547.0,2010.4,1952.0
103,1,7.0,25,15,101392.0,2112.0,89629.6,75244.6,1867.3000000000002,1567.6000000000001
103,1,7.0,25,19,23394.0,975.0,45238.5,43878.5,1884.9,1828.3000000000002
103,1,11.0,18,13,24876.0,518.0,24863.5,23573.5,518.0,491.1
103,1,11.0,18,14,83739.0,3489.0,29960.4,26710.4,1248.3000000000002,1112.9
103,1,11.0,18,15,67735.0,1129.0,39994.0,35864.0,666.6,597.7
103,1,17.0,7,14,148870.0,3101.0,71485.9,62544.9,1489.3000000000002,1303.0
103,1,17.0,7,15,86374.0,3599.0,55995.9,29305.9,2333.2000000000003,1221.1000000000001
103,1,17.0,7,19,162960.0,2263.0,93990.0,82680.0,1305.4,1148.3
103,3,1.0,27,13,25960.0,541.0,37967.3,36377.3,791.0,757.9000000000001
103,3,1.0,27,14,52116.0,1086.0,41643.3,40088.3,867.6,835.2
103,3,1.0,27,15,126891.0,3525.0,68009.3,59789.3,1889.1000000000001,1660.8000000000002
103,3,5.0,7,15,34637.0,577.0,34766.4,34666.4,579.4,577.8000000000001
103,3,5.0,7,19,150931.0,4193.0,42330.6,40760.6,1175.9,1132.2
103,3,5.0,7,20,150855.0,2095.0,41169.1,39319.1,571.8000000000001,546.1
103,3,9.0,20,13,43610.0,1211.0,44789.3,38987.3,1244.1000000000001,1083.0
103,3,9.0,20,14,86424.0,2401.0,56173.1,48121.1,1560.4,1336.7
103,3,9.0,20,15,42041.0,1168.0,33271.3,30971.3,924.2,860.3000000000001
103,3,13.0,15,13,57140.0,1190.0,64103.4,43896.4,1335.5,914.5
103,3,13.0,15,19,115586.0,3211.0,84413.2,63233.2,2344.8,1756.5
103,3,13.0,15,20,124094.0,5171.0,65236.2,48756.2,2718.2000000000003,2031.5
103,3,19.0,12,13,148574.0,3095.0,93867.3,87107.3,1955.6000000000001,1814.7
103,3,19.0,12,14,43588.0,1211.0,50833.7,46973.7,1412.0,1304.8000000000002
103,3,19.0,12,15,67746.0,1411.0,81005.4,77095.4,1687.6000000000001,1606.2
103,3,23.0,12,21,109321.0,2278.0,71615.4,66020.4,1492.0,1375.4
103,3,23.0,12,22,142810.0,2380.0,63731.7,60301.7,1062.2,1005.0
103,3,23.0,12,23,24065.0,501.0,30959.4,29199.4,645.0,608.3000000000001
103,4,3.0,8,13,43406.0,904.0,32018.4,31888.4,667.0,664.3000000000001
103,4,3.0,8,14,42328.0,882.0,45043.7,43543.7,938.4000000000001,907.2
103,4,3.0,8,19,36635.0,763.0,36545.1,34428.1,761.4000000000001,717.3000000000001
103,4,5.0,19,13,19430.0,540.0,16766.1,15826.1,465.70000000000005,439.6
103,4,5.0,19,14,18669.0,519.0,41415.5,39835.5,1150.4,1106.5
103,4,5.0,19,20,26273.0,547.0,25046.4,23736.4,521.8000000000001,494.5
103,4,11.0,28,13,26662.0,1111.0,29286.6,27611.6,1220.3,1150.5
103,4,11.0,28,14,12865.0,268.0,22108.8,21308.8,460.6,443.90000000000003
103,4,11.0,28,19,35637.0,594.0,50344.2,40084.2,839.1,668.1
103,5,7.0,18,13,27881.0,1162.0,23024.4,22324.4,959.4000000000001,930.2
103,5,7.0,18,14,46190.0,3849.0,43642.4,41867.4,3636.9,3488.9
103,5,7.0,18,15,51078.0,1064.0,34173.3,33053.3,711.9000000000001,688.6
103,5,11.0,7,13,59751.0,996.0,129093.4,126018.4,2151.6,2100.3
103,5,11.0,7,14,99088.0,4129.0,76283.4,73974.4,3178.5,3082.3
103,5,11.0,7,15,302027.0,8390.0,136672.4,131612.4,3796.5,3655.9
103,5,15.0,16,13,50054.0,1043.0,42538.2,39968.2,886.2,832.7
103,5,15.0,16,15,59601.0,2483.0,42304.6,33804.6,1762.7,1408.5
103,5,15.0,16,19,93023.0,1938.0,57976.4,54021.4,1207.8,1125.4
103,5,19.0,2,13,62138.0,1036.0,92423.9,86048.9,1540.4,1434.1000000000001
103,5,19.0,2,14,76445.0,2123.0,59633.402,42858.402,1656.5,1190.5
103,5,19.0,2,15,95950.0,1999.0,60141.0,58206.0,1252.9,1212.6000000000001
103,5,24.0,27,13,60040.0,1251.0,43811.5,42621.5,912.7,887.9000000000001
103,5,24.0,27,14,24103.0,502.0,33406.5,30606.5,696.0,637.6
103,5,24.0,27,15,169114.0,7046.0,145899.3,98664.3,6079.1,4111.0
103,5,27.0,27,14,23483.0,489.0,19356.0,18461.0,403.3,384.6
103,5,27.0,27,15,63942.0,2664.0,53261.5,32431.5,2219.2000000000003,1351.3000000000002
103,5,27.0,27,23,32254.0,538.0,38735.5,37858.5,645.6,631.0
103,7,1.0,21,13,58401.0,1217.0,27133.4,26483.4,565.3000000000001,551.7
103,7,1.0,21,15,34392.0,717.0,33426.3,31226.3,696.4000000000001,650.5
103,7,1.0,21,19,21950.0,915.0,15578.9,14328.9,649.1,597.0
103,7,7.0,3,13,48921.0,815.0,40534.0,37114.0,675.6,618.6
103,7,7.0,3,14,25634.0,534.0,35715.4,33115.4,744.1,689.9000000000001
103,7,7.0,3,15,138404.0,2883.0,76433.1,70808.1,1592.4,1475.2
103,7,13.0,18,13,26597.0,739.0,32607.2,30807.2,905.8000000000001,855.8000000000001
103,7,13.0,18,14,65381.0,1362.0,39931.0,36301.0,831.9000000000001,756.3000000000001
103,7,13.0,18,15,30094.0,502.0,26199.0,24439.0,436.6,407.3
103,9,3.0,8,13,32594.0,1358.0,16746.8,14831.8,697.8000000000001,618.0
103,9,3.0,8,14,198331.0,2361.0,56908.7,52333.7,677.5,623.0
103,9,3.0,8,15,367821.0,5109.0,73739.9,57514.9,1024.2,798.8000000000001
103,10,7.0,7,13,42667.0,889.0,42094.6,41076.6,877.0,855.8000000000001
103,10,7.0,7,14,9377.0,391.0,13953.7,13399.7,581.4,558.3000000000001
103,10,7.0,7,25,60390.0,839.0,49359.1,45574.1,685.5,633.0
103,10,39.0,1,13,53263.0,740.0,62083.9,58883.9,862.3000000000001,817.8000000000001
103,10,39.0,1,14,78017.0,1300.0,60098.0,57388.0,1001.6,956.5
103,10,39.0,1,15,83881.0,2330.0,35834.1,34214.1,995.4000000000001,950.4000000000001
103,11,5.0,13,14,56467.0,1176.0,47842.6,44546.6,996.7,928.1
