tinh,huyen,xa,m2tt,m2c9,m2c10a,m2c10b,m2c11,m2c12,m2c13a,m2c13b,m2c13c,m2c14a,m2c14b,m2c14c,m2c15
104,01,17,2,6,4,2007,1727,2,,,,,,,
104,01,17,3,7,9,2007,1727,2,,,,,,,
104,02,13,1,7,1,2008,810,1,1.0,0.0,,1.0,6.0,0.0,215195.0
104,03,11,1,1,1,2008,1038,1,1.0,0.0,,1.0,0.0,,92700.0
104,03,29,1,7,1,2008,1955,1,1.0,0.0,,1.0,0.0,,185000.0
104,03,33,1,7,1,2008,1227,1,1.0,0.0,,1.0,0.0,,116000.0
104,03,43,1,7,1,2008,1410,1,1.0,0.0,,1.0,0.0,,193369.0
104,03,53,1,4,3,2008,289,1,1.0,0.0,,1.0,0.0,,20000.0
104,03,53,2,7,1,2008,1697,1,1.0,0.0,,1.0,0.0,,182736.0
104,03,61,1,7,1,2008,1107,1,1.0,0.0,,1.0,0.0,,103000.0
104,03,69,1,7,1,2008,1648,1,1.0,0.0,,1.0,0.0,,123154.0
104,03,75,1,7,1,2008,1573,1,1.0,0.0,,1.0,0.0,,112500.0
104,05,17,1,4,12,2006,1497,1,1.0,0.0,,1.0,0.0,,32000.0
104,05,17,2,3,8,2006,1497,1,1.0,0.0,,1.0,0.0,,27000.0
104,05,29,1,4,12,2006,1524,1,1.0,0.0,,1.0,0.0,,30000.0
104,05,29,2,3,8,2006,1524,1,1.0,0.0,,1.0,0.0,,24000.0
104,05,43,1,3,8,2008,1729,2,,,,,,,
104,05,43,2,7,1,2008,1729,2,,,,,,,
104,05,43,3,4,2,2007,1726,2,,,,,,,
104,05,43,4,3,8,2007,1726,1,1.0,0.0,,1.0,0.0,,111267.0
104,05,43,5,5,5,2006,1720,2,,,,,,,
104,05,45,1,7,1,2008,1534,2,,,,,,,
104,05,45,2,3,8,2008,1534,2,,,,,,,
104,05,45,3,4,2,2007,1530,2,,,,,,,
104,05,45,4,3,8,2007,1530,1,1.0,0.0,,1.0,0.0,,93520.0
104,05,45,5,5,5,2006,1515,2,,,,,,,
104,07,03,1,7,2,2008,2000,1,1.0,0.0,,1.0,0.0,,201918.0
104,07,03,2,7,11,2006,2000,1,1.0,0.0,,1.0,0.0,,225944.0
104,07,09,1,7,2,2008,1350,1,1.0,0.0,,1.0,0.0,,130313.0
104,07,09,2,7,11,2007,1544,1,1.0,0.0,,1.0,0.0,,415000.0
104,07,19,1,7,2,2008,1500,1,1.0,0.0,,1.0,0.0,,76889.0
104,07,19,2,7,11,2006,500,2,,,,,,,
104,07,29,1,7,11,2006,2500,1,1.0,0.0,,1.0,0.0,,261132.0
104,07,47,1,6,10,2005,2,1,1.0,0.0,,1.0,0.0,,30300.0
104,07,47,2,7,11,2005,1300,1,1.0,0.0,,1.0,0.0,,460617.0
104,07,53,1,7,11,2006,1982,1,1.0,0.0,,1.0,0.0,,418684.0
104,07,53,2,7,3,2006,2113,1,1.0,0.0,,1.0,0.0,,235236.0
104,09,09,1,7,2,2008,2142,1,1.0,0.0,,1.0,0.0,,187713.0
104,09,09,2,7,11,2006,2084,1,1.0,0.0,,1.0,0.0,,634900.0
104,09,13,1,7,2,2008,3031,1,1.0,0.0,,1.0,0.0,,243000.0
104,09,13,2,7,11,2006,2987,1,1.0,0.0,,1.0,0.0,,100000.0
104,09,15,1,7,2,2008,2001,1,1.0,0.0,,1.0,0.0,,195854.0
104,09,15,2,7,11,2006,1700,1,1.0,0.0,,1.0,0.0,,183078.0
104,09,21,1,7,2,2008,1980,1,1.0,0.0,,1.0,0.0,,149300.0
104,09,27,1,7,2,2008,1289,1,1.0,0.0,,1.0,0.0,,177000.0
104,09,27,2,7,11,2006,1989,1,1.0,0.0,,1.0,0.0,,704000.0
104,09,33,1,7,2,2008,1050,1,1.0,0.0,,1.0,0.0,,30000.0
104,09,33,2,7,9,2006,250,1,1.0,0.0,,1.0,0.0,,-1.0
104,11,17,1,3,6,2007,300,1,1.0,0.0,,1.0,0.0,,5000.0
104,11,17,2,2,5,2007,1,1,1.0,0.0,,3.0,0.0,,1000.0
104,11,17,3,4,6,2007,2,1,1.0,0.0,,1.0,0.0,,1000.0
104,11,17,4,6,6,2006,200,1,1.0,0.0,,3.0,0.0,,1000.0
104,11,17,5,6,8,2006,200,2,,,,,,,
104,11,31,1,7,1,2008,1051,1,1.0,0.0,,1.0,0.0,,71000.0
105,01,23,1,2,3,2008,16,2,,,,,,,
105,01,23,2,6,8,2007,1,2,,,,,,,
105,01,29,1,6,8,2006,30,2,,,,,,,
105,03,13,1,5,5,2006,100,2,,,,,,,
105,05,15,1,4,5,2007,9,2,,,,,,,
105,05,31,1,1,5,2008,2,2,,,,,,,
105,05,35,1,6,2,2008,240,2,,,,,,,
105,05,35,2,6,5,2007,850,2,,,,,,,
105,05,43,1,5,3,2007,460,1,1.0,6.0,0.0,1.0,6.0,0.0,10000.0
105,05,59,1,5,2,2007,300,2,,,,,,,
105,07,09,1,4,11,2006,1357,1,1.0,0.0,,1.0,0.0,,154000.0
105,07,39,1,7,2,2008,2806,1,1.0,0.0,,6.0,0.0,,11000.0
105,09,13,1,6,4,2007,300,2,,,,,,,
105,09,13,2,3,7,2006,90,2,,,,,,,
105,09,23,1,4,11,2006,1525,1,1.0,0.0,,1.0,0.0,,130000.0
105,09,29,1,7,6,2006,20,2,,,,,,,
105,11,07,1,3,8,2006,1700,1,1.0,0.0,,6.0,0.0,,50000.0
105,13,11,1,2,4,2007,2,2,,,,,,,
105,13,15,1,2,11,2007,1,2,,,,,,,
105,13,15,2,6,4,2006,12,2,,,,,,,
105,13,23,1,6,10,2007,12,2,,,,,,,
105,13,23,2,5,2,2007,55,2,,,,,,,
105,19,13,1,3,5,2007,400,2,,,,,,,
105,19,39,1,1,3,2007,1,1,1.0,6.0,0.0,1.0,0.0,,10000.0
105,19,47,1,5,4,2007,300,1,1.0,0.0,,1.0,0.0,,900000.0
105,21,07,1,6,3,2006,5,2,,,,,,,
105,23,19,1,6,9,2006,9,1,1.0,0.0,,1.0,7.0,0.0,2200.0
105,23,37,1,6,6,2006,720,2,,,,,,,
105,23,45,1,3,10,2007,407,1,1.0,2.0,0.0,2.0,3.0,0.0,500808.0
105,25,33,1,7,1,2008,3047,2,,,,,,,
105,25,33,2,6,3,2006,3047,2,,,,,,,
105,27,15,1,1,11,2006,1,2,,,,,,,
105,27,53,1,6,3,2008,18,1,1.0,0.0,,3.0,0.0,,7000.0
106,01,17,1,6,7,2006,9,1,1.0,0.0,,1.0,3.0,4.0,40000.0
106,03,21,1,6,3,2006,20,1,1.0,0.0,,1.0,3.0,0.0,2750.0
106,05,37,1,6,8,2006,130,2,,,,,,,
106,05,41,1,6,8,2006,300,2,,,,,,,
106,07,29,1,6,8,2006,2,1,1.0,0.0,,1.0,3.0,0.0,35000.0
106,09,11,1,6,6,2007,2,2,,,,,,,
106,11,41,1,6,11,2005,75,1,1.0,0.0,,3.0,0.0,,375.0
107,03,07,1,3,9,2008,150,1,1.0,0.0,,1.0,2.0,0.0,560000.0
107,03,07,2,6,6,2007,50,1,1.0,0.0,,1.0,0.0,,60000.0
107,03,15,1,6,4,2007,520,1,1.0,0.0,,1.0,0.0,,10500.0
107,03,21,1,6,11,2006,850,1,1.0,0.0,,1.0,0.0,,145000.0
107,03,35,1,6,4,2007,210,1,1.0,0.0,,1.0,0.0,,12200.0
107,05,09,1,2,3,2007,54,1,1.0,0.0,,3.0,0.0,,50000.0
107,05,29,1,6,3,2006,400,1,1.0,0.0,,1.0,0.0,,12000.0
107,05,37,1,2,11,2007,128,2,,,,,,,
107,05,45,1,3,9,2008,1000,2,,,,,,,
107,07,09,1,6,10,2006,300,1,1.0,0.0,,2.0,0.0,,21000.0
107,07,15,1,6,12,2007,2528,2,,,,,,,
107,07,39,1,6,6,2006,700,2,,,,,,,
107,09,09,1,6,5,2007,250,2,,,,,,,
107,09,33,1,6,3,2006,2,1,1.0,0.0,,1.0,0.0,,11550.0
107,09,43,1,7,3,2008,1000,1,1.0,0.0,,1.0,0.0,,39000.0
107,11,13,1,6,4,2007,1816,2,,,,,,,
107,11,21,1,6,5,2007,350,2,,,,,,,
107,11,21,2,3,8,2006,120,2,,,,,,,
107,11,29,1,6,10,2007,1500,2,,,,,,,
107,11,39,1,6,5,2007,2213,2,,,,,,,
107,15,07,1,7,2,2008,1500,1,1.0,0.0,,1.0,0.0,,34500.0
107,15,25,1,2,4,2008,42,2,,,,,,,
107,15,51,1,6,2,2007,1100,2,,,,,,,
107,17,07,1,7,1,2008,1350,2,,,,,,,
107,17,29,1,3,3,2007,120,2,,,,,,,
107,19,21,1,4,5,2005,1450,1,1.0,0.0,,1.0,0.0,,71500.0
107,21,03,1,6,3,2006,58,1,1.0,0.0,,1.0,0.0,,139878.0
107,21,21,1,7,1,2008,900,1,1.0,0.0,,1.0,0.0,,6000.0
107,21,29,1,7,2,2008,1950,1,1.0,0.0,,1.0,0.0,,145000.0
107,23,09,1,7,12,2005,40,1,1.0,0.0,,1.0,0.0,,190000.0
107,23,19,1,6,3,2007,200,1,1.0,0.0,,1.0,0.0,,30000.0
107,23,31,1,7,5,2008,8,1,9.0,0.0,,3.0,0.0,,10000.0
107,23,31,2,7,12,2005,11,1,1.0,0.0,,1.0,0.0,,71000.0
107,23,39,1,6,12,2005,25,1,1.0,0.0,,1.0,0.0,,50000.0
107,23,53,1,7,2,2008,1140,1,1.0,0.0,,1.0,0.0,,70000.0
109,04,21,1,4,9,2005,650,1,1.0,0.0,,1.0,0.0,,80000.0
109,05,03,1,4,11,2005,1350,1,1.0,0.0,,1.0,0.0,,8300.0
109,05,21,1,7,11,2005,2000,1,1.0,0.0,,1.0,0.0,,437000.0
109,06,05,1,6,10,2005,120,1,1.0,0.0,,1.0,0.0,,8000.0
109,06,11,1,4,10,2005,6,1,1.0,0.0,,1.0,0.0,,1404.0
109,06,21,1,6,11,2005,1,1,1.0,0.0,,1.0,0.0,,600.0
109,06,33,1,6,2,2007,13,2,,,,,,,
109,07,03,1,4,8,2005,105,1,1.0,0.0,,1.0,0.0,,75800.0
109,13,03,1,6,10,2005,40,1,1.0,0.0,,1.0,3.0,0.0,20150.0
109,13,03,2,6,8,2005,15,1,4.0,0.0,,1.0,6.0,0.0,16700.0
111,01,11,1,5,2,2007,492,2,,,,,,,
111,01,11,2,6,9,2007,204,2,,,,,,,
111,01,13,1,5,3,2007,518,1,1.0,4.0,2.0,6.0,1.0,2.0,78000.0
111,01,13,2,6,10,2006,142,1,1.0,4.0,2.0,1.0,6.0,2.0,36500.0
111,01,19,1,5,2,2007,743,2,,,,,,,
111,01,19,2,6,9,2007,514,2,,,,,,,
111,07,29,1,6,5,2006,5,2,,,,,,,
111,09,09,1,6,2,2007,465,1,1.0,0.0,,1.0,3.0,0.0,6240.0
113,01,31,1,2,7,2008,5,1,2.0,0.0,,1.0,3.0,0.0,1600.0
113,03,19,1,7,1,2008,1500,2,,,,,,,
113,03,25,1,6,4,2008,-1,1,1.0,0.0,,1.0,0.0,,-1.0
113,03,33,1,7,1,2008,3650,2,,,,,,,
113,05,03,1,6,4,2008,50,2,,,,,,,
113,05,03,2,7,12,2007,100,2,,,,,,,
113,05,03,3,6,11,2007,20,2,,,,,,,
113,05,03,4,4,6,2006,50,2,,,,,,,
113,07,05,1,4,7,2005,1202,1,1.0,0.0,,1.0,0.0,,47000.0
113,07,15,1,4,6,2005,5,2,,,,,,,
113,07,23,1,6,5,2008,34,1,1.0,0.0,,1.0,0.0,,147000.0
113,07,23,2,4,7,2005,1535,1,1.0,0.0,,1.0,0.0,,32000.0
113,07,31,1,4,7,2005,1917,1,1.0,0.0,,1.0,0.0,,84000.0
113,07,41,1,6,5,2008,35,2,,,,,,,
113,07,41,2,6,6,2007,110,2,,,,,,,
113,07,41,3,4,5,2005,1135,1,1.0,0.0,,1.0,0.0,,58750.0
113,07,47,1,4,9,2005,215,2,,,,,,,
113,07,53,1,3,9,2005,2881,1,1.0,0.0,,1.0,0.0,,40000.0
113,07,53,2,6,5,2005,470,2,,,,,,,
113,07,59,1,4,8,2005,2391,1,1.0,0.0,,1.0,0.0,,-1.0
113,09,07,1,7,1,2008,2800,2,,,,,,,
113,09,07,2,6,5,2007,15,1,1.0,0.0,,1.0,0.0,,3800.0
113,09,13,1,6,4,2007,-1,2,,,,,,,
113,09,19,1,4,7,2005,2800,1,1.0,0.0,,1.0,6.0,0.0,28200.0
113,09,29,1,3,10,2005,3013,1,1.0,0.0,,1.0,0.0,,152.0
113,13,01,1,4,7,2005,1582,2,,,,,,,
113,13,01,2,3,6,2005,1550,2,,,,,,,
113,13,15,1,3,6,2005,2250,2,,,,,,,
113,13,15,2,4,7,2005,2300,2,,,,,,,
113,13,23,1,6,5,2008,500,2,,,,,,,
113,13,23,2,4,7,2005,1550,2,,,,,,,
113,13,23,3,3,6,2005,1200,1,1.0,0.0,,1.0,0.0,,500.0
113,13,33,1,6,10,2007,1890,2,,,,,,,
113,13,33,2,4,9,2005,2222,1,1.0,4.0,0.0,1.0,2.0,4.0,90000.0
113,13,39,1,6,10,2007,1800,2,,,,,,,
113,13,39,2,4,9,2005,2000,2,,,,,,,
113,15,23,1,4,9,2005,3000,1,1.0,4.0,0.0,1.0,2.0,0.0,98000.0
113,15,23,2,4,7,2005,600,2,,,,,,,
113,17,07,1,1,5,2008,1,2,,,,,,,
113,17,07,2,3,9,2007,1,2,,,,,,,
113,17,13,1,6,6,2008,2120,2,,,,,,,
113,17,25,1,4,4,2008,2135,2,,,,,,,
113,17,25,2,6,5,2008,2135,2,,,,,,,
113,17,31,1,6,5,2008,1500,2,,,,,,,
113,17,31,2,4,4,2008,1500,2,,,,,,,
115,01,23,1,6,2,2008,50,2,,,,,,,
115,03,03,1,6,2,2007,1003,1,1.0,0.0,,3.0,1.0,5.0,15000.0
115,03,09,1,3,7,2008,2727,1,1.0,0.0,,1.0,0.0,,18572.0
115,03,09,2,6,2,2008,5,1,1.0,0.0,,1.0,0.0,,-1.0
115,03,15,1,7,2,2008,1632,1,1.0,0.0,,1.0,0.0,,116000.0
115,03,27,1,5,2,2008,1157,1,1.0,0.0,,1.0,0.0,,107000.0
115,03,31,1,7,2,2008,2300,1,1.0,0.0,,1.0,0.0,,-1.0
115,03,31,2,6,3,2007,1800,1,1.0,0.0,,1.0,0.0,,-1.0
115,03,31,3,4,8,2006,2316,2,,,,,,,
115,03,31,4,3,8,2006,2316,2,,,,,,,
115,03,33,1,5,1,2008,795,1,1.0,0.0,,1.0,0.0,,144073.0
115,03,45,1,2,2,2008,1105,1,1.0,0.0,,1.0,0.0,,-1.0
115,03,51,1,6,5,2008,1209,2,,,,,,,
115,03,51,2,2,2,2008,1209,1,1.0,0.0,,1.0,0.0,,42120.0
115,03,51,3,6,4,2007,1209,2,,,,,,,
115,03,71,1,5,1,2008,1420,1,1.0,0.0,,1.0,0.0,,53616.0
115,03,71,2,6,8,2007,80,1,7.0,0.0,,7.0,0.0,,3586.0
115,03,71,3,6,4,2006,65,1,7.0,0.0,,7.0,0.0,,3000.0
115,05,07,1,4,9,2006,8,1,7.0,0.0,,1.0,0.0,,50000.0
115,05,27,1,4,6,2007,72,1,1.0,0.0,,1.0,0.0,,22000.0
115,05,35,1,6,4,2006,5,1,1.0,0.0,,1.0,0.0,,5000.0
115,05,53,1,3,6,2007,1207,2,,,,,,,
115,05,53,2,6,4,2006,701,2,,,,,,,
115,05,65,1,3,8,2008,2230,2,,,,,,,
115,05,65,2,7,2,2008,2250,1,1.0,0.0,,1.0,0.0,,156000.0
115,05,65,3,6,2,2008,1950,1,1.0,0.0,,1.0,0.0,,9500.0
115,07,13,1,6,5,2008,1500,2,,,,,,,
115,07,13,2,7,1,2008,1500,2,,,,,,,
115,07,19,1,7,1,2008,1483,1,1.0,0.0,,1.0,0.0,,56600.0
115,07,19,2,3,9,2007,1185,2,,,,,,,
115,07,19,3,6,4,2007,1100,2,,,,,,,
115,07,19,4,3,10,2006,850,1,1.0,0.0,,1.0,6.0,0.0,35000.0
115,07,41,1,7,3,2008,-1,1,1.0,0.0,,1.0,0.0,,40000.0
115,07,41,2,6,10,2007,-1,2,,,,,,,
115,07,47,1,3,5,2008,1220,2,,,,,,,
115,07,47,2,3,8,2007,1220,2,,,,,,,
115,07,47,3,3,4,2007,1220,2,,,,,,,
115,07,47,4,3,9,2006,1220,2,,,,,,,
115,07,51,1,3,7,2005,651,2,,,,,,,
115,07,59,1,6,7,2008,1115,1,1.0,0.0,,1.0,0.0,,64000.0
115,07,59,2,6,12,2007,3,1,1.0,0.0,,1.0,0.0,,43600.0
115,07,59,3,3,10,2007,1115,1,1.0,0.0,,1.0,0.0,,17500.0
115,07,67,1,7,2,2008,1100,1,1.0,0.0,,1.0,0.0,,89180.0
115,07,67,2,4,11,2006,40,2,,,,,,,
115,07,67,3,3,10,2005,600,2,,,,,,,
115,07,67,4,3,7,2005,500,1,1.0,0.0,,2.0,0.0,,7000.0
115,07,71,1,7,9,2007,1700,1,1.0,0.0,,1.0,0.0,,162000.0
115,07,95,1,3,8,2005,360,1,7.0,0.0,,1.0,0.0,,12000.0
115,09,11,1,6,2,2008,200,2,,,,,,,
115,09,11,2,7,2,2008,2785,2,,,,,,,
115,09,11,3,6,5,2007,600,2,,,,,,,
115,09,17,1,6,5,2008,200,1,1.0,0.0,,1.0,0.0,,3000.0
115,09,21,1,6,11,2005,50,2,,,,,,,
115,09,33,1,6,6,2008,250,2,,,,,,,
115,09,33,2,2,4,2008,2,2,,,,,,,
115,09,33,3,7,2,2008,2020,1,1.0,0.0,,1.0,6.0,0.0,10000.0
115,09,53,1,6,9,2006,21,1,1.0,0.0,,1.0,0.0,,4158.0
115,09,55,1,7,1,2008,1400,2,,,,,,,
115,09,55,2,7,10,2005,1400,2,,,,,,,
115,09,83,1,7,1,2007,1196,1,1.0,4.0,5.0,1.0,0.0,,15000.0
115,09,83,2,6,3,2006,200,1,1.0,4.0,5.0,1.0,0.0,,4000.0
115,09,83,3,4,7,2005,1196,1,1.0,4.0,5.0,1.0,0.0,,20000.0
115,09,83,4,7,6,2005,50,1,1.0,4.0,5.0,1.0,0.0,,10000.0
115,09,85,1,7,2,2008,1370,1,1.0,0.0,,1.0,0.0,,120511.0
115,11,05,1,6,5,2008,112,1,1.0,0.0,,1.0,3.0,0.0,60000.0
115,11,05,2,3,9,2007,715,1,1.0,0.0,,1.0,3.0,6.0,39000.0
115,11,05,3,3,8,2006,517,1,1.0,0.0,,1.0,3.0,6.0,45000.0
115,11,13,1,6,5,2008,385,1,1.0,0.0,,1.0,0.0,,1737.0
115,11,13,2,6,8,2006,60,1,1.0,0.0,,1.0,0.0,,300.0
115,11,17,1,6,6,2007,140,1,1.0,0.0,,1.0,0.0,,1400.0
115,11,17,2,4,7,2006,60,2,,,,,,,
115,11,19,1,6,4,2008,14,1,1.0,0.0,,1.0,0.0,,20000.0
115,11,35,1,6,4,2008,14,1,1.0,0.0,,1.0,0.0,,54000.0
115,11,43,1,6,11,2007,350,2,,,,,,,
115,11,43,2,4,5,2007,170,1,1.0,0.0,,1.0,0.0,,30000.0
115,11,45,1,6,2,2008,2000,2,,,,,,,
115,11,45,2,6,9,2007,2000,2,,,,,,,
115,11,45,3,3,9,2006,2600,2,,,,,,,
115,11,61,1,6,10,2007,2326,1,1.0,0.0,,1.0,0.0,,27000.0
115,11,61,2,6,6,2006,2326,2,,,,,,,
115,11,61,3,3,6,2005,2465,2,,,,,,,
115,13,03,1,3,11,2007,0,2,,,,,,,
115,13,03,2,7,6,2007,0,2,,,,,,,
115,13,09,1,6,6,2008,0,2,,,,,,,
115,13,09,2,5,4,2007,0,2,,,,,,,
115,13,17,1,6,6,2008,1130,2,,,,,,,
115,13,17,2,3,6,2007,1800,2,,,,,,,
115,13,17,3,3,9,2006,1500,2,,,,,,,
115,13,33,1,6,4,2008,800,2,,,,,,,
115,13,33,2,7,1,2008,940,1,1.0,0.0,,1.0,0.0,,60000.0
115,13,43,1,3,2,2008,1853,1,1.0,0.0,,1.0,0.0,,97220.0
115,13,57,1,6,4,2008,100,2,,,,,,,
115,13,57,2,3,3,2007,100,2,,,,,,,
115,13,75,1,5,2,2008,2150,1,1.0,0.0,,1.0,0.0,,-1.0
115,13,75,2,2,5,2008,80,2,,,,,,,
115,13,79,1,3,10,2005,350,2,,,,,,,
115,15,21,1,4,10,2006,16,2,,,,,,,
115,15,29,1,3,2,2008,2144,1,1.0,0.0,,1.0,0.0,,-1.0
115,15,29,2,6,8,2007,3,2,,,,,,,
115,15,29,3,4,6,2006,18,2,,,,,,,
115,15,39,1,3,10,2006,1650,2,,,,,,,
115,15,67,1,6,5,2008,2780,1,1.0,0.0,,1.0,0.0,,117000.0
117,01,25,1,2,5,2008,6,1,1.0,0.0,,3.0,0.0,,7.0
117,01,25,2,6,3,2008,14,1,1.0,0.0,,1.0,3.0,0.0,52.0
117,01,25,3,7,2,2008,30,1,1.0,0.0,,1.0,6.0,0.0,43.0
117,01,25,4,3,11,2007,10,1,1.0,0.0,,6.0,0.0,,92.0
117,01,25,5,4,11,2007,50,2,,,,,,,
117,03,09,1,6,3,2008,800,1,1.0,0.0,,7.0,0.0,,6000.0
117,03,09,2,3,10,2007,765,1,1.0,2.0,0.0,1.0,6.0,0.0,33892.0
117,05,07,1,7,2,2008,2184,1,1.0,0.0,,1.0,0.0,,42000.0
117,05,07,2,3,10,2007,2184,1,1.0,5.0,4.0,2.0,3.0,0.0,834000.0
117,05,15,1,7,2,2008,1264,1,1.0,0.0,,1.0,0.0,,70000.0
117,05,15,2,6,5,2007,20,1,1.0,0.0,,1.0,3.0,0.0,50000.0
