tinh,huyen,xa,diaban,hoso,matv,m3c7,m3c8a,m3c8b,m3c9,m3c10a,m3c10b,m3c11a,m3c11b,m3c12a,m3c12b,m3c13a,m3c13b,m3c14,m3c15
101,6,21.0,13,15,,,,,,,,,,,,,,,
101,6,25.0,5,13,,,,,,,,,,,,,,,
101,6,25.0,5,14,,,,,,,,,,,,,,,
101,6,25.0,5,15,,,,,,,,,,,,,,,
101,6,27.0,5,13,,,,,,,,,,,,,,,
101,6,27.0,5,14,,,,,,,,,,,,,,,
101,6,27.0,5,15,,,,,,,,,,,,,,,
101,7,3.0,19,13,,,,,,,,,,,,,,,
101,7,3.0,19,14,,,,,,,,,,,,,,,
101,7,3.0,19,15,,,,,,,,,,,,,,,
101,7,11.0,15,13,1.0,M·o,1.0,6.0,4.0,4.0,7000.0,4.0,5000.0,0.0,,,,1.0,
101,7,11.0,15,13,5.0,§¨ng,1.0,6.0,4.0,1.0,5000.0,1.0,700.0,0.0,,,,1.0,
101,7,11.0,15,14,,,,,,,,,,,,,,,
101,7,11.0,15,15,2.0,Mü,1.0,6.0,4.0,0.0,,,,1.0,2000.0,1.0,900.0,1.0,
101,7,11.0,15,15,2.0,Mü,2.0,7.0,4.0,0.0,,,,1.0,1800.0,1.0,800.0,1.0,
101,7,15.0,13,15,,,,,,,,,,,,,,,
101,7,15.0,13,19,2.0,khÕ,1.0,6.0,4.0,0.0,,,,1.0,1000.0,1.0,1000.0,1.0,
101,7,15.0,13,20,,,,,,,,,,,,,,,
101,7,19.0,25,13,2.0,Trung',1.0,5.0,3.0,6.0,2200.0,6.0,1500.0,0.0,,,,1.0,
101,7,19.0,25,13,1.0,Tr­êng,1.0,6.0,3.0,4.0,4300.0,0.0,,0.0,,,,1.0,
101,7,19.0,25,15,1.0,Nga,1.0,5.0,3.0,3.0,800.0,2.0,400.0,0.0,,,,1.0,
101,7,19.0,25,20,2.0,M­êi,1.0,5.0,3.0,1.0,340.0,1.0,120.0,0.0,,,,1.0,
101,7,19.0,25,20,4.0,An,2.0,10.0,3.0,6.0,6000.0,0.0,,0.0,,,,1.0,
101,7,19.0,25,20,6.0,HuyÒn,1.0,6.0,3.0,1.0,520.0,,,0.0,,,,1.0,
101,7,19.0,25,20,4.0,An,1.0,6.0,4.0,2.0,450.0,0.0,,0.0,,,,1.0,
101,7,19.0,25,20,7.0,Ngäc,1.0,5.0,3.0,3.0,2000.0,3.0,1000.0,0.0,,,,1.0,
101,7,19.0,25,20,1.0,Chi,1.0,6.0,4.0,1.0,270.0,,,0.0,,,,1.0,
101,7,21.0,16,13,3.0,trang,1.0,5.0,4.0,3.0,1400.0,1.0,15.0,0.0,,,,1.0,
101,7,21.0,16,13,2.0,nga,1.0,5.0,4.0,1.0,500.0,,,0.0,,,,1.0,
101,7,21.0,16,15,2.0,träng,1.0,6.0,4.0,6.0,8000.0,,,0.0,,,,1.0,
101,7,21.0,16,15,3.0,t©m,1.0,3.0,4.0,3.0,900.0,3.0,100.0,0.0,,,,1.0,
101,7,21.0,16,15,1.0,cõ,1.0,5.0,4.0,10.0,1200.0,10.0,500.0,0.0,,,,1.0,
101,7,21.0,16,15,2.0,träng,2.0,10.0,4.0,4.0,4900.0,,,0.0,,,,1.0,
101,7,21.0,16,20,,,,,,,,,,,,,,,
101,7,27.0,3,13,,,,,,,,,,,,,,,
101,7,27.0,3,14,,,,,,,,,,,,,,,
101,7,27.0,3,15,,,,,,,,,,,,,,,
101,7,33.0,21,15,,,,,,,,,,,,,,,
101,7,33.0,21,20,4.0,Long,1.0,6.0,4.0,0.0,,,,1.0,3500.0,1.0,3500.0,1.0,
101,7,33.0,21,24,3.0,Giang,1.0,5.0,4.0,0.0,,,,1.0,500.0,1.0,500.0,1.0,
101,7,37.0,15,13,2.0,C­,1.0,6.0,3.0,2.0,1650.0,2.0,80.0,0.0,,,,1.0,
101,7,37.0,15,14,1.0,Thanh,1.0,6.0,4.0,4.0,1290.0,3.0,120.0,0.0,,,,1.0,
101,7,37.0,15,14,2.0,Loan,1.0,6.0,4.0,5.0,2300.0,5.0,200.0,0.0,,,,1.0,
101,7,37.0,15,15,1.0,NghÜa,1.0,6.0,4.0,3.0,450.0,3.0,120.0,0.0,,,,1.0,
101,8,3.0,7,13,,,,,,,,,,,,,,,
101,8,3.0,7,14,2.0,Xu©n,1.0,5.0,3.0,1.0,0.0,1.0,0.0,0.0,,,,1.0,
101,8,3.0,7,15,3.0,Tïng,1.0,7.0,3.0,1.0,0.0,0.0,,0.0,,,,1.0,
101,8,3.0,7,15,2.0,Mai,1.0,12.0,3.0,1.0,25.0,0.0,,0.0,,,,1.0,
101,8,5.0,16,13,4.0,Ch©u,1.0,6.0,3.0,4.0,260.0,3.0,220.0,0.0,,,,1.0,
101,8,5.0,16,13,3.0,Huy,1.0,2.0,1.0,4.0,550.0,0.0,,0.0,,,,1.0,
101,8,5.0,16,13,2.0,Ph­¬ng,2.0,6.0,2.0,0.0,,,,1.0,1850.0,0.0,,1.0,
101,8,5.0,16,13,2.0,Ph­¬ng,1.0,6.0,1.0,2.0,60.0,0.0,,0.0,,,,1.0,
101,8,5.0,16,14,2.0,T©m,2.0,10.0,4.0,2.0,500.0,0.0,,0.0,,,,1.0,
101,8,5.0,16,14,2.0,T©m,1.0,6.0,3.0,3.0,800.0,0.0,,0.0,,,,1.0,
101,8,5.0,16,14,4.0,S¬n,1.0,6.0,4.0,4.0,800.0,0.0,,1.0,1500.0,0.0,,1.0,
101,8,5.0,16,14,1.0,C­êng,1.0,7.0,3.0,1.0,0.0,1.0,0.0,0.0,,,,1.0,
101,8,5.0,16,14,3.0,B¸ch,1.0,6.0,3.0,3.0,1350.0,0.0,,0.0,,,,1.0,
101,8,5.0,16,15,2.0,BÝch,1.0,5.0,4.0,1.0,4150.0,1.0,0.0,1.0,1250.0,1.0,0.0,1.0,
101,8,5.0,16,15,5.0,Minh,1.0,6.0,4.0,2.0,60.0,2.0,0.0,0.0,,,,1.0,
101,8,7.0,18,14,,,,,,,,,,,,,,,
101,8,7.0,18,19,,,,,,,,,,,,,,,
101,8,7.0,18,20,4.0,Th¶o,1.0,2.0,4.0,4.0,200.0,,,0.0,,,,1.0,
101,8,15.0,27,14,,,,,,,,,,,,,,,
101,8,15.0,27,15,2.0,lan,1.0,5.0,4.0,2.0,700.0,,,0.0,,,,1.0,
101,8,15.0,27,15,2.0,lan,2.0,6.0,4.0,2.0,800.0,,,0.0,,,,1.0,
101,8,15.0,27,20,2.0,lîi,1.0,3.0,4.0,3.0,700.0,3.0,300.0,0.0,,,,1.0,
101,8,15.0,27,20,2.0,lîi,2.0,6.0,4.0,1.0,400.0,1.0,250.0,0.0,,,,1.0,
101,8,15.0,27,20,1.0,kh«i,2.0,6.0,4.0,2.0,700.0,2.0,450.0,0.0,,,,1.0,
101,8,15.0,27,20,1.0,kh«i,1.0,3.0,4.0,2.0,500.0,2.0,300.0,0.0,,,,1.0,
101,8,19.0,22,14,,,,,,,,,,,,,,,
101,8,19.0,22,15,,,,,,,,,,,,,,,
101,8,19.0,22,20,3.0,niÖm,1.0,10.0,4.0,1.0,500.0,1.0,100.0,0.0,,,,1.0,
101,8,25.0,6,14,3.0,duyªn,1.0,5.0,3.0,4.0,500.0,1.0,0.0,0.0,,,,1.0,
101,8,25.0,6,14,3.0,duyªn,2.0,3.0,3.0,3.0,3500.0,0.0,,0.0,,,,1.0,
101,8,25.0,6,15,2.0,hµ,1.0,6.0,3.0,1.0,450.0,1.0,300.0,0.0,,,,1.0,
101,8,25.0,6,15,2.0,hµ,2.0,6.0,1.0,3.0,200.0,0.0,,0.0,,,,1.0,
101,8,25.0,6,19,3.0,phong,1.0,5.0,3.0,10.0,600.0,0.0,,0.0,,,,1.0,
101,8,27.0,16,13,7.0,B¸ch,1.0,2.0,1.0,4.0,70.0,0.0,,0.0,,,,1.0,
101,8,27.0,16,13,7.0,B¸ch,2.0,6.0,3.0,1.0,170.0,1.0,20.0,0.0,,,,1.0,
101,8,27.0,16,13,3.0,HiÒn,1.0,12.0,4.0,1.0,300.0,,,0.0,,,,1.0,
101,8,27.0,16,13,2.0,H¶i,1.0,8.0,3.0,1.0,530.0,0.0,,0.0,,,,1.0,
101,8,27.0,16,14,1.0,Hïng,1.0,6.0,3.0,2.0,65.0,2.0,40.0,0.0,,,,1.0,
101,8,27.0,16,15,1.0,Bét,1.0,2.0,3.0,1.0,0.0,,,0.0,,,,1.0,
101,9,3.0,23,13,,,,,,,,,,,,,,,
101,9,3.0,23,14,,,,,,,,,,,,,,,
101,9,3.0,23,15,,,,,,,,,,,,,,,
101,9,5.0,8,14,1.0,khoa,1.0,5.0,3.0,2.0,200.0,2.0,200.0,0.0,,,,1.0,
101,9,5.0,8,15,,,,,,,,,,,,,,,
101,9,5.0,8,24,,,,,,,,,,,,,,,
101,9,11.0,35,13,,,,,,,,,,,,,,,
101,9,11.0,35,14,1.0,Lý,1.0,3.0,4.0,1.0,150.0,1.0,0.0,0.0,,,,1.0,
101,9,11.0,35,14,2.0,§oµn,1.0,5.0,4.0,1.0,200.0,1.0,0.0,0.0,,,,1.0,
101,9,11.0,35,20,,,,,,,,,,,,,,,
101,9,15.0,15,13,2.0,Liªn,1.0,5.0,4.0,1.0,70.0,1.0,50.0,0.0,,,,1.0,
101,9,15.0,15,13,1.0,Th­ng,1.0,5.0,4.0,4.0,350.0,4.0,216.0,0.0,,,,1.0,
101,9,15.0,15,15,4.0,Anh,1.0,8.0,4.0,3.0,240.0,0.0,,0.0,,,,1.0,
101,9,15.0,15,19,3.0,Thµnh,1.0,10.0,4.0,2.0,150.0,0.0,,0.0,,,,1.0,
101,9,19.0,26,13,1.0,®¶m,1.0,5.0,4.0,2.0,1000.0,0.0,,1.0,5000.0,1.0,4000.0,1.0,
101,9,19.0,26,14,,,,,,,,,,,,,,,
101,9,19.0,26,15,1.0,nguyÖt,1.0,5.0,4.0,2.0,100.0,2.0,100.0,0.0,,,,1.0,
101,9,23.0,11,14,1.0,Thôc,1.0,4.0,4.0,1.0,500.0,1.0,0.0,0.0,,,,1.0,
101,9,23.0,11,15,,,,,,,,,,,,,,,
101,9,23.0,11,24,,,,,,,,,,,,,,,
101,9,31.0,10,13,2.0,YÕn,1.0,4.0,3.0,2.0,150.0,2.0,130.0,0.0,,,,1.0,
101,9,31.0,10,13,1.0,BÝnh,1.0,4.0,3.0,3.0,250.0,3.0,220.0,0.0,,,,1.0,
101,9,31.0,10,13,2.0,YÕn,2.0,5.0,4.0,5.0,1050.0,5.0,650.0,0.0,,,,1.0,
101,9,31.0,10,14,1.0,§iÖp,1.0,5.0,3.0,3.0,200.0,3.0,160.0,0.0,,,,1.0,
101,9,31.0,10,15,1.0,Nguyªn,1.0,5.0,3.0,3.0,240.0,3.0,150.0,0.0,,,,1.0,
101,9,31.0,10,15,2.0,Huynh,1.0,5.0,4.0,4.0,450.0,4.0,360.0,0.0,,,,1.0,
101,9,31.0,10,15,2.0,Huynh,2.0,10.0,4.0,1.0,250.0,0.0,,0.0,,,,1.0,
101,9,33.0,10,19,1.0,Nga,1.0,6.0,4.0,0.0,,,,1.0,1000.0,1.0,200.0,1.0,
101,9,33.0,10,20,,,,,,,,,,,,,,,
101,9,33.0,10,24,,,,,,,,,,,,,,,
101,9,35.0,24,13,1.0,tuÊn,1.0,5.0,4.0,1.0,1000.0,,,0.0,,,,1.0,
101,9,35.0,24,13,2.0,hÕn,1.0,5.0,4.0,2.0,500.0,,,0.0,,,,1.0,
101,9,35.0,24,13,4.0,träng,1.0,10.0,4.0,1.0,200.0,0.0,,0.0,,,,1.0,
101,9,35.0,24,14,1.0,hïng,1.0,12.0,4.0,4.0,2000.0,,,0.0,,,,1.0,
101,9,35.0,24,20,1.0,anh,1.0,12.0,4.0,4.0,600.0,0.0,,0.0,,,,1.0,
101,9,35.0,24,20,2.0,anh,1.0,5.0,4.0,0.0,,,,3.0,200.0,,,1.0,
101,9,35.0,24,20,2.0,anh,2.0,6.0,4.0,0.0,,,,1.0,900.0,,,1.0,
101,9,39.0,17,19,,,,,,,,,,,,,,,
101,9,39.0,17,20,,,,,,,,,,,,,,,
101,9,39.0,17,24,,,,,,,,,,,,,,,
101,11,1.0,10,13,,,,,,,,,,,,,,,
101,11,1.0,10,14,3.0,Ph­¬ng,1.0,6.0,3.0,2.0,400.0,,,0.0,,,,1.0,
101,11,1.0,10,15,,,,,,,,,,,,,,,
101,11,3.0,17,13,,,,,,,,,,,,,,,
101,11,3.0,17,15,2.0,Dung,1.0,6.0,3.0,1.0,1200.0,0.0,,0.0,,,,1.0,
101,11,3.0,17,15,1.0,Nh©m,1.0,6.0,3.0,1.0,600.0,0.0,,0.0,,,,1.0,
101,11,3.0,17,24,1.0,§¹i,1.0,6.0,4.0,2.0,200.0,2.0,200.0,0.0,,,,1.0,
101,11,3.0,17,24,4.0,Minh,1.0,6.0,4.0,2.0,1000.0,0.0,,0.0,,,,1.0,
101,11,5.0,24,14,5.0,S¸o,1.0,6.0,3.0,2.0,700.0,0.0,,0.0,,,,1.0,
101,11,5.0,24,15,1.0,H»ng,1.0,5.0,3.0,1.0,350.0,0.0,,0.0,,,,1.0,
101,11,5.0,24,19,6.0,Thuû,1.0,6.0,4.0,3.0,2430.0,,,0.0,,,,1.0,
101,11,5.0,24,19,1.0,KÝnh,1.0,5.0,3.0,1.0,320.0,0.0,,0.0,,,,1.0,
101,11,5.0,24,19,2.0,Phó,1.0,5.0,3.0,1.0,600.0,0.0,,0.0,,,,1.0,
101,11,5.0,24,19,5.0,§¹t,1.0,6.0,4.0,2.0,1400.0,,,0.0,,,,1.0,
101,11,5.0,24,19,4.0,An,1.0,4.0,4.0,6.0,720.0,0.0,,1.0,5430.0,1.0,2200.0,1.0,
101,11,17.0,33,13,4.0,b¸ch,1.0,5.0,4.0,2.0,400.0,0.0,,0.0,,,,1.0,
101,11,17.0,33,14,4.0,anh,1.0,6.0,4.0,3.0,1400.0,0.0,,0.0,,,,1.0,
101,11,17.0,33,14,3.0,yÕn,1.0,6.0,4.0,2.0,600.0,0.0,,0.0,,,,1.0,
101,11,17.0,33,14,2.0,ph­¬ng,1.0,6.0,4.0,1.0,350.0,,,0.0,,,,1.0,
101,11,17.0,33,15,2.0,thµnh,1.0,6.0,4.0,7.0,800.0,7.0,400.0,0.0,,,,1.0,
101,11,17.0,33,15,1.0,tíi,1.0,6.0,4.0,12.0,2400.0,12.0,600.0,0.0,,,,1.0,
101,11,21.0,9,13,1.0,thËp,1.0,6.0,4.0,12.0,12000.0,4.0,700.0,0.0,,,,1.0,
101,11,21.0,9,14,4.0,®øc,1.0,6.0,4.0,3.0,3500.0,0.0,,1.0,800.0,0.0,,1.0,
101,11,21.0,9,15,2.0,ngäc,1.0,6.0,3.0,1.0,1800.0,,,0.0,,,,1.0,
101,13,1.0,13,13,2.0,chÝnh,1.0,6.0,3.0,1.0,25.0,0.0,,0.0,,,,1.0,
101,13,1.0,13,14,1.0,®µm,1.0,6.0,4.0,1.0,400.0,1.0,400.0,1.0,700.0,1.0,550.0,1.0,
101,13,1.0,13,14,2.0,hîi,1.0,6.0,4.0,2.0,1750.0,1.0,1500.0,1.0,14000.0,1.0,10000.0,1.0,
101,13,1.0,13,20,1.0,S¬n,1.0,6.0,3.0,1.0,180.0,1.0,50.0,0.0,,,,1.0,
101,13,1.0,13,20,1.0,S¬n,2.0,6.0,4.0,1.0,105.0,1.0,70.0,0.0,,,,1.0,
101,13,1.0,13,20,2.0,§iÓm,1.0,6.0,3.0,1.0,25.0,1.0,15.0,0.0,,,,1.0,
101,13,5.0,19,13,,,,,,,,,,,,,,,
101,13,5.0,19,15,2.0,c¸t,1.0,6.0,3.0,1.0,100.0,0.0,,0.0,,,,1.0,
101,13,5.0,19,15,1.0,tiÕn,1.0,6.0,3.0,2.0,100.0,0.0,,0.0,,,,1.0,
101,13,5.0,19,15,3.0,v©n,1.0,6.0,3.0,1.0,150.0,0.0,,0.0,,,,1.0,
101,13,5.0,19,20,4.0,s¬n,1.0,6.0,3.0,1.0,350.0,0.0,,0.0,,,,1.0,
101,13,5.0,19,20,3.0,long,1.0,6.0,3.0,1.0,250.0,0.0,,0.0,,,,1.0,
101,13,7.0,15,14,,,,,,,,,,,,,,,
101,13,7.0,15,19,2.0,anh,1.0,6.0,4.0,0.0,,,,2.0,2000.0,2.0,0.0,1.0,
101,13,7.0,15,24,2.0,Hµ,1.0,5.0,2.0,10.0,1200.0,2.0,0.0,1.0,3000.0,1.0,1000.0,1.0,
101,13,13.0,10,13,,,,,,,,,,,,,,,
101,13,13.0,10,14,2.0,Hµm,1.0,6.0,3.0,4.0,1200.0,4.0,0.0,0.0,,,,1.0,
101,13,13.0,10,14,7.0,Anh,1.0,6.0,3.0,1.0,150.0,1.0,0.0,0.0,,,,1.0,
101,13,13.0,10,14,1.0,Minh,1.0,6.0,3.0,10.0,4800.0,8.0,0.0,0.0,,,,1.0,
101,13,13.0,10,14,8.0,Hµ,1.0,6.0,3.0,3.0,310.0,3.0,0.0,0.0,,,,1.0,
101,13,13.0,10,14,5.0,Anh,1.0,6.0,3.0,2.0,150.0,2.0,0.0,0.0,,,,1.0,
101,13,13.0,10,14,5.0,Anh,2.0,10.0,3.0,4.0,750.0,4.0,0.0,0.0,,,,1.0,
101,13,13.0,10,15,6.0,V©n,1.0,4.0,4.0,8.0,1200.0,,,2.0,1600.0,,,1.0,
101,15,3.0,3,13,1.0,®µo,1.0,7.0,4.0,0.0,,,,1.0,4100.0,1.0,1350.0,1.0,
101,15,3.0,3,14,1.0,cÇu,1.0,4.0,4.0,0.0,,,,1.0,520.0,1.0,386.0,1.0,
101,15,3.0,3,15,,,,,,,,,,,,,,,
101,15,9.0,11,14,6.0,§Þnh,1.0,2.0,3.0,1.0,20.0,1.0,20.0,0.0,,,,1.0,
101,15,9.0,11,14,1.0,Qu¸n,1.0,4.0,3.0,1.0,30.0,,,0.0,,,,1.0,
101,15,9.0,11,15,,,,,,,,,,,,,,,
101,15,9.0,11,20,4.0,Ng©n,1.0,2.0,3.0,1.0,40.0,1.0,40.0,0.0,,,,1.0,
101,15,9.0,11,20,5.0,Hµ,1.0,2.0,3.0,1.0,40.0,1.0,40.0,0.0,,,,1.0,
101,15,19.0,13,13,5.0,Anh,1.0,5.0,4.0,2.0,300.0,2.0,300.0,0.0,,,,1.0,
101,15,19.0,13,19,3.0,H­êng,1.0,6.0,4.0,2.0,1000.0,2.0,700.0,1.0,3000.0,1.0,2000.0,2.0,4.0
101,15,19.0,13,20,5.0,H­¬ng,1.0,5.0,4.0,1.0,300.0,1.0,100.0,0.0,,,,1.0,
101,15,19.0,13,20,2.0,Quyªn,1.0,5.0,4.0,2.0,2000.0,,,1.0,4000.0,,,2.0,4.0
101,15,33.0,15,14,3.0,Lan,1.0,4.0,4.0,1.0,150.0,0.0,,1.0,150.0,1.0,100.0,1.0,
101,15,33.0,15,20,1.0,Khanh,1.0,5.0,4.0,2.0,2500.0,,,0.0,,,,1.0,
101,15,33.0,15,20,4.0,Long,1.0,10.0,4.0,1.0,400.0,0.0,,0.0,,,,1.0,
101,15,33.0,15,20,3.0,Mai,1.0,10.0,4.0,1.0,120.0,0.0,,0.0,,,,1.0,
101,15,33.0,15,24,1.0,S¬n,1.0,10.0,4.0,1.0,35.0,,,0.0,,,,1.0,
101,15,39.0,12,13,1.0,LËp,1.0,13.0,4.0,1.0,50.0,1.0,50.0,0.0,,,,3.0,7.0
101,15,39.0,12,14,,,,,,,,,,,,,,,
