tinh,huyen,xa,diaban,hoso,m4c2ma,m4c2c26,m4c2c27,m4c2c28
101,5,11.0,7,13,,,,
101,5,11.0,7,14,1.0,3.0,8695.0,104340.0
101,5,11.0,7,14,1.0,15.0,,185208.0
101,5,11.0,7,14,1.0,14.0,4218.0,50616.0
101,5,11.0,7,14,1.0,4.0,45.0,540.0
101,5,11.0,7,14,1.0,16.0,,185208.0
101,5,11.0,7,14,1.0,2.0,40.0,480.0
101,5,11.0,7,14,1.0,6.0,404.0,4848.0
101,5,11.0,7,14,1.0,7.0,242.0,2904.0
101,5,11.0,7,14,1.0,12.0,1759.0,21108.0
101,5,11.0,7,14,1.0,13.0,31.0,372.0
101,5,11.0,7,15,,,,
101,5,17.0,18,13,1.0,6.0,45.0,540.0
101,5,17.0,18,13,1.0,15.0,,7008.0
101,5,17.0,18,13,1.0,7.0,45.0,540.0
101,5,17.0,18,13,1.0,5.0,449.0,5388.0
101,5,17.0,18,13,1.0,16.0,,7008.0
101,5,17.0,18,13,1.0,1.0,9.0,108.0
101,5,17.0,18,13,1.0,14.0,36.0,432.0
101,5,17.0,18,14,2.0,2.0,19.0,228.0
101,5,17.0,18,14,2.0,3.0,47.0,564.0
101,5,17.0,18,14,1.0,16.0,,10248.0
101,5,17.0,18,14,1.0,5.0,768.0,9216.0
101,5,17.0,18,14,2.0,16.0,,5688.0
101,5,17.0,18,14,2.0,15.0,,5688.0
101,5,17.0,18,14,2.0,7.0,95.0,1140.0
101,5,17.0,18,14,2.0,5.0,28.0,336.0
101,5,17.0,18,14,1.0,13.0,77.0,924.0
101,5,17.0,18,14,2.0,1.0,285.0,3420.0
101,5,17.0,18,14,1.0,15.0,,10248.0
101,5,17.0,18,14,1.0,2.0,9.0,108.0
101,5,17.0,18,19,1.0,2.0,45.0,540.0
101,5,17.0,18,19,1.0,12.0,90.0,1080.0
101,5,17.0,18,19,1.0,10.0,1346.0,16152.0
101,5,17.0,18,19,1.0,7.0,359.0,4308.0
101,5,17.0,18,19,1.0,6.0,45.0,540.0
101,5,17.0,18,19,1.0,5.0,90.0,1080.0
101,5,17.0,18,19,1.0,15.0,,32520.0
101,5,17.0,18,19,1.0,16.0,,32520.0
101,5,17.0,18,19,1.0,1.0,269.0,3228.0
101,5,17.0,18,19,1.0,3.0,269.0,3228.0
101,5,17.0,18,19,1.0,4.0,18.0,216.0
101,5,17.0,18,19,1.0,14.0,179.0,2148.0
101,5,25.0,12,13,1.0,16.0,,8832.0
101,5,25.0,12,13,1.0,7.0,108.0,1296.0
101,5,25.0,12,13,2.0,16.0,,324.0
101,5,25.0,12,13,2.0,14.0,9.0,108.0
101,5,25.0,12,13,1.0,15.0,,8832.0
101,5,25.0,12,13,1.0,5.0,552.0,6624.0
101,5,25.0,12,13,2.0,2.0,18.0,216.0
101,5,25.0,12,13,2.0,15.0,,324.0
101,5,25.0,12,13,1.0,6.0,76.0,912.0
101,5,25.0,12,14,1.0,16.0,,3660.0
101,5,25.0,12,14,1.0,3.0,90.0,1080.0
101,5,25.0,12,14,1.0,12.0,179.0,2148.0
101,5,25.0,12,14,1.0,15.0,,3660.0
101,5,25.0,12,14,1.0,2.0,36.0,432.0
101,5,25.0,12,15,1.0,14.0,4.0,48.0
101,5,25.0,12,15,1.0,15.0,,348.0
101,5,25.0,12,15,1.0,16.0,,348.0
101,5,25.0,12,15,1.0,4.0,7.0,84.0
101,5,25.0,12,15,1.0,2.0,18.0,216.0
101,5,33.0,12,14,,,,
101,5,33.0,12,15,1.0,5.0,63.0,756.0
101,5,33.0,12,15,1.0,14.0,31.0,372.0
101,5,33.0,12,15,1.0,16.0,,1668.0
101,5,33.0,12,15,1.0,3.0,18.0,216.0
101,5,33.0,12,15,1.0,2.0,27.0,324.0
101,5,33.0,12,15,1.0,15.0,,1668.0
101,5,33.0,12,24,,,,
101,5,35.0,16,14,1.0,1.0,1700.0,20400.0
101,5,35.0,16,14,1.0,2.0,82.0,984.0
101,5,35.0,16,14,1.0,6.0,29.0,348.0
101,5,35.0,16,14,1.0,3.0,143.0,1716.0
101,5,35.0,16,14,1.0,10.0,2049.0,24588.0
101,5,35.0,16,14,1.0,7.0,501.0,6012.0
101,5,35.0,16,14,1.0,16.0,,56004.0
101,5,35.0,16,14,1.0,14.0,61.0,732.0
101,5,35.0,16,14,1.0,12.0,102.0,1224.0
101,5,35.0,16,14,1.0,15.0,,56004.0
101,5,35.0,16,15,,,,
101,5,35.0,16,19,1.0,12.0,15.0,180.0
101,5,35.0,16,19,1.0,2.0,17.0,204.0
101,5,35.0,16,19,1.0,1.0,712.0,8544.0
101,5,35.0,16,19,1.0,7.0,219.0,2628.0
101,5,35.0,16,19,1.0,5.0,83.0,996.0
101,5,35.0,16,19,1.0,15.0,,13464.0
101,5,35.0,16,19,1.0,16.0,,13464.0
101,5,35.0,16,19,1.0,4.0,31.0,372.0
101,5,35.0,16,19,1.0,3.0,45.0,540.0
101,6,1.0,10,13,,,,
101,6,1.0,10,14,1.0,14.0,7.0,70.0
101,6,1.0,10,14,1.0,16.0,,210.0
101,6,1.0,10,14,1.0,15.0,,210.0
101,6,1.0,10,14,1.0,12.0,7.0,70.0
101,6,1.0,10,14,1.0,2.0,7.0,70.0
101,6,1.0,10,19,1.0,5.0,248.0,2480.0
101,6,1.0,10,19,1.0,6.0,83.0,830.0
101,6,1.0,10,19,1.0,16.0,,3900.0
101,6,1.0,10,19,1.0,12.0,17.0,170.0
101,6,1.0,10,19,1.0,14.0,42.0,420.0
101,6,1.0,10,19,1.0,15.0,,3900.0
101,6,7.0,17,13,,,,
101,6,7.0,17,14,2.0,5.0,787.0,9444.0
101,6,7.0,17,14,1.0,7.0,33.0,396.0
101,6,7.0,17,14,2.0,7.0,42.0,504.0
101,6,7.0,17,14,2.0,15.0,,11544.0
101,6,7.0,17,14,1.0,15.0,,4752.0
101,6,7.0,17,14,2.0,14.0,17.0,204.0
101,6,7.0,17,14,1.0,11.0,80.0,960.0
101,6,7.0,17,14,1.0,3.0,125.0,1500.0
101,6,7.0,17,14,2.0,6.0,116.0,1392.0
101,6,7.0,17,14,1.0,14.0,108.0,1296.0
101,6,7.0,17,14,2.0,16.0,,11544.0
101,6,7.0,17,14,1.0,2.0,42.0,504.0
101,6,7.0,17,14,1.0,4.0,8.0,96.0
101,6,7.0,17,14,1.0,16.0,,4752.0
101,6,7.0,17,19,,,,
101,6,11.0,12,13,,,,
101,6,11.0,12,14,1.0,3.0,4.0,36.0
101,6,11.0,12,14,1.0,12.0,9.0,81.0
101,6,11.0,12,14,1.0,16.0,,396.0
101,6,11.0,12,14,1.0,15.0,,396.0
101,6,11.0,12,14,1.0,9.0,9.0,81.0
101,6,11.0,12,14,1.0,14.0,18.0,162.0
101,6,11.0,12,14,1.0,2.0,4.0,36.0
101,6,11.0,12,15,,,,
101,6,21.0,13,13,,,,
101,6,21.0,13,14,,,,
101,6,21.0,13,15,,,,
101,6,25.0,5,13,1.0,6.0,300.0,3600.0
101,6,25.0,5,13,1.0,16.0,,64104.0
101,6,25.0,5,13,1.0,4.0,5.0,60.0
101,6,25.0,5,13,1.0,15.0,,64104.0
101,6,25.0,5,13,1.0,1.0,4997.0,59964.0
101,6,25.0,5,13,1.0,3.0,20.0,240.0
101,6,25.0,5,13,1.0,7.0,10.0,120.0
101,6,25.0,5,13,1.0,2.0,10.0,120.0
101,6,25.0,5,14,,,,
101,6,25.0,5,15,,,,
101,6,27.0,5,13,,,,
101,6,27.0,5,14,1.0,5.0,68.0,816.0
101,6,27.0,5,14,1.0,12.0,170.0,2040.0
101,6,27.0,5,14,1.0,4.0,26.0,312.0
101,6,27.0,5,14,1.0,3.0,43.0,516.0
101,6,27.0,5,14,1.0,16.0,,36828.0
101,6,27.0,5,14,1.0,15.0,,36828.0
101,6,27.0,5,14,1.0,2.0,85.0,1020.0
101,6,27.0,5,14,1.0,14.0,85.0,1020.0
101,6,27.0,5,14,1.0,1.0,2336.0,28032.0
101,6,27.0,5,14,1.0,8.0,256.0,3072.0
101,6,27.0,5,15,1.0,2.0,9.0,108.0
101,6,27.0,5,15,1.0,16.0,,35820.0
101,6,27.0,5,15,1.0,15.0,,35820.0
101,6,27.0,5,15,1.0,1.0,2796.0,33552.0
101,6,27.0,5,15,1.0,5.0,128.0,1536.0
101,6,27.0,5,15,1.0,3.0,9.0,108.0
101,6,27.0,5,15,1.0,12.0,43.0,516.0
101,7,3.0,19,13,,,,
101,7,3.0,19,14,2.0,12.0,63.0,756.0
101,7,3.0,19,14,1.0,6.0,90.0,1080.0
101,7,3.0,19,14,1.0,15.0,,6144.0
101,7,3.0,19,14,2.0,6.0,162.0,1944.0
101,7,3.0,19,14,2.0,2.0,179.0,2148.0
101,7,3.0,19,14,2.0,16.0,,19932.0
