idstd2015,id2015,idstd2005,id2005,firm_size,c9b,d1a3,d2,d10,d11,i2b,i4b,n2a,n2b,n2i,n5a,n5b,_2015_h8,k1c,k2c,_2005_q86a1,_2005_q86a2,_2005_q86a3,_2005_q86a4,_2005_q86a5,_2005_q86a6,_2005_q86a8,_2005_q86a9,_2005_q86a10,_2005_q86a11,_2005_q91a1,_2005_q91a7,_2005_q91a12,_2005_q87a,_2005_q87d,2015_cost_main_activity,2015_cost_theft,2015_cost_spoilage,2015_total_vrcost,2015_finance_on_credit,2015_finance_from_receivables,2005_total_reinvestment,2005_total_assets,2005_receivables,2005_total_cost
599647.0,0.0,60132.0,560.0,1,0.0,40.0,4552999936.0,0.0,0.0,60000000.0,0.0,673000000.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,4553.0,4047.0,1941.0,673.0,210.0,32.0,120.0,60.0,120.0,0.0,4415.0,3589.0,2657.0,506.0,100.0,1821199974.4,0.0,0.0,0.0,0.0,0.0,506.0,1758.0,2657.0,3156.0
599649.0,0.0,60259.0,1378.0,1,0.0,100.0,4000000000.0,0.0,0.0,25000000.0,0.0,180000000.0,0.0,0.0,100000000.0,0.0,0.0,0.0,80.0,4000.0,3900.0,3360.0,180.0,30.0,36.0,60.0,0.0,50.0,9.0,1630.0,1380.0,200.0,70.0,100.0,4000000000.0,0.0,0.0,100000000.0,0.0,80000000.0,70.0,1430.0,200.0,3725.0
599649.0,0.0,60259.0,0.0,1,0.0,80.0,2844000000.0,0.0,0.0,60000000.0,0.0,720000000.0,90000000.0,0.0,0.0,0.0,0.0,50.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2275200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
599650.0,0.0,60482.0,6020.0,1,0.0,100.0,3000000000.0,0.0,0.0,30000000.0,0.0,411600000.0,0.0,0.0,0.0,0.0,0.0,20.0,70.0,3000.0,2960.71,2184.1101,411.60001,132.0,132.0,0.0,0.0,87.0,11.0,3500.0,2000.0,750.0,39.29,100.0,3000000000.0,0.0,0.0,0.0,0.0,0.0,39.29,2750.0,750.0,2957.71011
599653.0,0.0,61120.0,10408.0,1,0.0,95.0,3332000000.0,0.0,0.0,36000000.0,0.0,581000000.0,0.0,0.0,0.0,100000000.0,0.0,35.0,80.0,3332.0,3307.0,1702.0,581.0,250.0,51.0,0.0,503.0,35.0,220.0,4793.0,2473.0,150.0,25.0,62.0,3165400000.0,0.0,0.0,100000000.0,35000000.0,80000000.0,15.5,4643.0,150.0,3342.0
599657.0,0.0,61100.0,7019.0,1,0.0,50.0,880000000.0,0.0,0.0,2000000.0,0.0,339927008.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,880.0,698.61298,155.7,339.927,12.0,16.4,25.0,12.0,131.52,6.0,2008.0,1165.0,1000.0,181.3999938964844,30.0,440000000.0,0.0,0.0,0.0,0.0,0.0,54.41999816894532,1008.0,1000.0,698.547
599658.0,0.0,61141.0,11044.0,1,0.0,100.0,5326000128.0,0.0,0.0,48000000.0,15000000.0,910000000.0,0.0,0.0,0.0,0.0,0.0,30.0,40.0,5326.0,4826.0,2600.0,910.0,1200.0,20.0,0.0,5.0,250.0,91.0,13248.0,6552.0,3400.0,500.0,22.0,5326000128.0,0.0,0.0,0.0,0.0,0.0,110.0,9848.0,3400.0,5076.0
599662.0,0.0,61033.0,2693.0,1,0.0,70.0,570200000.0,0.0,0.0,0.0,0.0,180000000.0,0.0,0.0,40000000.0,0.0,0.0,0.0,40.0,570.20001,540.20001,248.0,180.0,33.0,0.0,45.0,20.0,10.0,3.2,1081.0,477.0,3.0,28.0,100.0,399140000.0,0.0,0.0,40000000.0,0.0,16000000.0,28.0,1078.0,3.0,539.2
599663.0,0.0,61034.0,2694.0,1,0.0,30.0,2368000000.0,0.0,0.0,30000000.0,0.0,402000000.0,0.0,0.0,80000000.0,80000000.0,0.0,0.0,10.0,2368.0,2248.0,1468.0,402.0,37.0,8.5,0.0,4.1999998,128.0,10.0,1811.0,484.0,68.0,120.0,50.0,710400000.0,0.0,0.0,160000000.0,0.0,16000000.0,60.0,1743.0,68.0,2057.6999998
599664.0,0.0,61083.0,6976.0,1,0.0,70.0,6729999872.0,0.0,0.0,0.0,0.0,150000000.0,0.0,0.0,15000000.0,0.0,0.0,0.0,20.0,6730.0,6708.0,6296.0,150.0,50.0,0.0,120.0,60.0,22.0,10.0,2231.0,1636.0,90.0,22.0,100.0,4710999910.4,0.0,0.0,15000000.0,0.0,3000000.0,22.0,2141.0,90.0,6708.0
